"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.058,0.035,0.084,0,0.115,0.029,0.045,0.023,0.09,0.04,0.113,0.036,0.108,0.045,0.092,0,0,0,6
"Buena",0.197,0.151,0.247,0,0.25,0.237,0.273,0.479,0.129,0.139,0.14,0.302,0.081,0.081,0.234,0,0,0,6
"Ni buena ni mala",0.382,0.412,0.349,0.586,0.292,0.397,0.292,0.194,0.348,0.505,0.327,0.477,0.322,0.301,0.508,0,0,0,6
"Mala",0.158,0.136,0.182,0.191,0.109,0.202,0.16,0.04,0.217,0.149,0.204,0.146,0.322,0.282,0.118,0,0,0,6
"Muy mala",0.136,0.162,0.108,0,0.208,0.125,0.169,0.264,0.07,0.149,0.131,0.01,0.167,0.199,0.033,0,0,0,6
"No sabe",0.069,0.104,0.03,0.223,0.026,0.01,0.061,0,0.146,0.018,0.085,0.029,0,0.092,0.015,0,0,0,6
"Positiva",0.255,0.186,0.331,0,0.365,0.266,0.318,0.502,0.219,0.179,0.253,0.338,0.189,0.126,0.326,0,0,0,4
"Neutra",0.382,0.412,0.349,0.586,0.292,0.397,0.292,0.194,0.348,0.505,0.327,0.477,0.322,0.301,0.508,0,0,0,4
"Negativa",0.294,0.298,0.29,0.191,0.317,0.327,0.329,0.304,0.287,0.298,0.335,0.156,0.489,0.481,0.151,0,0,0,4
"No sabe",0.069,0.104,0.03,0.223,0.026,0.01,0.061,0,0.146,0.018,0.085,0.029,0,0.092,0.015,0,0,0,4
