"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.027,0.012,0.043,0,0.054,0.02,0.012,0.029,0.051,0.002,0.043,0,0,0.043,0.026,0,0,0,6
"Buena",0.087,0.072,0.101,0,0.151,0.061,0.089,0.252,0.067,0.032,0.11,0.069,0.063,0.055,0.103,0,0,0,6
"Ni buena ni mala",0.312,0.36,0.264,0.381,0.246,0.222,0.536,0.253,0.357,0.292,0.339,0.328,0.345,0.299,0.369,0,0,0,6
"Mala",0.315,0.265,0.366,0.279,0.309,0.419,0.202,0.077,0.337,0.401,0.367,0.312,0.323,0.416,0.273,0,0,0,6
"Muy mala",0.247,0.275,0.219,0.34,0.24,0.235,0.156,0.36,0.188,0.257,0.141,0.281,0.151,0.174,0.218,0,0,0,6
"No sabe",0.012,0.016,0.007,0,0,0.043,0.005,0.029,0,0.016,0,0.01,0.118,0.013,0.011,0,0,0,6
"Positiva",0.114,0.084,0.144,0,0.205,0.081,0.101,0.281,0.118,0.034,0.153,0.069,0.063,0.098,0.129,0,0,0,4
"Neutra",0.312,0.36,0.264,0.381,0.246,0.222,0.536,0.253,0.357,0.292,0.339,0.328,0.345,0.299,0.369,0,0,0,4
"Negativa",0.562,0.54,0.585,0.619,0.549,0.654,0.358,0.437,0.525,0.658,0.508,0.593,0.474,0.59,0.491,0,0,0,4
"No sabe",0.012,0.016,0.007,0,0,0.043,0.005,0.029,0,0.016,0,0.01,0.118,0.013,0.011,0,0,0,4
