"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P12","Gran excedente habitual",0.002,0.007,0.01
"P12","Gran excedente excepcional",0,0,0
"P12","Pequeño excedente habitual",0.033,0.086,0.099
"P12","Pequeño excedente excepcional",0.035,0.027,0.043
"P12","Alcanza gastos familia",0.316,0.179,0.085
"P12","No alcanza gastos familia",0.096,0.212,0.044
"P12","Solo NBFamiliares",0.371,0.19,0.158
"P12","No alcanza NBFamiliares",0.147,0.299,0.54
"P12","No sabe",0,0,0.021
"P13","Muy buena",0.022,0.055,0.063
"P13","Buena",0.049,0.15,0.091
"P13","Ni buena ni mala",0.145,0.347,0.28
"P13","Mala",0.554,0.315,0.133
"P13","Muy mala",0.23,0.08,0.408
"P13","No sabe",0,0.053,0.025
"P14","Muy buena",0.586,0.089,0.131
"P14","Buena",0.242,0.037,0.172
"P14","Ni buena ni mala",0.032,0.057,0.207
"P14","Mala",0.088,0.198,0.048
"P14","Muy mala",0.052,0.619,0.396
"P14","No sabe",0,0,0.046
"P15","Muy buena",0.018,0.035,0.101
"P15","Buena",0.084,0.167,0.131
"P15","Ni buena ni mala",0.309,0.294,0.194
"P15","Mala",0.317,0.202,0.079
"P15","Muy mala",0.272,0.247,0.477
"P15","No sabe",0,0.055,0.018
"P19","Muy buena",0.013,0.038,0.121
"P19","Buena",0.035,0.169,0.137
"P19","Ni buena ni mala",0.224,0.419,0.161
"P19","Mala",0.469,0.238,0.143
"P19","Muy mala",0.256,0.081,0.378
"P19","No sabe",0.003,0.055,0.06
"P20","Gobierno nacional",0.066,0.58,0.017
"P20","Gobierno provincial",0.831,0.362,0.406
"P20","No sabe",0.103,0.058,0.577
"P21","El anterior gobierno de Arabela Carreras",0.413,0.209,0.306
"P21","El actual gobierno de Alberto Weretilneck",0.433,0.382,0.501
"P21","No sabe",0.154,0.409,0.193
"P22","El anterior gobierno de Alberto Fernández",0.942,0.242,1
"P22","El actual gobierno de Javier Milei",0.058,0.754,0
"P22","No sabe",0,0.004,0
"P23","Empleado sector publico",0.115,0.124,0.165
"P23","Empleado sector privado",0.268,0.263,0.187
"P23","Changas o trabajos eventuales",0.254,0.163,0.052
"P23","Estudiante",0.081,0.09,0
"P23","Amas de casa",0.036,0.063,0.066
"P23","Profesional o independiente",0.15,0.173,0.058
"P23","Comerciante, emprendedor o empresario",0.045,0.029,0.008
"P23","Trabajador informal",0.004,0.015,0.039
"P23","No tengo trabajo",0.047,0.08,0.425
"P24","Muy de acuerdo",0.11,0.148,0.054
"P24","De acuerdo",0.195,0.21,0.142
"P24","Ni de acuerdo ni en desacuerdo",0.431,0.381,0.294
"P24","En desacuerdo",0.099,0.139,0.117
"P24","Muy en desacuerdo",0.157,0.104,0.368
"P24","No sabe",0.008,0.018,0.025
"P25","Muy de acuerdo",0.256,0.006,0.095
"P25","De acuerdo",0.217,0.135,0.131
"P25","Ni de acuerdo ni en desacuerdo",0.316,0.067,0.215
"P25","En desacuerdo",0.074,0.586,0.165
"P25","Muy en desacuerdo",0.137,0.199,0.376
"P25","No sabe",0,0.007,0.018
"P26","Si",0.794,0.55,0.383
"P26","No",0.206,0.45,0.617
"P27","Muy de acuerdo",0.283,0.075,0.084
"P27","De acuerdo",0.141,0.137,0.101
"P27","Ni de acuerdo ni en desacuerdo",0.359,0.128,0.253
"P27","En desacuerdo",0.171,0.436,0.078
"P27","Muy en desacuerdo",0.046,0.219,0.484
"P27","No sabe",0,0.005,0
"P28","Si",0.895,0.598,0.497
"P28","No",0.105,0.402,0.503
"P29","Muy de acuerdo",0.332,0.037,0.086
"P29","De acuerdo",0.314,0.189,0.157
"P29","Ni de acuerdo ni en desacuerdo",0.149,0.185,0.284
"P29","En desacuerdo",0.088,0.415,0.059
"P29","Muy en desacuerdo",0.056,0.169,0.335
"P29","No sabe",0.061,0.005,0.079
"P30","No estaba enterado",0.075,0.188,0.467
"P30","De acuerdo",0.747,0.192,0.267
"P30","En desacuerdo",0.091,0.566,0.241
"P30","No sabe",0.087,0.054,0.025
"P31","No tengo cable ni internet",0.129,0.101,0.413
"P31","Si tuve",0.653,0.535,0.382
"P31","No tuve",0.218,0.364,0.205
"P32","Reclamando directamente a la empresa",0.119,0.22,0.532
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.411,0.364,0.322
"P32","Nunca se pudo resolver",0.47,0.416,0.146
"P33","1-Excelente",0.085,0.077,0.081
"P33","2",0.112,0.146,0.088
"P33","3",0.037,0.076,0.023
"P33","4",0.01,0.033,0.047
"P33","5",0.235,0.137,0.137
"P33","6",0.021,0.066,0.018
"P33","7",0.062,0.042,0.023
"P33","8",0.068,0.189,0.055
"P33","9-Pésimo",0.367,0.161,0.414
"P33","No sabe",0.003,0.073,0.114
"P34","1-Excelente",0.111,0.083,0.212
"P34","2",0.091,0.114,0.088
"P34","3",0.045,0.096,0.058
"P34","4",0.032,0.09,0.018
"P34","5",0.175,0.098,0.016
"P34","6",0.067,0.035,0.039
"P34","7",0.017,0.032,0
"P34","8",0.113,0.081,0.049
"P34","9-Pésimo",0.343,0.345,0.473
"P34","No sabe",0.006,0.026,0.047
"P35","1-Excelente",0.126,0.033,0.117
"P35","2",0.043,0.165,0.146
"P35","3",0.06,0.138,0.098
"P35","4",0.043,0.067,0.08
