"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.129,0.099,0.154,0.057,0.149,0.099,0.202,0.115,0.151,0.109,0.155,0.116,0.101,0.15,0.157,0,0,0
"2",0.126,0.051,0.188,0.168,0.121,0.119,0.11,0.165,0.128,0.109,0.194,0.078,0.053,0.106,0.122,0,0,0
"3",0.059,0.041,0.074,0.082,0.033,0.059,0.109,0.036,0.044,0.085,0.082,0.073,0,0.052,0.072,0,0,0
"4",0.031,0.034,0.028,0,0.036,0.035,0.04,0,0.028,0.045,0.041,0.016,0.035,0.046,0.009,0,0,0
"5",0.167,0.135,0.193,0.153,0.155,0.208,0.14,0.059,0.182,0.191,0.126,0.199,0.318,0.173,0.156,0,0,0
"6",0.047,0.051,0.043,0,0.034,0.077,0.082,0,0.034,0.08,0.064,0.027,0.081,0.072,0.032,0,0,0
"7",0.035,0.065,0.011,0.06,0.034,0.039,0.004,0,0.026,0.06,0.019,0.015,0,0.033,0.044,0,0,0
"8",0.098,0.149,0.055,0.168,0.087,0.055,0.127,0.14,0.102,0.076,0.123,0.055,0.102,0.113,0.079,0,0,0
"9-Pésimo",0.249,0.309,0.2,0.144,0.311,0.264,0.163,0.396,0.234,0.21,0.117,0.329,0.31,0.191,0.298,0,0,0
"No sabe",0.059,0.066,0.054,0.168,0.04,0.045,0.023,0.089,0.071,0.035,0.079,0.092,0,0.064,0.031,0,0,0
