"var","categoria","Peor","Igual","Mejor","No sabe"
"P12","Gran excedente habitual",0.006,0.005,0,0
"P12","Gran excedente excepcional",0,0,0,0
"P12","Pequeño excedente habitual",0.072,0.039,0.063,0
"P12","Pequeño excedente excepcional",0.025,0.054,0.113,0.051
"P12","Alcanza gastos familia",0.25,0.149,0,0.256
"P12","No alcanza gastos familia",0.138,0.174,0.219,0.17
"P12","Solo NBFamiliares",0.218,0.387,0.281,0.364
"P12","No alcanza NBFamiliares",0.288,0.192,0.324,0.159
"P12","No sabe",0.003,0,0,0
"P13","Muy buena",0.027,0.042,0.497,0
"P13","Buena",0.074,0.21,0.063,0.065
"P13","Ni buena ni mala",0.247,0.303,0,0.573
"P13","Mala",0.382,0.389,0.32,0.267
"P13","Muy mala",0.238,0.056,0.12,0.025
"P13","No sabe",0.032,0,0,0.07
"P14","Muy buena",0.232,0.386,0.811,0.343
"P14","Buena",0.131,0.266,0.113,0.074
"P14","Ni buena ni mala",0.058,0.104,0.041,0.115
"P14","Mala",0.147,0.084,0,0.131
"P14","Muy mala",0.425,0.16,0.035,0.337
"P14","No sabe",0.007,0,0,0
"P15","Muy buena",0.017,0.044,0.455,0.065
"P15","Buena",0.091,0.248,0,0.259
"P15","Ni buena ni mala",0.261,0.357,0.394,0.347
"P15","Mala",0.296,0.166,0.063,0.14
"P15","Muy mala",0.302,0.185,0.088,0.119
"P15","No sabe",0.033,0,0,0.07
"P19","Muy buena",0.024,0.034,0.456,0
"P19","Buena",0.109,0.121,0.104,0.244
"P19","Ni buena ni mala",0.297,0.387,0.035,0.276
"P19","Mala",0.324,0.266,0.285,0.392
"P19","Muy mala",0.233,0.08,0.12,0.088
"P19","No sabe",0.013,0.112,0,0
"P20","Gobierno nacional",0.337,0.243,0.219,0.219
"P20","Gobierno provincial",0.529,0.666,0.781,0.532
"P20","No sabe",0.134,0.091,0,0.249
"P21","El anterior gobierno de Arabela Carreras",0.338,0.338,0.238,0.114
"P21","El actual gobierno de Alberto Weretilneck",0.407,0.516,0.615,0.775
"P21","No sabe",0.255,0.146,0.147,0.111
"P22","El anterior gobierno de Alberto Fernández",0.224,0.74,1,0
"P22","El actual gobierno de Javier Milei",0.771,0.26,0,1
"P22","No sabe",0.005,0,0,0
"P23","Empleado sector publico",0.114,0.18,0.076,0.249
"P23","Empleado sector privado",0.226,0.319,0.403,0.538
"P23","Changas o trabajos eventuales",0.229,0.06,0.207,0
"P23","Estudiante",0.078,0.053,0,0
"P23","Amas de casa",0.04,0.107,0.219,0
"P23","Profesional o independiente",0.153,0.13,0,0.118
"P23","Comerciante, emprendedor o empresario",0.039,0.026,0.063,0
"P23","Trabajador informal",0.013,0.011,0.032,0.025
