"var","categoria","El anterior gobierno de Arabela Carreras","El actual gobierno de Alberto Weretilneck","No sabe"
"P12","Gran excedente habitual",0.095,0,0
"P12","Gran excedente excepcional",0,0,0
"P12","Pequeño excedente habitual",0.04,0.044,0.229
"P12","Pequeño excedente excepcional",0.014,0.04,0.107
"P12","Alcanza gastos familia",0.075,0.23,0.441
"P12","No alcanza gastos familia",0.133,0.152,0
"P12","Solo NBFamiliares",0.325,0.328,0.084
"P12","No alcanza NBFamiliares",0.312,0.201,0.139
"P12","No sabe",0.006,0.005,0
"P13","Muy buena",0.031,0.112,0.008
"P13","Buena",0.057,0.083,0.016
"P13","Ni buena ni mala",0.171,0.09,0.405
"P13","Mala",0.521,0.401,0.356
"P13","Muy mala",0.22,0.258,0.053
"P13","No sabe",0,0.056,0.162
"P14","Muy buena",0.33,0.503,0.13
"P14","Buena",0.271,0.185,0.257
"P14","Ni buena ni mala",0.238,0.036,0.122
"P14","Mala",0.026,0.031,0.259
"P14","Muy mala",0.135,0.189,0.232
"P14","No sabe",0,0.056,0
"P15","Muy buena",0.002,0.122,0.053
"P15","Buena",0.038,0.208,0.172
"P15","Ni buena ni mala",0.472,0.18,0.193
"P15","Mala",0.27,0.285,0.094
"P15","Muy mala",0.194,0.195,0.326
"P15","No sabe",0.024,0.01,0.162
"P19","Muy buena",0.033,0.042,0
"P19","Buena",0.055,0.073,0.108
"P19","Ni buena ni mala",0.242,0.194,0.715
"P19","Mala",0.394,0.339,0.072
"P19","Muy mala",0.242,0.284,0.053
"P19","No sabe",0.034,0.068,0.052
"P23","Empleado sector publico",0.248,0.073,0.05
"P23","Empleado sector privado",0.183,0.318,0.109
"P23","Changas o trabajos eventuales",0.277,0.221,0.283
"P23","Estudiante",0.089,0.035,0.171
"P23","Amas de casa",0.01,0.101,0.032
"P23","Profesional o independiente",0.072,0.184,0.275
"P23","Comerciante, emprendedor o empresario",0.042,0.017,0.063
"P23","Trabajador informal",0.023,0.007,0
"P23","No tengo trabajo",0.056,0.044,0.017
"P24","Muy de acuerdo",0.2,0.141,0.041
"P24","De acuerdo",0.249,0.336,0.068
"P24","Ni de acuerdo ni en desacuerdo",0.278,0.238,0.81
"P24","En desacuerdo",0.143,0.165,0.074
"P24","Muy en desacuerdo",0.122,0.113,0
"P24","No sabe",0.008,0.007,0.007
"P25","Muy de acuerdo",0.214,0.134,0.035
"P25","De acuerdo",0.32,0.285,0.105
"P25","Ni de acuerdo ni en desacuerdo",0.228,0.232,0.318
"P25","En desacuerdo",0.174,0.124,0.47
"P25","Muy en desacuerdo",0.064,0.225,0.072
"P25","No sabe",0,0,0
"P26","Si",0.806,0.619,0.455
"P26","No",0.194,0.381,0.545
"P27","Muy de acuerdo",0.434,0.229,0.049
"P27","De acuerdo",0.123,0.228,0.195
"P27","Ni de acuerdo ni en desacuerdo",0.272,0.317,0.286
"P27","En desacuerdo",0.131,0.115,0.239
"P27","Muy en desacuerdo",0.036,0.111,0.231
"P27","No sabe",0.004,0,0
"P28","Si",0.886,0.705,0.657
"P28","No",0.114,0.295,0.343
"P29","Muy de acuerdo",0.223,0.253,0.072
"P29","De acuerdo",0.368,0.403,0.546
"P29","Ni de acuerdo ni en desacuerdo",0.272,0.108,0.296
"P29","En desacuerdo",0.084,0.124,0.023
"P29","Muy en desacuerdo",0.053,0.087,0.056
"P29","No sabe",0,0.025,0.007
"P30","No estaba enterado",0.087,0.125,0.384
"P30","De acuerdo",0.691,0.632,0.364
"P30","En desacuerdo",0.156,0.226,0.221
"P30","No sabe",0.066,0.017,0.031
"P31","No tengo cable ni internet",0.082,0.07,0.135
"P31","Si tuve",0.755,0.636,0.144
"P31","No tuve",0.163,0.294,0.721
"P32","Reclamando directamente a la empresa",0.225,0.228,0.31
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.177,0.483,0.137
"P32","Nunca se pudo resolver",0.598,0.289,0.553
"P33","1-Excelente",0.081,0.124,0.037
"P33","2",0.18,0.192,0
"P33","3",0.038,0.02,0.074
"P33","4",0.046,0.015,0.008
"P33","5",0.036,0.168,0.241
"P33","6",0.008,0.014,0.061
"P33","7",0.01,0.011,0
"P33","8",0.153,0.063,0.211
"P33","9-Pésimo",0.444,0.384,0.064
"P33","No sabe",0.004,0.009,0.304
"P34","1-Excelente",0.063,0.131,0.033
"P34","2",0.173,0.182,0.006
"P34","3",0.023,0.022,0.254
"P34","4",0.069,0.032,0.046
"P34","5",0.11,0.121,0.026
"P34","6",0.006,0.012,0.211
"P34","7",0.009,0.005,0
"P34","8",0.171,0.033,0.044
"P34","9-Pésimo",0.367,0.459,0.28
"P34","No sabe",0.009,0.003,0.1
"P35","1-Excelente",0.185,0.087,0
"P35","2",0.055,0.244,0.026
"P35","3",0.02,0.046,0.254
"P35","4",0.066,0.025,0.073
"P35","5",0.024,0.097,0.217
"P35","6",0.013,0.012,0.008
"P35","7",0.161,0.018,0.012
"P35","8",0.028,0.172,0.044
"P35","9-Pésimo",0.416,0.274,0.266
"P35","No sabe",0.032,0.025,0.1
"P36","1-Excelente",0.047,0.146,0.047
"P36","2",0.158,0.089,0.039
"P36","3",0.047,0.021,0.026
"P36","4",0.071,0.031,0.039
"P36","5",0.251,0.263,0.214
"P36","6",0.017,0.027,0.211
"P36","7",0.012,0.018,0
"P36","8",0.022,0.056,0.238
"P36","9-Pésimo",0.36,0.315,0.072
"P36","No sabe",0.015,0.034,0.114
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.175,0.231,0.175
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.197,0.174,0.686
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.214,0.303,0.091
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.396,0.292,0.028
"P37","No sabe",0.018,0,0.02
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.124,0.183,0.363
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.117,0.147,0.281
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.529,0.407,0.327
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.213,0.263,0.029
"P38","No sabe",0.017,0,0
"P39","Oponerse totalmente",0.141,0.178,0.371
"P39","Oponerse parcialmente",0.068,0.148,0.28
"P39","Apoyar parcialmente",0.476,0.196,0.33
"P39","Apoyar totalmente",0.309,0.478,0.019
"P39","No sabe",0.006,0,0
"P40","Inseguridad y narcotráfico",0.443,0.169,0.451
"P40","Altos impuestos y tarifas",0.161,0.263,0.084
"P40","Educación y estado de las escuelas",0.255,0.325,0.07
"P40","Inflación",0.086,0.088,0.006
"P40","Estado de la salud",0.032,0.079,0.351
"P40","Corrupción",0.016,0.073,0
"P40","Pobreza",0,0.003,0
"P40","Medio ambiente, incendios y contaminación",0,0,0.038
"P40","Falta de trabajo",0.007,0,0
"P40","No sabe",0,0,0
"P44","Muy buena",0,0.022,0
"P44","Buena",0.007,0.212,0.036
"P44","Ni buena ni mala",0.369,0.268,0.538
"P44","Mala",0.294,0.202,0.228
"P44","Muy mala",0.323,0.245,0.179
"P44","No sabe",0.007,0.051,0.019
"P45","Peor",0.719,0.633,0.807
"P45","Igual",0.245,0.273,0.156
"P45","Mejor",0.027,0.05,0.024
"P45","No sabe",0.009,0.044,0.013
"P46","Peor",0.535,0.391,0.612
"P46","Igual",0.294,0.343,0.334
"P46","Mejor",0.117,0.244,0.027
"P46","No sabe",0.054,0.022,0.027
"P47","Javier Milei",0.698,0.578,0.351
"P47","Los gobernadores",0.22,0.317,0.58
"P47","No sabe",0.082,0.105,0.069
"P48","Muy buena",0.004,0.048,0
"P48","Buena",0.074,0.153,0.046
"P48","Ni buena ni mala",0.287,0.09,0.612
"P48","Mala",0.413,0.431,0.261
"P48","Muy mala",0.222,0.278,0.081
"P48","No sabe",0,0,0
"P49","Muy buena",0.123,0.052,0.008
"P49","Buena",0.127,0.14,0.063
"P49","Ni buena ni mala",0.238,0.134,0.456
"P49","Mala",0.264,0.454,0.128
"P49","Muy mala",0.248,0.22,0.345
"P49","No sabe",0,0,0
"P50","Muy buena",0.1,0.028,0
"P50","Buena",0.035,0.248,0.115
"P50","Ni buena ni mala",0.103,0.103,0.532
"P50","Mala",0.479,0.367,0.242
"P50","Muy mala",0.231,0.254,0.111
"P50","No sabe",0.052,0,0
"P51","Muy buena",0.28,0.105,0
"P51","Buena",0.149,0.243,0.257
"P51","Ni buena ni mala",0.397,0.156,0.368
"P51","Mala",0.078,0.337,0.06
"P51","Muy mala",0.049,0.153,0.245
"P51","No sabe",0.047,0.006,0.07
"P54","Muy buena",0.168,0.056,0.204
"P54","Buena",0.02,0.187,0.074
"P54","Ni buena ni mala",0.042,0.078,0.307
"P54","Mala",0.263,0.279,0.29
"P54","Muy mala",0.507,0.388,0.125
"P54","No sabe",0,0.012,0
"P55","Muy buena",0.05,0.123,0
"P55","Buena",0.326,0.227,0.328
"P55","Ni buena ni mala",0.219,0.203,0.03
"P55","Mala",0.11,0.248,0.321
"P55","Muy mala",0.295,0.199,0.321
"P55","No sabe",0,0,0
"P56","Muy buena",0.024,0.009,0.007
"P56","Buena",0.036,0.193,0.668
"P56","Ni buena ni mala",0.138,0.085,0.108
"P56","Mala",0.265,0.279,0.081
"P56","Muy mala",0.537,0.422,0.136
"P56","No sabe",0,0.012,0
"P57","Muy buena",0.082,0.069,0.076
"P57","Buena",0.02,0.192,0.262
"P57","Ni buena ni mala",0,0.056,0.039
"P57","Mala",0.362,0.301,0.284
"P57","Muy mala",0.536,0.357,0.136
"P57","No sabe",0,0.025,0.203
"P58","Muy buena",0.352,0.439,0.022
"P58","Buena",0.269,0.229,0.304
"P58","Ni buena ni mala",0.198,0.064,0.041
"P58","Mala",0.023,0.074,0.169
"P58","Muy mala",0.158,0.191,0.464
"P58","No sabe",0,0.003,0
"P59","Muy buena",0.429,0.304,0.038
"P59","Buena",0.333,0.235,0.309
"P59","Ni buena ni mala",0.055,0.234,0.059
"P59","Mala",0.027,0.042,0.077
"P59","Muy mala",0.156,0.182,0.517
"P59","No sabe",0,0.003,0
"P60","Muy buena",0.732,0.448,0.235
"P60","Buena",0.056,0.288,0.138
"P60","Ni buena ni mala",0.031,0.058,0.254
"P60","Mala",0.028,0.045,0.031
"P60","Muy mala",0.153,0.158,0.342
"P60","No sabe",0,0.003,0
"P61","Muy buena",0,0.113,0
"P61","Buena",0.353,0.39,0.086
"P61","Ni buena ni mala",0.418,0.319,0.456
"P61","Mala",0.123,0.105,0.24
"P61","Muy mala",0.055,0.07,0.015
"P61","No sabe",0.051,0.003,0.203
