"var","categoria","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.753,0.141,0.02,0.192,0.375
"P07","Al candidato de Juntos por el Cambio",0.106,0.695,0.172,0.126,0.112
"P07","Al candidato de los liberales - libertarios",0.051,0.077,0.776,0,0.018
"P07","Al candidato de la Izquierda",0.007,0.005,0,0.663,0.023
"P07","A otro candidato",0.048,0.039,0.013,0.014,0.211
"P07","No sabe",0.035,0.043,0.019,0.005,0.261
"P08","A Julio Zamora por el Frente de Todos",0.549,0.151,0.091,0.184,0.398
"P08","A Malena Galmarini por el Frente de Todos",0.284,0.023,0.007,0.052,0.061
"P08","A Segundo Cernadas por Cambiemos",0.068,0.563,0.125,0,0.063
"P08","A Nicolás Massot por Cambiemos",0.047,0.201,0.089,0.149,0.02
"P08","Al candidato de los liberales libertarios",0.01,0.03,0.667,0.009,0.062
"P08","A Paula Akerfeld por el Frente de Izquierda",0.002,0.008,0.007,0.548,0.03
"P08","No sabe",0.04,0.024,0.014,0.058,0.366
"P10","A Julio Zamora por el Frente de Todos",0.738,0.219,0.063,0.157,0.382
"P10","A Segundo Cernadas por Cambiemos",0.101,0.638,0.071,0.027,0.054
"P10","Al candidato de los liberales libertarios",0.041,0.075,0.67,0.024,0.011
"P10","A Paula Akerfeld por el Frente de Izquierda",0.036,0.05,0,0.787,0.005
"P10","No sabe",0.084,0.018,0.196,0.005,0.548
"P14","Muy buena",0.343,0.033,0.007,0.094,0.029
"P14","Buena",0.322,0.061,0.009,0.083,0.054
"P14","Ni buena ni mala",0.219,0.179,0.245,0.119,0.276
"P14","Mala",0.055,0.272,0.21,0.109,0.182
"P14","Muy mala",0.027,0.397,0.492,0.51,0.31
"P14","No sabe",0.034,0.058,0.037,0.085,0.149
"P15","Muy buena",0.35,0.085,0.022,0.086,0.216
"P15","Buena",0.249,0.182,0.12,0.106,0.206
"P15","Ni buena ni mala",0.279,0.221,0.249,0.137,0.219
"P15","Mala",0.033,0.24,0.289,0.09,0.119
"P15","Muy mala",0.066,0.241,0.285,0.545,0.163
"P15","No sabe",0.023,0.031,0.035,0.036,0.077
"P16","Muy buena",0.111,0.392,0.058,0.029,0.011
"P16","Buena",0.088,0.292,0.135,0,0.093
"P16","Ni buena ni mala",0.276,0.169,0.513,0.117,0.388
"P16","Mala",0.186,0.024,0.194,0.307,0.109
"P16","Muy mala",0.219,0.099,0.042,0.439,0.195
"P16","No sabe",0.12,0.024,0.058,0.108,0.204
"P17","Muy buena",0.08,0.079,0.015,0.03,0.013
"P17","Buena",0.035,0.047,0.01,0,0.02
