"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P07","Al candidato del Frente de Todos",0.368,0.342,0.402,0.335,0.398
"P07","Al candidato de Juntos por el Cambio",0.305,0.37,0.353,0.446,0.26
"P07","Al candidato de los liberales - libertarios",0.142,0.101,0.159,0.091,0.102
"P07","Al candidato de la Izquierda",0.043,0.024,0.014,0.061,0.035
"P07","A otro candidato",0.078,0.079,0.044,0.024,0.086
"P07","No sabe",0.064,0.084,0.028,0.043,0.119
"P08","A Julio Zamora por el Frente de Todos",0.267,0.364,0.491,0.274,0.361
"P08","A Malena Galmarini por el Frente de Todos",0.113,0.152,0.062,0.142,0.082
"P08","A Segundo Cernadas por Cambiemos",0.267,0.283,0.226,0.316,0.175
"P08","A Nicolás Massot por Cambiemos",0.101,0.056,0.13,0.124,0.102
"P08","Al candidato de los liberales libertarios",0.115,0.052,0.067,0.078,0.084
"P08","A Paula Akerfeld por el Frente de Izquierda",0.037,0.023,0.009,0.019,0.055
"P08","No sabe",0.1,0.07,0.015,0.047,0.141
"P10","A Julio Zamora por el Frente de Todos",0.346,0.452,0.502,0.394,0.413
"P10","A Segundo Cernadas por Cambiemos",0.314,0.328,0.261,0.287,0.234
"P10","Al candidato de los liberales libertarios",0.11,0.094,0.12,0.156,0.071
"P10","A Paula Akerfeld por el Frente de Izquierda",0.069,0.024,0.082,0.082,0.061
"P10","No sabe",0.161,0.102,0.035,0.081,0.221
"P12","A Malena Galmarini por el Frente de Todos",0.305,0.33,0.389,0.292,0.388
"P12","A Segundo Cernadas por Cambiemos",0.366,0.391,0.384,0.442,0.233
"P12","Al candidato de los liberales libertarios",0.131,0.047,0.078,0.094,0.085
"P12","A Paula Akerfeld por el Frente de Izquierda",0.051,0.024,0.015,0.077,0.037
"P12","No sabe",0.147,0.208,0.134,0.095,0.257
"P14","Muy buena",0.13,0.168,0.108,0.175,0.123
"P14","Buena",0.149,0.17,0.079,0.133,0.141
"P14","Ni buena ni mala",0.172,0.259,0.262,0.156,0.229
"P14","Mala",0.214,0.119,0.24,0.173,0.111
"P14","Muy mala",0.282,0.222,0.271,0.295,0.286
"P14","No sabe",0.053,0.062,0.04,0.068,0.11
"P15","Muy buena",0.157,0.274,0.233,0.186,0.186
"P15","Buena",0.186,0.191,0.203,0.185,0.194
"P15","Ni buena ni mala",0.245,0.229,0.203,0.239,0.239
"P15","Mala",0.192,0.123,0.137,0.145,0.104
"P15","Muy mala",0.182,0.163,0.214,0.21,0.219
