"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P07","Al candidato del Frente de Todos",0.373,0.376,0.341,0.393,0.376
"P07","Al candidato de Juntos por el Cambio",0.356,0.342,0.295,0.29,0.322
"P07","Al candidato de los liberales - libertarios",0.125,0.079,0.197,0.088,0.149
"P07","Al candidato de la Izquierda",0.026,0.037,0.058,0.075,0
"P07","A otro candidato",0.058,0.094,0.036,0.092,0.051
"P07","No sabe",0.062,0.072,0.073,0.062,0.102
"P08","A Julio Zamora por el Frente de Todos",0.359,0.304,0.277,0.22,0.453
"P08","A Malena Galmarini por el Frente de Todos",0.087,0.125,0.098,0.161,0.053
"P08","A Segundo Cernadas por Cambiemos",0.294,0.237,0.232,0.315,0.141
"P08","A Nicolás Massot por Cambiemos",0.109,0.123,0.078,0.071,0.123
"P08","Al candidato de los liberales libertarios",0.09,0.075,0.148,0.072,0.103
"P08","A Paula Akerfeld por el Frente de Izquierda",0.023,0.032,0.049,0.04,0.035
"P08","No sabe",0.038,0.104,0.118,0.121,0.092
"P10","A Julio Zamora por el Frente de Todos",0.358,0.399,0.364,0.348,0.558
"P10","A Segundo Cernadas por Cambiemos",0.355,0.298,0.296,0.237,0.197
"P10","Al candidato de los liberales libertarios",0.142,0.072,0.157,0.081,0.092
"P10","A Paula Akerfeld por el Frente de Izquierda",0.043,0.082,0.074,0.082,0
"P10","No sabe",0.102,0.149,0.109,0.252,0.153
"P12","A Malena Galmarini por el Frente de Todos",0.328,0.322,0.32,0.307,0.38
"P12","A Segundo Cernadas por Cambiemos",0.419,0.364,0.312,0.309,0.298
"P12","Al candidato de los liberales libertarios",0.133,0.09,0.141,0.071,0.065
"P12","A Paula Akerfeld por el Frente de Izquierda",0.026,0.058,0.063,0.067,0.015
"P12","No sabe",0.094,0.166,0.164,0.246,0.242
"P14","Muy buena",0.145,0.152,0.101,0.13,0.102
"P14","Buena",0.131,0.134,0.166,0.12,0.197
"P14","Ni buena ni mala",0.201,0.182,0.149,0.241,0.247
"P14","Mala",0.211,0.171,0.176,0.201,0.125
"P14","Muy mala",0.232,0.331,0.351,0.249,0.219
"P14","No sabe",0.08,0.03,0.057,0.059,0.11
"P15","Muy buena",0.212,0.171,0.096,0.192,0.276
"P15","Buena",0.203,0.158,0.172,0.149,0.285
"P15","Ni buena ni mala",0.196,0.256,0.286,0.227,0.222
"P15","Mala",0.208,0.163,0.107,0.194,0.041
"P15","Muy mala",0.148,0.219,0.265,0.225,0.133
"P15","No sabe",0.033,0.033,0.074,0.013,0.043
"P16","Muy buena",0.223,0.245,0.124,0.133,0.091
"P16","Buena",0.196,0.121,0.18,0.141,0.219
"P16","Ni buena ni mala",0.28,0.287,0.215,0.207,0.325
"P16","Mala",0.078,0.129,0.146,0.188,0.092
"P16","Muy mala",0.123,0.175,0.195,0.254,0.129
"P16","No sabe",0.1,0.043,0.14,0.077,0.144
"P17","Muy buena",0.106,0.042,0.025,0.027,0.09
"P17","Buena",0.037,0.009,0.026,0.078,0.047
"P17","Ni buena ni mala",0.351,0.361,0.26,0.393,0.198
"P17","Mala",0.077,0.082,0.112,0.082,0.1
"P17","Muy mala",0.067,0.075,0.156,0.06,0.053
"P17","No sabe",0.362,0.431,0.421,0.36,0.512
"P18","Muy buena",0.108,0.112,0.069,0.097,0.066
"P18","Buena",0.096,0.088,0.081,0.049,0.077
"P18","Ni buena ni mala",0.344,0.321,0.281,0.326,0.377
"P18","Mala",0.12,0.127,0.127,0.204,0.067
"P18","Muy mala",0.106,0.097,0.21,0.129,0.077
"P18","No sabe",0.226,0.255,0.232,0.195,0.336
"P19","La seguridad",0.223,0.312,0.172,0.34,0.25
"P19","El tránsito",0.048,0.043,0.073,0.013,0.109
"P19","El arreglo de las calles",0.119,0.114,0.201,0.049,0.116
"P19","El estado de las escuelas y la educación",0.062,0.045,0.04,0.04,0.018
"P19","El sistema de salud",0.101,0.108,0.041,0.152,0.142
"P19","El deporte y la cultura",0.136,0.05,0.192,0.094,0.06
"P19","La obra pública",0.062,0.054,0.021,0.056,0.091
"P19","La luminaria",0.086,0.112,0.068,0.049,0.073
"P19","No sabe",0.163,0.162,0.192,0.207,0.141
"P20","La seguridad",0.273,0.157,0.278,0.101,0.022
"P20","El tránsito",0.105,0.144,0.048,0.044,0.156
"P20","El arreglo de las calles",0.14,0.184,0.184,0.097,0.13
"P20","El estado de las escuelas y la educación",0.136,0.204,0.205,0.184,0.169
"P20","El sistema de salud",0.091,0.215,0.154,0.26,0.214
"P20","El deporte y la cultura",0.038,0.023,0.037,0.03,0.017
"P20","La obra pública",0.078,0.04,0.019,0.084,0.042
"P20","La luminaria",0.041,0.006,0.036,0.041,0.025
"P20","No sabe",0.098,0.027,0.039,0.159,0.225
"P21","Agua corriente y cloacas",0.686,0.443,0.44,0.351,0.305
"P21","Energía eléctrica",0.077,0.156,0.129,0.065,0.055
"P21","Red de gas natural",0.052,0.143,0.11,0.052,0.048
"P21","Recolección de residuos",0.093,0.113,0.217,0.226,0.082
"P21","Ninguno",0.092,0.145,0.104,0.306,0.51
"P23","Frente de Todos y el peronismo",0.278,0.361,0.173,0.263,0.325
"P23","Cambiemos",0.343,0.355,0.29,0.279,0.215
"P23","Liberales Libertarios",0.236,0.115,0.359,0.135,0.083
"P23","Izquierda",0.031,0.019,0.026,0.162,0.019
"P23","No sabe",0.112,0.15,0.152,0.161,0.358
"P25","A Alberto Fernández",0.459,0.158,0.196,0.155,0.1
"P25","A Sergio Massa",0.194,0.384,0.33,0.338,0.142
"P25","A algún candidato del peronismo",0.048,0.084,0.059,0.1,0.374
"P25","A algún candidato del kirchnerismo",0.299,0.374,0.415,0.407,0.384
"P26","A Alberto Fernández",0.326,0.037,0.044,0.063,0.102
"P26","A Sergio Massa",0.155,0.134,0.267,0.31,0.032
"P26","A algún candidato del peronismo",0.05,0.231,0.043,0.07,0.411
"P26","A Cristina Fernández de Kirchner",0.469,0.598,0.646,0.557,0.455
"P27","A Horacio Rodriguez Larreta",0.279,0.193,0.39,0.39,0.451
"P27","A Mauricio Macri",0.374,0.296,0.391,0.285,0.144
"P27","A Patricia Bullrich",0.117,0.288,0.149,0.196,0.405
"P27","A Facundo Manes",0.134,0.214,0.058,0.018,0
"P27","A Gerardo Morales",0.096,0.009,0.012,0.111,0
"P28","Seguro lo votaria",0.148,0.224,0.165,0.239,0.024
"P28","Quizás lo votaría",0.29,0.378,0.282,0.41,0.484
"P28","Nunca lo votaría",0.562,0.398,0.553,0.351,0.492
"P29","Muy buena",0.116,0.026,0.116,0.033,0.063
"P29","Buena",0.077,0.155,0.068,0.214,0.086
"P29","Ni buena ni mala",0.188,0.186,0.105,0.248,0.191
"P29","Mala",0.161,0.146,0.096,0.132,0.189
"P29","Muy mala",0.44,0.48,0.61,0.365,0.407
"P29","No sabe",0.018,0.007,0.005,0.008,0.064
"P30","Muy buena",0.177,0.149,0.118,0.089,0.06
"P30","Buena",0.169,0.115,0.111,0.211,0.193
"P30","Ni buena ni mala",0.171,0.218,0.18,0.182,0.175
"P30","Mala",0.149,0.191,0.189,0.182,0.207
"P30","Muy mala",0.318,0.324,0.394,0.313,0.346
"P30","No sabe",0.016,0.003,0.008,0.023,0.019
"P31","Muy buena",0.175,0.212,0.21,0.264,0.194
"P31","Buena",0.063,0.066,0.017,0.096,0.059
"P31","Ni buena ni mala",0.095,0.074,0.104,0.112,0.122
"P31","Mala",0.097,0.098,0.037,0.116,0.108
"P31","Muy mala",0.555,0.549,0.632,0.407,0.504
"P31","No sabe",0.015,0.001,0,0.005,0.013
"P32","Muy buena",0.185,0.258,0.181,0.206,0.093
"P32","Buena",0.2,0.157,0.163,0.202,0.279
"P32","Ni buena ni mala",0.248,0.215,0.185,0.23,0.163
"P32","Mala",0.126,0.096,0.168,0.124,0.142
"P32","Muy mala",0.236,0.266,0.286,0.228,0.241
"P32","No sabe",0.005,0.008,0.017,0.01,0.082
"P33","Muy buena",0.158,0.12,0.109,0.116,0.088
"P33","Buena",0.171,0.144,0.122,0.186,0.196
"P33","Ni buena ni mala",0.168,0.156,0.11,0.249,0.262
"P33","Mala",0.128,0.144,0.143,0.104,0.069
"P33","Muy mala",0.356,0.413,0.508,0.343,0.33
"P33","No sabe",0.019,0.023,0.008,0.002,0.055
"P34","Muy buena",0.272,0.314,0.229,0.219,0.128
"P34","Buena",0.182,0.101,0.161,0.111,0.205
"P34","Ni buena ni mala",0.139,0.129,0.095,0.225,0.086
"P34","Mala",0.089,0.069,0.134,0.102,0.169
"P34","Muy mala",0.304,0.344,0.362,0.325,0.357
"P34","No sabe",0.014,0.043,0.019,0.018,0.055
"P35","Muy buena",0.212,0.119,0.221,0.147,0.112
"P35","Buena",0.17,0.126,0.086,0.077,0.044
"P35","Ni buena ni mala",0.244,0.2,0.252,0.311,0.171
"P35","Mala",0.092,0.154,0.121,0.199,0.257
"P35","Muy mala",0.237,0.356,0.252,0.261,0.273
"P35","No sabe",0.045,0.045,0.068,0.005,0.143
