"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P07","Al candidato del Frente de Todos",0.061,0.159,0.179
"P07","Al candidato de Juntos por el Cambio",0.801,0.73,0.68
"P07","Al candidato de los liberales - libertarios",0.013,0.068,0.031
"P07","Al candidato de la Izquierda",0,0,0.004
"P07","A otro candidato",0.116,0,0.058
"P07","No sabe",0.009,0.043,0.048
"P08","A Julio Zamora por el Frente de Todos",0.076,0.123,0.141
"P08","A Malena Galmarini por el Frente de Todos",0.027,0.023,0.042
"P08","A Segundo Cernadas por Cambiemos",0.543,0.692,0.419
"P08","A Nicolás Massot por Cambiemos",0.264,0.142,0.27
"P08","Al candidato de los liberales libertarios",0.076,0,0.035
"P08","A Paula Akerfeld por el Frente de Izquierda",0.009,0,0
"P08","No sabe",0.005,0.02,0.093
"P10","A Julio Zamora por el Frente de Todos",0.123,0.195,0.204
"P10","A Segundo Cernadas por Cambiemos",0.711,0.706,0.505
"P10","Al candidato de los liberales libertarios",0.078,0.032,0.09
"P10","A Paula Akerfeld por el Frente de Izquierda",0,0.011,0.054
"P10","No sabe",0.088,0.056,0.147
"P12","A Malena Galmarini por el Frente de Todos",0.197,0.125,0.053
"P12","A Segundo Cernadas por Cambiemos",0.75,0.767,0.751
"P12","Al candidato de los liberales libertarios",0.031,0.029,0.031
"P12","A Paula Akerfeld por el Frente de Izquierda",0,0.011,0
"P12","No sabe",0.022,0.068,0.165
"P14","Muy buena",0.025,0.06,0.034
"P14","Buena",0.026,0.013,0.065
"P14","Ni buena ni mala",0.273,0.189,0.184
"P14","Mala",0.135,0.34,0.326
"P14","Muy mala",0.505,0.381,0.339
"P14","No sabe",0.036,0.017,0.052
"P15","Muy buena",0.061,0.066,0.046
"P15","Buena",0.053,0.091,0.182
"P15","Ni buena ni mala",0.267,0.332,0.289
"P15","Mala",0.15,0.204,0.253
"P15","Muy mala",0.411,0.242,0.22
"P15","No sabe",0.058,0.065,0.01
"P16","Muy buena",0.526,0.356,0.34
"P16","Buena",0.346,0.234,0.245
"P16","Ni buena ni mala",0.062,0.317,0.275
"P16","Mala",0.045,0.025,0.045
"P16","Muy mala",0.014,0,0.078
"P16","No sabe",0.007,0.068,0.017
"P17","Muy buena",0.034,0.072,0.024
"P17","Buena",0.009,0.018,0.04
"P17","Ni buena ni mala",0.488,0.349,0.374
"P17","Mala",0.041,0.15,0.043
"P17","Muy mala",0.176,0.042,0.037
"P17","No sabe",0.252,0.369,0.482
"P18","Muy buena",0.256,0.088,0.13
"P18","Buena",0.032,0.151,0.167
"P18","Ni buena ni mala",0.254,0.437,0.431
"P18","Mala",0.111,0.038,0.069
"P18","Muy mala",0.222,0.032,0.036
"P18","No sabe",0.125,0.254,0.167
"P19","La seguridad",0.205,0.261,0.44
"P19","El tránsito",0.022,0.033,0.096
"P19","El arreglo de las calles",0.072,0.156,0.065
"P19","El estado de las escuelas y la educación",0.099,0.004,0.031
"P19","El sistema de salud",0.156,0.089,0.069
"P19","El deporte y la cultura",0.106,0.102,0.037
"P19","La obra pública",0.031,0.079,0.043
"P19","La luminaria",0.121,0.118,0.051
"P19","No sabe",0.188,0.158,0.168
"P20","La seguridad",0.125,0.101,0.193
"P20","El tránsito",0.031,0.026,0.154
"P20","El arreglo de las calles",0.184,0.293,0.182
"P20","El estado de las escuelas y la educación",0.187,0.153,0.17
"P20","El sistema de salud",0.237,0.171,0.108
"P20","El deporte y la cultura",0.052,0.032,0.005
"P20","La obra pública",0.067,0.154,0.076
"P20","La luminaria",0.022,0,0.014
"P20","No sabe",0.095,0.07,0.098
"P21","Agua corriente y cloacas",0.471,0.475,0.436
"P21","Energía eléctrica",0.137,0.077,0.126
"P21","Red de gas natural",0.075,0.189,0.05
"P21","Recolección de residuos",0.096,0.119,0.278
"P21","Ninguno",0.221,0.14,0.11
"P22","Los robos",0.241,0.241,0.354
"P22","El narcotráfico",0.395,0.341,0.272
"P22","La ausencia de patrulleros y personal policial",0.122,0.107,0.159
"P22","Otro",0.231,0.202,0.131
