"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P07","Al candidato del Frente de Todos",0.757,0.955,0.361,0.917
"P07","Al candidato de Juntos por el Cambio",0.243,0.036,0.487,0.021
"P07","Al candidato de los liberales - libertarios",0,0,0.107,0
"P07","Al candidato de la Izquierda",0,0,0,0.048
"P07","A otro candidato",0,0,0.016,0.008
"P07","No sabe",0,0.009,0.029,0.006
"P08","A Julio Zamora por el Frente de Todos",0.943,0.268,0.343,0.575
"P08","A Malena Galmarini por el Frente de Todos",0,0.59,0.025,0.298
"P08","A Segundo Cernadas por Cambiemos",0.057,0.081,0.25,0.043
"P08","A Nicolás Massot por Cambiemos",0,0.031,0.187,0.043
"P08","Al candidato de los liberales libertarios",0,0,0.175,0
"P08","A Paula Akerfeld por el Frente de Izquierda",0,0,0.012,0.016
"P08","No sabe",0,0.03,0.008,0.025
"P10","A Julio Zamora por el Frente de Todos",0.627,0.684,0.452,0.804
"P10","A Segundo Cernadas por Cambiemos",0.373,0.073,0.324,0.019
"P10","Al candidato de los liberales libertarios",0,0.017,0,0.04
"P10","A Paula Akerfeld por el Frente de Izquierda",0,0.01,0.036,0.073
"P10","No sabe",0,0.216,0.188,0.064
"P12","A Malena Galmarini por el Frente de Todos",0.671,0.879,0.406,0.759
"P12","A Segundo Cernadas por Cambiemos",0.253,0.011,0.299,0.056
"P12","Al candidato de los liberales libertarios",0,0,0.176,0.002
"P12","A Paula Akerfeld por el Frente de Izquierda",0.007,0,0,0.078
"P12","No sabe",0.069,0.11,0.119,0.105
"P14","Muy buena",0.343,0.687,0.041,0.371
"P14","Buena",0.163,0.168,0.05,0.275
"P14","Ni buena ni mala",0.096,0.12,0.342,0.139
"P14","Mala",0.007,0.007,0.28,0.089
"P14","Muy mala",0.267,0.018,0.117,0.121
"P14","No sabe",0.124,0,0.17,0.005
"P15","Muy buena",0.589,0.423,0.08,0.369
"P15","Buena",0.185,0.181,0.089,0.27
"P15","Ni buena ni mala",0.007,0.307,0.488,0.18
"P15","Mala",0.012,0.07,0.255,0.062
"P15","Muy mala",0.207,0.009,0.08,0.119
"P15","No sabe",0,0.01,0.008,0
"P16","Muy buena",0.093,0.088,0.267,0.093
"P16","Buena",0.364,0.07,0.059,0.006
"P16","Ni buena ni mala",0.107,0.372,0.323,0.211
"P16","Mala",0.023,0.115,0.279,0.184
"P16","Muy mala",0.403,0.216,0.064,0.412
"P16","No sabe",0.01,0.139,0.008,0.094
"P17","Muy buena",0.3,0.04,0.021,0.007
"P17","Buena",0.013,0.028,0.001,0.055
"P17","Ni buena ni mala",0.08,0.409,0.422,0.234
"P17","Mala",0.007,0.083,0.084,0.067
"P17","Muy mala",0.207,0.037,0,0.053
"P17","No sabe",0.393,0.403,0.472,0.584
"P18","Muy buena",0.396,0.02,0.181,0.054
"P18","Buena",0.02,0.036,0.011,0.061
"P18","Ni buena ni mala",0.033,0.624,0.415,0.213
"P18","Mala",0.016,0.115,0.12,0.309
"P18","Muy mala",0.219,0.08,0.005,0.233
"P18","No sabe",0.316,0.125,0.268,0.13
"P19","La seguridad",0.247,0.358,0.323,0.289
"P19","El tránsito",0.207,0.01,0,0.021
"P19","El arreglo de las calles",0.12,0.065,0.034,0.088
"P19","El estado de las escuelas y la educación",0.25,0.054,0.174,0.041
"P19","El sistema de salud",0.052,0.217,0.026,0.184
"P19","El deporte y la cultura",0.112,0.115,0.018,0.147
"P19","La obra pública",0,0.074,0.05,0.12
"P19","La luminaria",0,0.048,0.06,0.061
"P19","No sabe",0.012,0.059,0.315,0.049
"P20","La seguridad",0.442,0.088,0.235,0.07
"P20","El tránsito",0.026,0.088,0.04,0.197
"P20","El arreglo de las calles",0.096,0.215,0.025,0.078
"P20","El estado de las escuelas y la educación",0.255,0.152,0.008,0.23
"P20","El sistema de salud",0.072,0.254,0.335,0.271
"P20","El deporte y la cultura",0.01,0.036,0.012,0.08
"P20","La obra pública",0,0.079,0.033,0.031
"P20","La luminaria",0,0.023,0.023,0.002
"P20","No sabe",0.099,0.065,0.289,0.041
"P21","Agua corriente y cloacas",0.494,0.493,0.606,0.58
"P21","Energía eléctrica",0.106,0.174,0.014,0.06
"P21","Red de gas natural",0,0,0.075,0.083
"P21","Recolección de residuos",0.007,0.129,0.035,0.106
"P21","Ninguno",0.393,0.204,0.27,0.171
"P22","Los robos",0.707,0.282,0.087,0.253
"P22","El narcotráfico",0.099,0.305,0.501,0.405
"P22","La ausencia de patrulleros y personal policial",0.021,0.106,0.016,0.076
"P22","Otro",0.068,0.28,0.06,0.149
"P22","Ninguno",0.105,0.027,0.336,0.117
"P25","A Alberto Fernández",0.823,0.064,0.013,0.219
"P25","A Sergio Massa",0.165,0.897,0.35,0.114
"P25","A algún candidato del peronismo",0,0,0.564,0.033
"P25","A algún candidato del kirchnerismo",0.012,0.039,0.073,0.634
"P29","Muy buena",0.592,0.123,0.012,0.08
"P29","Buena",0.132,0.255,0.062,0.47
"P29","Ni buena ni mala",0.058,0.465,0.485,0.149
"P29","Mala",0,0.116,0.098,0.217
"P29","Muy mala",0.218,0.041,0.343,0.07
"P29","No sabe",0,0,0,0.014
"P30","Muy buena",0.557,0,0.142,0
"P30","Buena",0.079,0.049,0.254,0.015
"P30","Ni buena ni mala",0.049,0.063,0.208,0.022
"P30","Mala",0.07,0.291,0.121,0.173
"P30","Muy mala",0.245,0.446,0.275,0.788
"P30","No sabe",0,0.151,0,0.002
"P31","Muy buena",0.49,0.201,0.118,0.721
"P31","Buena",0.034,0.189,0.02,0.045
"P31","Ni buena ni mala",0.167,0.2,0.4,0.068
"P31","Mala",0,0.072,0.144,0.048
"P31","Muy mala",0.309,0.227,0.318,0.118
"P31","No sabe",0,0.111,0,0
"P32","Muy buena",0.377,0.143,0.525,0.151
"P32","Buena",0.008,0.22,0.039,0.004
"P32","Ni buena ni mala",0.075,0.159,0.235,0.02
"P32","Mala",0.095,0.196,0.169,0.16
"P32","Muy mala",0.435,0.173,0.032,0.643
"P32","No sabe",0.01,0.109,0,0.022
"P33","Muy buena",0.424,0.782,0.499,0.108
"P33","Buena",0.165,0.172,0.053,0.326
"P33","Ni buena ni mala",0.015,0.037,0.179,0.362
"P33","Mala",0.072,0.009,0.146,0.051
"P33","Muy mala",0.324,0,0.109,0.113
"P33","No sabe",0,0,0.014,0.04
"P34","Muy buena",0.372,0.108,0.392,0.004
"P34","Buena",0.106,0.049,0.232,0.007
"P34","Ni buena ni mala",0.025,0.062,0.042,0.015
"P34","Mala",0.046,0.329,0.203,0.115
"P34","Muy mala",0.402,0.452,0.131,0.807
"P34","No sabe",0.049,0,0,0.052
"P35","Muy buena",0.395,0.043,0.157,0
"P35","Buena",0,0,0.221,0
"P35","Ni buena ni mala",0.1,0.084,0.086,0.019
"P35","Mala",0.026,0.425,0.377,0.266
"P35","Muy mala",0.43,0.448,0.114,0.703
"P35","No sabe",0.049,0,0.045,0.012
