"var","categoria","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"P07","Si",0.929,0.82,0.717,0.882,0.683,0.894,0.747,0.408
"P07","Puede ser",0.056,0.131,0.122,0.062,0.237,0.073,0.207,0.182
"P07","No",0.015,0.049,0.161,0.056,0.08,0.033,0.046,0.41
"P23","Si",0.925,0.846,0.854,0.636,0.856,0.849,0.67,0.665
"P23","No",0.075,0.154,0.146,0.364,0.144,0.151,0.33,0.335
"P24","Inflación",0.318,0.207,0.182,0.214,0.147,0.188,0.124,0.186
"P24","Desempleo",0.185,0.069,0.096,0.101,0.136,0.11,0.181,0.132
"P24","Corrupción",0.083,0.434,0.419,0.381,0.344,0.496,0.246,0.297
"P24","Precio del dólar",0.058,0.024,0.034,0.029,0.01,0.002,0.041,0.022
"P24","Inseguridad",0.12,0.121,0.103,0.128,0.094,0.046,0.172,0.099
"P24","Pobreza",0.102,0.075,0.035,0.099,0.172,0.104,0.107,0.112
"P24","Narcotráfico",0.012,0.021,0.001,0,0,0.02,0.008,0.01
"P24","Tarifas",0.032,0.015,0.019,0.015,0.006,0,0.014,0.022
"P24","Otro",0.066,0.022,0.084,0.02,0.079,0.013,0.035,0.098
"P24","No sabe",0.024,0.012,0.027,0.013,0.012,0.021,0.072,0.022
"P30","Gran excedente habitual",0.002,0.01,0.001,0,0,0.007,0.001,0.003
"P30","Gran excedente excepcional",0.003,0.005,0.001,0.002,0,0.002,0.015,0.007
"P30","Pequeño excedente habitual",0.061,0.029,0.024,0.019,0.024,0.064,0.011,0.011
"P30","Pequeño excedente excepcional",0.085,0.048,0.059,0.045,0.072,0.061,0.031,0.023
"P30","Alcanza gastos familia",0.218,0.105,0.128,0.129,0.078,0.11,0.048,0.057
"P30","No alcanza gastos familia",0.13,0.169,0.2,0.212,0.094,0.174,0.292,0.238
"P30","Solo NBFamiliares",0.235,0.278,0.27,0.313,0.284,0.208,0.168,0.176
"P30","No alcanza NBFamiliares",0.26,0.345,0.284,0.275,0.444,0.347,0.406,0.437
"P30","No sabe",0.006,0.011,0.033,0.005,0.004,0.027,0.028,0.048
"P33","Mejor",0.405,0.03,0.029,0.065,0.117,0.076,0.062,0.05
"P33","Igual",0.309,0.167,0.204,0.216,0.34,0.127,0.228,0.22
"P33","Peor",0.112,0.708,0.7,0.537,0.386,0.734,0.437,0.551
"P33","No sabe",0.174,0.095,0.067,0.182,0.157,0.063,0.273,0.179
"P36","Mejor",0.52,0.018,0.05,0.075,0.132,0.03,0.103,0.037
"P36","Igual",0.225,0.108,0.146,0.218,0.35,0.102,0.17,0.274
"P36","Peor",0.134,0.824,0.758,0.57,0.475,0.826,0.481,0.579
"P36","No sabe",0.121,0.05,0.046,0.137,0.043,0.042,0.246,0.11
"P42","Muy buena",0.421,0.019,0.017,0.036,0.028,0.006,0.136,0.053
"P42","Buena",0.346,0.027,0.026,0.128,0.085,0.006,0.19,0.122
"P42","Ni buena ni mala",0.133,0.033,0.071,0.147,0.135,0.075,0.234,0.228
"P42","Mala",0.013,0.151,0.155,0.281,0.252,0.123,0.18,0.15
"P42","Muy mala",0.074,0.764,0.73,0.393,0.381,0.786,0.226,0.379
"P42","No sabe",0.013,0.006,0.001,0.015,0.119,0.004,0.034,0.068
"P43","Muy buena",0.657,0.038,0.024,0.092,0.104,0.033,0.264,0.172
"P43","Buena",0.151,0.014,0.003,0.084,0.105,0.031,0.099,0.078
"P43","Ni buena ni mala",0.077,0.047,0.042,0.106,0.107,0.089,0.13,0.152
"P43","Mala",0.023,0.058,0.073,0.096,0.182,0.066,0.169,0.14
"P43","Muy mala",0.089,0.839,0.83,0.587,0.386,0.781,0.328,0.345
"P43","No sabe",0.003,0.004,0.028,0.035,0.116,0,0.01,0.113
"P44","Muy buena",0.03,0.309,0.116,0.004,0.035,0.043,0.096,0.05
"P44","Buena",0.029,0.303,0.15,0.014,0.029,0.112,0.055,0.034
"P44","Ni buena ni mala",0.044,0.202,0.292,0.183,0.085,0.246,0.116,0.212
"P44","Mala",0.128,0.126,0.228,0.315,0.224,0.248,0.227,0.194
"P44","Muy mala",0.763,0.057,0.204,0.458,0.511,0.351,0.426,0.411
"P44","No sabe",0.006,0.003,0.01,0.026,0.116,0,0.08,0.099
"P45","Muy buena",0.056,0.533,0.256,0.05,0.155,0.074,0.074,0.099
"P45","Buena",0.077,0.286,0.366,0.475,0.208,0.178,0.166,0.102
"P45","Ni buena ni mala",0.202,0.118,0.283,0.251,0.1,0.399,0.263,0.303
"P45","Mala",0.249,0.03,0.048,0.057,0.2,0.163,0.133,0.098
"P45","Muy mala",0.396,0.018,0.046,0.146,0.198,0.18,0.226,0.275
"P45","No sabe",0.02,0.015,0.001,0.021,0.139,0.006,0.138,0.123
"P64","Totalmente de acuerdo",0.602,0.054,0.067,0.146,0.204,0.037,0.205,0.118
"P64","Bastante de acuerdo",0.266,0.063,0.041,0.152,0.156,0.058,0.207,0.203
"P64","Poco de acuerdo",0.062,0.268,0.367,0.449,0.26,0.219,0.278,0.282
"P64","Nada de acuerdo",0.044,0.522,0.459,0.175,0.327,0.501,0.241,0.297
"P64","No sabe",0.026,0.093,0.066,0.078,0.053,0.185,0.069,0.1
"P67","Si, hay mucha información en los medios y comprendo las medidas preventivas",0.653,0.429,0.388,0.507,0.362,0.484,0.478,0.391
"P67","Si, hay mucha información, aunque muchas veces es contradictoria",0.216,0.348,0.313,0.312,0.423,0.273,0.32,0.32
"P67","Mas o menos. Es difícil creerle a los que informan",0.088,0.157,0.191,0.095,0.105,0.178,0.087,0.193
"P67","No, la información es escasa y difícil de entender",0.018,0.014,0.04,0,0.045,0.009,0.015,0.003
"P67","No, la información no es confiable y es imposible de entender",0.018,0.05,0.03,0.026,0.02,0.022,0.007,0.062
"P67","No sabe",0.007,0.002,0.038,0.06,0.045,0.034,0.093,0.031
"P74","La Pfizer, fabricada en Estados Unidos",0.084,0.571,0.449,0.202,0.155,0.409,0.198,0.145
"P74","La Sputnik, fabricada en Rusia",0.559,0.111,0.11,0.518,0.313,0.186,0.33,0.362
"P74","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México",0.068,0.034,0.032,0.034,0.071,0.092,0.069,0.026
"P74","La vacuna de Oxford, fabricada por AstraZeneca en India",0.009,0.012,0.005,0.047,0.05,0.034,0.006,0.034
"P74","La vacuna China fabricada en China",0.015,0.006,0.038,0.096,0.038,0.005,0.095,0.026
"P74","Me resultan todas confiables",0.242,0.137,0.194,0.054,0.217,0.124,0.213,0.186
"P74","No sabe",0.023,0.129,0.172,0.049,0.156,0.15,0.089,0.221
