clave	texto
encuesta_especial	Muestra Focal Probabilística - Votantes de J. Schiaretti - Noviembre 2023
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	04/11/2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	República Argentina
ficha_Estratificación	Cinco estratos regionales (NEA, NOA, Cuyo, Centro y Patagonia) y Cordones I,II y III de la RMBA e interior PBA.
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Aleatorio estratificado por regiones
ficha_Tamaño muestral	La captura de datos se llevó a cabo del 03/11/2023 al 04/11/2023 abarcando 680 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 3.76 %
