"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.79,0.838,0.981,0.777,0.915,0.971,0.794,0.783
"P06","Tiene dudas sobre si va a ir a  votar",0.17,0.162,0.019,0.19,0.069,0.029,0.091,0.112
"P06","Tiene Decidido que no va a ir a votar",0.04,0,0,0.033,0.016,0,0.115,0.105
"P07","Mucho",0.456,0.549,0.274,0.49,0.465,0.445,0.261,0.259
"P07","Bastante",0.301,0.392,0.347,0.201,0.254,0.354,0.391,0.398
"P07","Poco",0.145,0.051,0.089,0.233,0.2,0.065,0.143,0.218
"P07","Nada",0.082,0.008,0.162,0.042,0.081,0.136,0.195,0.098
"P07","No sabe",0.016,0,0.128,0.034,0,0,0.01,0.027
"P08","Siempre",0.307,0.359,0.299,0.304,0.25,0.409,0.233,0.124
"P08","Casi siempre",0.32,0.385,0.463,0.328,0.296,0.156,0.19,0.215
"P08","Casi nunca",0.247,0.217,0.219,0.294,0.321,0.28,0.461,0.334
"P08","Nunca, pero esta es una excepción",0.126,0.039,0.019,0.074,0.133,0.155,0.116,0.327
"P11","Unión por la Patria",0.43,0.055,0.038,0.161,0.047,0.408,0.141,0.075
"P11","Juntos por el Cambio",0.123,0.571,0.606,0.175,0.098,0,0.107,0.164
"P11","Juntos Somos Río Negro",0.082,0.088,0,0.387,0.037,0.143,0.055,0.107
"P11","Liberales",0.13,0.104,0.021,0.142,0.69,0.037,0.175,0.05
"P11","Izquierda",0.062,0.055,0.068,0.025,0.014,0.358,0,0.081
"P11","Otro",0.062,0.106,0.147,0.047,0.026,0.025,0.065,0.079
"P11","No sabe",0.111,0.021,0.12,0.063,0.088,0.029,0.457,0.444
"P16","Totalmente seguro",0.594,0.669,0.581,0.639,0.732,0.655,0.441,0.273
"P16","Bastante seguro",0.225,0.18,0.145,0.09,0.11,0.105,0.223,0.093
"P16","Algo seguro",0.062,0.053,0.158,0.176,0.11,0.24,0.112,0.271
"P16","Para nada seguro",0.119,0.098,0.116,0.095,0.048,0,0.224,0.363
