"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.368,0.365,0.371,0.431,0.355,0.378,0.321,0.226,0.362,0.419,0.44,0.348,0.557,0.385,0.476,0.351,0.398,0.418
"Desempleo",0.073,0.083,0.066,0.107,0.063,0.049,0.083,0.194,0.06,0.042,0.089,0.066,0.054,0.121,0.022,0.039,0.063,0.125
"Corrupción",0.29,0.319,0.266,0.201,0.295,0.295,0.363,0.276,0.32,0.275,0.118,0.357,0.228,0.08,0.065,0.402,0.36,0.301
"Inseguridad",0.109,0.087,0.127,0.117,0.113,0.124,0.079,0.146,0.14,0.075,0.098,0.126,0.134,0.167,0.088,0.107,0.064,0.109
"Precio del dólar",0.016,0.005,0.025,0.017,0.02,0.014,0.01,0.047,0.011,0.009,0.042,0.003,0,0.062,0.011,0.002,0,0.003
"Pobreza",0.06,0.048,0.069,0.041,0.082,0.054,0.045,0.019,0.038,0.088,0.101,0.029,0,0.082,0.156,0.029,0.059,0.008
"Narcotráfico",0.004,0.007,0.002,0,0.001,0.014,0.002,0.011,0,0.005,0.001,0.007,0,0.004,0,0.012,0,0
"Tarifas",0.005,0.005,0.005,0,0.001,0.011,0.01,0,0.008,0.005,0.006,0.006,0,0.008,0.005,0.01,0,0
"Otro",0.057,0.07,0.047,0.051,0.07,0.042,0.059,0.045,0.033,0.078,0.085,0.039,0.027,0.065,0.16,0.043,0.035,0.031
"No sabe",0.018,0.011,0.022,0.035,0,0.019,0.028,0.036,0.028,0.004,0.02,0.019,0,0.026,0.017,0.005,0.021,0.005
