"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.296,0.308,0.282,0.329,0.321,0.248,0.248,0.339,0.301,0.256,0.442,0.167,0.137,0.043,0.353,0.255,0.296,0.296,6
"Buena",0.272,0.263,0.283,0.186,0.265,0.289,0.398,0.226,0.285,0.293,0.309,0.301,0.221,0.307,0.275,0.281,0.292,0.253,6
"Ni buena ni mala",0.256,0.274,0.236,0.21,0.257,0.297,0.247,0.245,0.251,0.271,0.154,0.337,0.407,0.335,0.239,0.27,0.25,0.263,6
"Mala",0.088,0.098,0.077,0.101,0.104,0.069,0.046,0.1,0.051,0.123,0.048,0.09,0.112,0.197,0.059,0.1,0.077,0.098,6
"Muy mala",0.055,0.038,0.074,0.126,0.038,0.043,0.032,0.052,0.075,0.034,0.023,0.093,0.075,0.11,0.062,0.048,0.05,0.06,6
"No sabe",0.033,0.019,0.048,0.048,0.015,0.054,0.029,0.038,0.037,0.023,0.024,0.012,0.048,0.008,0.012,0.046,0.035,0.03,6
"Positiva",0.568,0.571,0.565,0.515,0.586,0.537,0.646,0.565,0.586,0.549,0.751,0.468,0.358,0.35,0.628,0.536,0.588,0.549,4
"Neutra",0.256,0.274,0.236,0.21,0.257,0.297,0.247,0.245,0.251,0.271,0.154,0.337,0.407,0.335,0.239,0.27,0.25,0.263,4
"Negativa",0.143,0.136,0.151,0.227,0.142,0.112,0.078,0.152,0.126,0.157,0.071,0.183,0.187,0.307,0.121,0.148,0.127,0.158,4
"No sabe",0.033,0.019,0.048,0.048,0.015,0.054,0.029,0.038,0.037,0.023,0.024,0.012,0.048,0.008,0.012,0.046,0.035,0.03,4
