"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.15,0.157,0.141,0.124,0.127,0.177,0.206,0.24,0.123,0.112,0.17,0.124,0.24,0.065,0.224,0.107,0.147,0.152,6
"Buena",0.167,0.149,0.188,0.154,0.145,0.181,0.228,0.136,0.181,0.173,0.135,0.176,0.456,0.105,0.2,0.142,0.121,0.212,6
"Ni buena ni mala",0.279,0.259,0.302,0.151,0.292,0.334,0.297,0.308,0.297,0.236,0.282,0.305,0.219,0.337,0.307,0.252,0.263,0.295,6
"Mala",0.227,0.236,0.217,0.317,0.237,0.183,0.162,0.197,0.201,0.281,0.245,0.231,0.057,0.109,0.15,0.28,0.26,0.195,6
"Muy mala",0.163,0.187,0.135,0.254,0.191,0.101,0.07,0.107,0.18,0.186,0.153,0.154,0.028,0.348,0.109,0.203,0.193,0.134,6
"No sabe",0.014,0.012,0.017,0,0.008,0.024,0.037,0.012,0.018,0.012,0.015,0.01,0,0.036,0.01,0.016,0.016,0.012,6
"Positiva",0.317,0.306,0.329,0.278,0.272,0.358,0.434,0.376,0.304,0.285,0.305,0.3,0.696,0.17,0.424,0.249,0.268,0.364,4
"Neutra",0.279,0.259,0.302,0.151,0.292,0.334,0.297,0.308,0.297,0.236,0.282,0.305,0.219,0.337,0.307,0.252,0.263,0.295,4
"Negativa",0.39,0.423,0.352,0.571,0.428,0.284,0.232,0.304,0.381,0.467,0.398,0.385,0.085,0.457,0.259,0.483,0.453,0.329,4
"No sabe",0.014,0.012,0.017,0,0.008,0.024,0.037,0.012,0.018,0.012,0.015,0.01,0,0.036,0.01,0.016,0.016,0.012,4
