"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.171,0.201,0.137,0.175,0.168,0.163,0.195,0.174,0.167,0.175,0.191,0.162,0.071,0.29,0.054,0.255,0.18,0.163,6
"Buena",0.192,0.161,0.229,0.247,0.179,0.179,0.189,0.153,0.238,0.168,0.186,0.213,0.092,0.138,0.065,0.274,0.193,0.19,6
"Ni buena ni mala",0.303,0.319,0.285,0.245,0.302,0.375,0.247,0.411,0.284,0.245,0.29,0.337,0.303,0.389,0.187,0.38,0.295,0.312,6
"Mala",0.115,0.111,0.12,0.121,0.128,0.078,0.134,0.126,0.126,0.095,0.131,0.072,0.078,0.042,0.233,0.03,0.131,0.1,6
"Muy mala",0.198,0.191,0.205,0.178,0.218,0.181,0.185,0.122,0.169,0.287,0.179,0.196,0.437,0.14,0.439,0.042,0.181,0.214,6
"No sabe",0.021,0.017,0.024,0.034,0.005,0.024,0.05,0.014,0.016,0.03,0.023,0.02,0.019,0.001,0.022,0.019,0.02,0.021,6
"Positiva",0.363,0.362,0.366,0.422,0.347,0.342,0.384,0.327,0.405,0.343,0.377,0.375,0.163,0.428,0.119,0.529,0.373,0.353,4
"Neutra",0.303,0.319,0.285,0.245,0.302,0.375,0.247,0.411,0.284,0.245,0.29,0.337,0.303,0.389,0.187,0.38,0.295,0.312,4
"Negativa",0.313,0.302,0.325,0.299,0.346,0.259,0.319,0.248,0.295,0.382,0.31,0.268,0.515,0.182,0.672,0.072,0.312,0.314,4
"No sabe",0.021,0.017,0.024,0.034,0.005,0.024,0.05,0.014,0.016,0.03,0.023,0.02,0.019,0.001,0.022,0.019,0.02,0.021,4
