"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.296,0.283,0.312,0.287,0.308,0.322,0.221,0.401,0.281,0.237,0.442,0.142,0.133,0.044,0.308,0.28,0.293,0.299,6
"Buena",0.284,0.328,0.231,0.212,0.291,0.259,0.395,0.264,0.308,0.269,0.284,0.346,0.367,0.245,0.316,0.267,0.296,0.272,6
"Ni buena ni mala",0.309,0.283,0.34,0.315,0.292,0.346,0.288,0.27,0.295,0.354,0.214,0.42,0.37,0.483,0.247,0.354,0.292,0.326,6
"Mala",0.075,0.082,0.066,0.152,0.063,0.049,0.065,0.037,0.066,0.114,0.046,0.05,0.081,0.15,0.086,0.07,0.08,0.07,6
"Muy mala",0.029,0.016,0.045,0.034,0.039,0.016,0.014,0.028,0.038,0.02,0.007,0.042,0.041,0.049,0.037,0.021,0.03,0.028,6
"No sabe",0.007,0.008,0.006,0,0.007,0.008,0.017,0,0.012,0.006,0.007,0,0.008,0.029,0.006,0.008,0.009,0.005,6
"Positiva",0.58,0.611,0.543,0.499,0.599,0.581,0.616,0.665,0.589,0.506,0.726,0.488,0.5,0.289,0.624,0.547,0.589,0.571,4
"Neutra",0.309,0.283,0.34,0.315,0.292,0.346,0.288,0.27,0.295,0.354,0.214,0.42,0.37,0.483,0.247,0.354,0.292,0.326,4
"Negativa",0.104,0.098,0.111,0.186,0.102,0.065,0.079,0.065,0.104,0.134,0.053,0.092,0.122,0.199,0.123,0.091,0.11,0.098,4
"No sabe",0.007,0.008,0.006,0,0.007,0.008,0.017,0,0.012,0.006,0.007,0,0.008,0.029,0.006,0.008,0.009,0.005,4
