"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.091,0.117,0.059,0.07,0.075,0.13,0.097,0.1,0.096,0.077,0.1,0.104,0.064,0.086,0.034,0.135,0.114,0.068,6
"Buena",0.119,0.141,0.092,0.072,0.079,0.171,0.217,0.088,0.14,0.118,0.126,0.166,0.036,0.095,0.036,0.179,0.1,0.138,6
"Ni buena ni mala",0.43,0.405,0.46,0.482,0.459,0.383,0.353,0.49,0.413,0.405,0.438,0.45,0.301,0.435,0.312,0.498,0.397,0.462,6
"Mala",0.125,0.137,0.11,0.096,0.13,0.119,0.152,0.15,0.12,0.111,0.138,0.085,0.106,0.118,0.225,0.051,0.133,0.116,6
"Muy mala",0.174,0.155,0.198,0.214,0.196,0.135,0.124,0.111,0.188,0.206,0.15,0.126,0.409,0.134,0.325,0.077,0.188,0.161,6
"No sabe",0.061,0.045,0.081,0.066,0.061,0.062,0.057,0.061,0.043,0.083,0.048,0.069,0.084,0.132,0.068,0.06,0.068,0.055,6
"Positiva",0.21,0.258,0.151,0.142,0.154,0.301,0.314,0.188,0.236,0.195,0.226,0.27,0.1,0.181,0.07,0.314,0.214,0.206,4
"Neutra",0.43,0.405,0.46,0.482,0.459,0.383,0.353,0.49,0.413,0.405,0.438,0.45,0.301,0.435,0.312,0.498,0.397,0.462,4
"Negativa",0.299,0.292,0.308,0.31,0.326,0.254,0.276,0.261,0.308,0.317,0.288,0.211,0.515,0.252,0.55,0.128,0.321,0.277,4
"No sabe",0.061,0.045,0.081,0.066,0.061,0.062,0.057,0.061,0.043,0.083,0.048,0.069,0.084,0.132,0.068,0.06,0.068,0.055,4
