"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.064,0.06,0.069,0.067,0.041,0.103,0.067,0.15,0.047,0.02,0.061,0.07,0.144,0.054,0.088,0.05,0.061,0.067,6
"Buena",0.168,0.151,0.187,0.148,0.158,0.177,0.206,0.208,0.188,0.113,0.144,0.298,0.096,0.073,0.173,0.155,0.161,0.174,6
"Ni buena ni mala",0.266,0.292,0.234,0.323,0.25,0.241,0.29,0.226,0.25,0.313,0.27,0.298,0.227,0.294,0.252,0.274,0.297,0.235,6
"Mala",0.33,0.322,0.34,0.264,0.345,0.331,0.361,0.298,0.323,0.362,0.341,0.208,0.43,0.342,0.308,0.349,0.283,0.377,6
"Muy mala",0.166,0.171,0.161,0.198,0.204,0.133,0.064,0.114,0.181,0.189,0.173,0.126,0.103,0.237,0.176,0.165,0.195,0.138,6
"No sabe",0.006,0.004,0.009,0,0.002,0.015,0.012,0.004,0.011,0.003,0.011,0,0,0,0.003,0.007,0.003,0.009,6
"Positiva",0.232,0.211,0.256,0.215,0.199,0.28,0.273,0.358,0.235,0.133,0.205,0.368,0.24,0.127,0.261,0.205,0.222,0.241,4
"Neutra",0.266,0.292,0.234,0.323,0.25,0.241,0.29,0.226,0.25,0.313,0.27,0.298,0.227,0.294,0.252,0.274,0.297,0.235,4
"Negativa",0.496,0.493,0.501,0.462,0.549,0.464,0.425,0.412,0.504,0.551,0.514,0.334,0.533,0.579,0.484,0.514,0.478,0.515,4
"No sabe",0.006,0.004,0.009,0,0.002,0.015,0.012,0.004,0.011,0.003,0.011,0,0,0,0.003,0.007,0.003,0.009,4
