"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.115,0.103,0.129,0.127,0.085,0.126,0.18,0.151,0.095,0.111,0.111,0.079,0.111,0.153,0.051,0.165,0.132,0.098,6
"Buena",0.184,0.194,0.172,0.188,0.163,0.204,0.212,0.135,0.215,0.185,0.167,0.239,0.103,0.328,0.026,0.292,0.18,0.187,6
"Ni buena ni mala",0.192,0.187,0.197,0.156,0.231,0.149,0.184,0.226,0.202,0.154,0.226,0.149,0.128,0.153,0.083,0.258,0.187,0.196,6
"Mala",0.224,0.25,0.194,0.24,0.219,0.236,0.201,0.255,0.208,0.22,0.231,0.224,0.266,0.192,0.324,0.152,0.241,0.208,6
"Muy mala",0.276,0.261,0.294,0.289,0.296,0.259,0.223,0.2,0.277,0.33,0.249,0.309,0.381,0.174,0.508,0.122,0.252,0.3,6
"No sabe",0.009,0.005,0.014,0,0.006,0.026,0,0.033,0.003,0,0.016,0,0.011,0,0.008,0.011,0.008,0.011,6
"Positiva",0.299,0.297,0.301,0.315,0.248,0.33,0.392,0.286,0.31,0.296,0.278,0.318,0.214,0.481,0.077,0.457,0.312,0.285,4
"Neutra",0.192,0.187,0.197,0.156,0.231,0.149,0.184,0.226,0.202,0.154,0.226,0.149,0.128,0.153,0.083,0.258,0.187,0.196,4
"Negativa",0.5,0.511,0.488,0.529,0.515,0.495,0.424,0.455,0.485,0.55,0.48,0.533,0.647,0.366,0.832,0.274,0.493,0.508,4
"No sabe",0.009,0.005,0.014,0,0.006,0.026,0,0.033,0.003,0,0.016,0,0.011,0,0.008,0.011,0.008,0.011,4
