"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.127,0.127,0.127,0.136,0.117,0.125,0.152,0.179,0.117,0.1,0.12,0.197,0.13,0.053,0.21,0.07,0.166,0.089,6
"Buena",0.241,0.254,0.226,0.078,0.282,0.262,0.278,0.299,0.245,0.194,0.265,0.267,0.287,0.15,0.278,0.225,0.217,0.265,6
"Ni buena ni mala",0.371,0.363,0.38,0.393,0.342,0.395,0.393,0.313,0.376,0.407,0.368,0.328,0.398,0.469,0.281,0.421,0.323,0.418,6
"Mala",0.167,0.161,0.175,0.232,0.148,0.174,0.137,0.14,0.151,0.206,0.16,0.124,0.162,0.183,0.167,0.177,0.199,0.136,6
"Muy mala",0.081,0.086,0.075,0.128,0.106,0.037,0.018,0.069,0.091,0.079,0.078,0.082,0.016,0.145,0.057,0.1,0.093,0.069,6
"No sabe",0.013,0.009,0.017,0.033,0.005,0.007,0.022,0,0.02,0.014,0.009,0.002,0.007,0,0.007,0.007,0.002,0.023,6
"Positiva",0.368,0.381,0.353,0.214,0.399,0.387,0.43,0.478,0.362,0.294,0.385,0.464,0.417,0.203,0.488,0.295,0.383,0.354,4
"Neutra",0.371,0.363,0.38,0.393,0.342,0.395,0.393,0.313,0.376,0.407,0.368,0.328,0.398,0.469,0.281,0.421,0.323,0.418,4
"Negativa",0.248,0.247,0.25,0.36,0.254,0.211,0.155,0.209,0.242,0.285,0.238,0.206,0.178,0.328,0.224,0.277,0.292,0.205,4
"No sabe",0.013,0.009,0.017,0.033,0.005,0.007,0.022,0,0.02,0.014,0.009,0.002,0.007,0,0.007,0.007,0.002,0.023,4
