"var","categoria","A favor","En contra","No sabe"
"P08","Siempre",0.196,0.252,0.2
"P08","Casi siempre",0.327,0.397,0.355
"P08","Casi nunca",0.345,0.268,0.339
"P08","Nunca, pero esta es una excepción",0.132,0.083,0.106
"P09","Muy de acuerdo",0.557,0.063,0.089
"P09","De acuerdo",0.26,0.038,0.179
"P09","Ni de acuerdo ni en desacuerdo",0.123,0.114,0.486
"P09","En desacuerdo",0.03,0.344,0.149
"P09","Muy en desacuerdo",0.018,0.428,0.067
"P09","No sabe",0.012,0.013,0.03
"P10","De acuerdo",0.786,0.12,0.263
"P10","Ni de acuerdo ni en desacuerdo",0.132,0.159,0.309
"P10","En desacuerdo",0.036,0.584,0.304
"P10","No sabe",0.046,0.137,0.124
"P11","De acuerdo",0.816,0.246,0.455
"P11","Ni de acuerdo ni en desacuerdo",0.116,0.244,0.211
"P11","En desacuerdo",0.056,0.392,0.259
"P11","No sabe",0.012,0.118,0.075
"P12","De acuerdo",0.917,0.255,0.557
"P12","Ni de acuerdo ni en desacuerdo",0.048,0.278,0.152
"P12","En desacuerdo",0.026,0.349,0.209
"P12","No sabe",0.009,0.118,0.082
"P13","De acuerdo",0.774,0.123,0.266
"P13","Ni de acuerdo ni en desacuerdo",0.175,0.241,0.406
"P13","En desacuerdo",0.03,0.543,0.184
"P13","No sabe",0.021,0.093,0.144
"P14","De acuerdo",0.775,0.154,0.32
"P14","Ni de acuerdo ni en desacuerdo",0.175,0.195,0.321
"P14","En desacuerdo",0.032,0.588,0.248
"P14","No sabe",0.018,0.063,0.111
"P15","De acuerdo",0.706,0.25,0.416
"P15","Ni de acuerdo ni en desacuerdo",0.212,0.159,0.269
"P15","En desacuerdo",0.062,0.519,0.194
"P15","No sabe",0.02,0.072,0.121
"P16","De acuerdo",0.893,0.23,0.518
"P16","Ni de acuerdo ni en desacuerdo",0.065,0.191,0.18
"P16","En desacuerdo",0.029,0.487,0.15
"P16","No sabe",0.013,0.092,0.152
"P17","De acuerdo",0.699,0.072,0.176
"P17","Ni de acuerdo ni en desacuerdo",0.173,0.061,0.276
"P17","En desacuerdo",0.113,0.83,0.46
"P17","No sabe",0.015,0.037,0.088
"P18","De acuerdo",0.64,0.045,0.151
"P18","Ni de acuerdo ni en desacuerdo",0.23,0.078,0.32
"P18","En desacuerdo",0.096,0.821,0.396
"P18","No sabe",0.034,0.056,0.133
"P19","De acuerdo",0.827,0.087,0.253
"P19","Ni de acuerdo ni en desacuerdo",0.088,0.062,0.243
"P19","En desacuerdo",0.078,0.818,0.429
"P19","No sabe",0.007,0.033,0.075
"P20","De acuerdo",0.771,0.084,0.199
"P20","Ni de acuerdo ni en desacuerdo",0.142,0.101,0.303
"P20","En desacuerdo",0.069,0.771,0.377
"P20","No sabe",0.018,0.044,0.121
"P21","De acuerdo",0.79,0.099,0.256
"P21","Ni de acuerdo ni en desacuerdo",0.125,0.08,0.19
"P21","En desacuerdo",0.07,0.798,0.427
"P21","No sabe",0.015,0.023,0.127
"P22","Si",0.432,0.612,0.357
"P22","No",0.364,0.162,0.156
"P22","No sabe",0.204,0.226,0.487
"P23","Si",0.632,0.105,0.161
"P23","No",0.276,0.805,0.635
"P23","No sabe",0.092,0.09,0.204
"P24","Si",0.546,0.053,0.126
"P24","No",0.329,0.862,0.657
"P24","No sabe",0.125,0.085,0.217
"P25","Si",0.623,0.081,0.1
"P25","No",0.294,0.849,0.635
"P25","No sabe",0.083,0.07,0.265
