"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Siempre",0.209,0.221,0.257,0.108
"P08","Casi siempre",0.334,0.352,0.346,0.407
"P08","Casi nunca",0.331,0.303,0.297,0.336
"P08","Nunca, pero esta es una excepción",0.126,0.124,0.1,0.149
"P09","Muy de acuerdo",0.536,0.211,0.039,0.089
"P09","De acuerdo",0.244,0.196,0.043,0.033
"P09","Ni de acuerdo ni en desacuerdo",0.126,0.295,0.112,0.272
"P09","En desacuerdo",0.053,0.156,0.318,0.385
"P09","Muy en desacuerdo",0.026,0.118,0.468,0.157
"P09","No sabe",0.015,0.024,0.02,0.064
"P10","De acuerdo",0.782,0.337,0.074,0.121
"P10","Ni de acuerdo ni en desacuerdo",0.118,0.331,0.138,0.215
"P10","En desacuerdo",0.074,0.217,0.658,0.157
"P10","No sabe",0.026,0.115,0.13,0.507
"P11","De acuerdo",0.833,0.474,0.157,0.231
"P11","Ni de acuerdo ni en desacuerdo",0.103,0.322,0.227,0.117
"P11","En desacuerdo",0.051,0.16,0.519,0.263
"P11","No sabe",0.013,0.044,0.097,0.389
"P12","De acuerdo",0.927,0.606,0.157,0.341
"P12","Ni de acuerdo ni en desacuerdo",0.042,0.267,0.25,0.143
"P12","En desacuerdo",0.02,0.089,0.478,0.212
"P12","No sabe",0.011,0.038,0.115,0.304
"P13","De acuerdo",0.814,0.275,0.061,0.102
"P13","Ni de acuerdo ni en desacuerdo",0.121,0.607,0.145,0.14
"P13","En desacuerdo",0.041,0.059,0.745,0.128
"P13","No sabe",0.024,0.059,0.049,0.63
"P15","De acuerdo",0.78,0.36,0.154,0.164
"P15","Ni de acuerdo ni en desacuerdo",0.17,0.438,0.086,0.066
"P15","En desacuerdo",0.035,0.158,0.709,0.153
"P15","No sabe",0.015,0.044,0.051,0.617
"P16","De acuerdo",0.879,0.563,0.189,0.254
"P16","Ni de acuerdo ni en desacuerdo",0.071,0.279,0.106,0.095
"P16","En desacuerdo",0.026,0.106,0.658,0.091
"P16","No sabe",0.024,0.052,0.047,0.56
"P17","De acuerdo",0.663,0.299,0.061,0.108
"P17","Ni de acuerdo ni en desacuerdo",0.158,0.277,0.043,0.112
"P17","En desacuerdo",0.155,0.4,0.888,0.416
"P17","No sabe",0.024,0.024,0.008,0.364
"P18","De acuerdo",0.62,0.25,0.037,0.086
"P18","Ni de acuerdo ni en desacuerdo",0.202,0.334,0.063,0.057
"P18","En desacuerdo",0.14,0.358,0.874,0.407
"P18","No sabe",0.038,0.058,0.026,0.45
"P19","De acuerdo",0.786,0.393,0.081,0.129
"P19","Ni de acuerdo ni en desacuerdo",0.077,0.218,0.038,0.138
"P19","En desacuerdo",0.124,0.36,0.874,0.405
"P19","No sabe",0.013,0.029,0.007,0.328
"P20","De acuerdo",0.739,0.341,0.058,0.108
"P20","Ni de acuerdo ni en desacuerdo",0.131,0.312,0.065,0.129
"P20","En desacuerdo",0.101,0.309,0.862,0.404
"P20","No sabe",0.029,0.038,0.015,0.359
"P21","De acuerdo",0.77,0.376,0.07,0.119
"P21","Ni de acuerdo ni en desacuerdo",0.105,0.237,0.046,0.125
"P21","En desacuerdo",0.101,0.371,0.871,0.425
"P21","No sabe",0.024,0.016,0.013,0.331
"P22","Si",0.475,0.409,0.603,0.306
"P22","No",0.355,0.223,0.144,0.173
"P22","No sabe",0.17,0.368,0.253,0.521
"P23","Si",0.621,0.257,0.101,0.146
"P23","No",0.298,0.608,0.785,0.677
"P23","No sabe",0.081,0.135,0.114,0.177
"P24","Si",0.532,0.203,0.056,0.064
"P24","No",0.37,0.609,0.846,0.721
"P24","No sabe",0.098,0.188,0.098,0.215
"P25","Si",0.576,0.248,0.114,0.104
"P25","No",0.338,0.615,0.809,0.709
"P25","No sabe",0.086,0.137,0.077,0.187
"P26","A favor",0.824,0.477,0.069,0.224
"P26","En contra",0.104,0.338,0.816,0.489
"P26","No sabe",0.072,0.185,0.115,0.287
