"var","categoria","Que continúe el intendente Julio Zamora","Que continúe Julio Zamora pero con mejoras","Que cambie Julio Zamora pero que se mantengan los avances","Que cambie el intendente Julio Zamora"
"P7","Al candidato del Frente de Todos",0.839,0.658,0.219,0.107
"P7","Al candidato de Juntos por el Cambio",0.047,0.116,0.459,0.53
"P7","Al candidato de los liberales - libertarios",0.04,0.058,0.13,0.223
"P7","Al candidato de la Izquierda",0,0.039,0.04,0.032
"P7","A otro candidato",0.01,0.062,0.066,0.071
"P7","No sabe",0.064,0.067,0.086,0.037
"P8","A Julio Zamora por el Frente de Todos",0.839,0.573,0.124,0.053
"P8","A Malena Galmarini por el Frente de Todos",0.05,0.175,0.149,0.082
"P8","A Segundo Cernadas por Cambiemos",0.086,0.078,0.344,0.45
"P8","A Nicolás Massot por Cambiemos",0.004,0.053,0.13,0.153
"P8","Al candidato de los liberales libertarios",0.008,0.014,0.138,0.169
"P8","A Paula Akerfeld por el Frente de Izquierda",0.006,0.037,0.004,0.032
"P8","No sabe",0.007,0.07,0.111,0.061
"P10","A Julio Zamora por el Frente de Todos",0.848,0.652,0.187,0.063
"P10","A Segundo Cernadas por Cambiemos",0.101,0.156,0.418,0.501
"P10","Al candidato de los liberales libertarios",0.039,0.036,0.179,0.243
"P10","A Paula Akerfeld por el Frente de Izquierda",0.003,0.047,0.065,0.052
"P10","No sabe",0.009,0.109,0.151,0.141
"P12","A Malena Galmarini por el Frente de Todos",0.573,0.547,0.199,0.108
"P12","A Segundo Cernadas por Cambiemos",0.138,0.187,0.523,0.53
"P12","Al candidato de los liberales libertarios",0.043,0.057,0.202,0.217
"P12","A Paula Akerfeld por el Frente de Izquierda",0.042,0.045,0.004,0.034
"P12","No sabe",0.204,0.164,0.072,0.111
"P14","Muy buena",0.253,0.187,0.101,0.063
"P14","Buena",0.208,0.244,0.189,0.069
"P14","Ni buena ni mala",0.295,0.261,0.225,0.123
"P14","Mala",0.087,0.166,0.242,0.16
"P14","Muy mala",0.128,0.08,0.205,0.489
"P14","No sabe",0.029,0.062,0.038,0.096
"P15","Muy buena",0.665,0.219,0.074,0.023
"P15","Buena",0.262,0.324,0.309,0.032
"P15","Ni buena ni mala",0.023,0.344,0.399,0.244
"P15","Mala",0.022,0.035,0.118,0.331
"P15","Muy mala",0.012,0.037,0.075,0.324
"P15","No sabe",0.016,0.041,0.025,0.046
"P16","Muy buena",0.127,0.085,0.172,0.291
"P16","Buena",0.122,0.109,0.353,0.203
"P16","Ni buena ni mala",0.214,0.349,0.256,0.24
"P16","Mala",0.244,0.155,0.096,0.068
"P16","Muy mala",0.157,0.181,0.044,0.122
"P16","No sabe",0.136,0.121,0.079,0.076
"P17","Muy buena",0.111,0.081,0.027,0.026
"P17","Buena",0.062,0.049,0.035,0.047
"P17","Ni buena ni mala",0.265,0.365,0.404,0.344
"P17","Mala",0.08,0.08,0.158,0.084
"P17","Muy mala",0.054,0.087,0.021,0.11
"P17","No sabe",0.428,0.338,0.355,0.389
"P18","Muy buena",0.068,0.068,0.061,0.168
"P18","Buena",0.068,0.059,0.062,0.113
"P18","Ni buena ni mala",0.344,0.344,0.58,0.296
"P18","Mala",0.113,0.155,0.063,0.096
"P18","Muy mala",0.133,0.112,0.025,0.104
"P18","No sabe",0.274,0.262,0.209,0.223
"P19","Muy buena",0.751,0.157,0.019,0.007
"P19","Buena",0.19,0.507,0.228,0.032
"P19","Ni buena ni mala",0.024,0.225,0.57,0.263
"P19","Mala",0.018,0.05,0.099,0.294
"P19","Muy mala",0.017,0.035,0.052,0.345
"P19","No sabe",0,0.026,0.032,0.059
"P21","La seguridad",0.361,0.326,0.282,0.22
"P21","El tránsito",0.028,0.087,0.007,0.031
"P21","El arreglo de las calles",0.198,0.163,0.229,0.033
"P21","El estado de las escuelas y la educación",0.019,0.013,0.022,0.11
"P21","El sistema de salud",0.079,0.083,0.123,0.064
"P21","El deporte y la cultura",0.127,0.112,0.103,0.112
"P21","La obra pública",0.102,0.077,0.028,0.021
"P21","La luminaria",0.046,0.056,0.073,0.112
"P21","No sabe",0.04,0.083,0.133,0.297
"P22","La seguridad",0.166,0.17,0.19,0.126
"P22","El tránsito",0.098,0.155,0.144,0.116
"P22","El arreglo de las calles",0.16,0.132,0.163,0.162
"P22","El estado de las escuelas y la educación",0.201,0.123,0.174,0.165
"P22","El sistema de salud",0.145,0.214,0.139,0.177
"P22","El deporte y la cultura",0.036,0.038,0.018,0.012
"P22","La obra pública",0.01,0.019,0.067,0.063
"P22","La luminaria",0.03,0.014,0.017,0.018
"P22","No sabe",0.154,0.135,0.088,0.161
"P23","Agua corriente y cloacas",0.396,0.406,0.375,0.508
"P23","Energía eléctrica",0.101,0.16,0.133,0.147
"P23","Red de gas natural",0.087,0.072,0.146,0.051
"P23","Recolección de residuos",0.135,0.102,0.107,0.156
"P23","Ninguno",0.281,0.26,0.239,0.138
"P24","Los robos",0.309,0.284,0.211,0.251
"P24","El narcotráfico",0.196,0.215,0.292,0.333
"P24","La ausencia de patrulleros y personal policial",0.187,0.173,0.177,0.174
"P24","Otro",0.086,0.204,0.201,0.198
"P24","Ninguno",0.222,0.124,0.119,0.044
"P25","Frente de Todos y el peronismo",0.666,0.577,0.191,0.107
"P25","Cambiemos",0.177,0.147,0.328,0.417
"P25","Liberales Libertarios",0.076,0.111,0.175,0.307
"P25","Izquierda",0.003,0.035,0.064,0.041
"P25","No sabe",0.078,0.13,0.242,0.128
"P27","A Alberto Fernández",0.354,0.182,0.214,0.328
"P27","A Sergio Massa",0.193,0.275,0.135,0.155
"P27","A algún candidato del peronismo",0.126,0.22,0.219,0.212
"P27","A algún candidato del kirchnerismo",0.327,0.323,0.432,0.305
"P28","A Alberto Fernández",0.214,0.115,0.012,0.278
"P28","A Sergio Massa",0.16,0.179,0.051,0.08
"P28","A algún candidato del peronismo",0.07,0.211,0.433,0.244
"P28","A Cristina Fernández de Kirchner",0.556,0.495,0.504,0.398
"P29","A Horacio Rodriguez Larreta",0.531,0.415,0.338,0.23
"P29","A Mauricio Macri",0.219,0.197,0.265,0.41
"P29","A Patricia Bullrich",0.036,0.3,0.258,0.326
"P29","A Facundo Manes",0.174,0.027,0.093,0.02
"P29","A Gerardo Morales",0.04,0.061,0.046,0.014
"P30","Seguro lo votaria",0.438,0.157,0.096,0.254
"P30","Quizás lo votaría",0.301,0.426,0.316,0.389
"P30","Nunca lo votaría",0.261,0.417,0.588,0.357
"P31","Muy buena",0.178,0.094,0.038,0.035
"P31","Buena",0.236,0.18,0.108,0.038
"P31","Ni buena ni mala",0.238,0.314,0.137,0.095
"P31","Mala",0.149,0.204,0.118,0.137
"P31","Muy mala",0.197,0.205,0.57,0.672
"P31","No sabe",0.002,0.003,0.029,0.023
"P32","Muy buena",0.098,0.088,0.166,0.188
"P32","Buena",0.111,0.121,0.204,0.234
"P32","Ni buena ni mala",0.082,0.137,0.224,0.229
"P32","Mala",0.216,0.172,0.154,0.109
"P32","Muy mala",0.493,0.479,0.231,0.22
"P32","No sabe",0,0.003,0.021,0.02
"P33","Muy buena",0.505,0.408,0.184,0.113
"P33","Buena",0.103,0.08,0.031,0.019
