"var","categoria","Peor","Igual","Mejor","No sabe"
"P12","Gran excedente habitual",0.039,0,0,0
"P12","Gran excedente excepcional",0.005,0,0,0
"P12","Pequeño excedente habitual",0.026,0.032,0.042,0
"P12","Pequeño excedente excepcional",0.067,0.058,0.057,0.092
"P12","Alcanza gastos familia",0.059,0.185,0.045,0.254
"P12","No alcanza gastos familia",0.067,0.032,0.267,0.014
"P12","Solo NBFamiliares",0.365,0.417,0.297,0.279
"P12","No alcanza NBFamiliares",0.368,0.27,0.292,0.356
"P12","No sabe",0.004,0.006,0,0.005
"P13","Muy buena",0.088,0.148,0.452,0.175
"P13","Buena",0.142,0.106,0.217,0.117
"P13","Ni buena ni mala",0.227,0.371,0.177,0.186
"P13","Mala",0.282,0.208,0.075,0.193
"P13","Muy mala",0.252,0.167,0.057,0.237
"P13","No sabe",0.009,0,0.022,0.092
"P14","Muy buena",0.185,0.314,0.498,0.41
"P14","Buena",0.129,0.241,0.065,0.119
"P14","Ni buena ni mala",0.124,0.215,0.103,0.194
"P14","Mala",0.181,0.078,0.156,0.034
"P14","Muy mala",0.381,0.152,0.156,0.243
"P14","No sabe",0,0,0.022,0
"P16","Muy buena",0.183,0.144,0.012,0.228
"P16","Buena",0.209,0.161,0.138,0.183
"P16","Ni buena ni mala",0.182,0.199,0.596,0.333
"P16","Mala",0.225,0.418,0.008,0.078
"P16","Muy mala",0.183,0.062,0.246,0.178
"P16","No sabe",0.018,0.016,0,0
"P19","Muy buena",0.087,0.11,0.11,0.283
"P19","Buena",0.176,0.176,0.213,0.1
"P19","Ni buena ni mala",0.225,0.321,0.465,0.068
"P19","Mala",0.267,0.253,0.022,0.223
"P19","Muy mala",0.24,0.134,0.145,0.281
"P19","No sabe",0.005,0.006,0.045,0.045
"P20","Gobierno nacional",0.382,0.144,0.224,0.216
"P20","Gobierno provincial",0.545,0.618,0.451,0.724
"P20","No sabe",0.073,0.238,0.325,0.06
"P21","El anterior gobierno de Arabela Carreras",0.179,0.32,0.683,0.338
"P21","El actual gobierno de Alberto Weretilneck",0.776,0.512,0.317,0.595
"P21","No sabe",0.045,0.168,0,0.067
"P22","El anterior gobierno de Alberto Fernández",0.202,0.12,0.07,0.893
"P22","El actual gobierno de Javier Milei",0.779,0.88,0.93,0.107
"P22","No sabe",0.019,0,0,0
"P23","Empleado sector publico",0.238,0.19,0.203,0.439
"P23","Empleado sector privado",0.192,0.23,0.4,0.228
"P23","Changas o trabajos eventuales",0.2,0.242,0.239,0.098
"P23","Estudiante",0.056,0.033,0,0
"P23","Amas de casa",0.075,0.1,0.068,0.145
"P23","Profesional o independiente",0.124,0.09,0.068,0.063
"P23","Comerciante, emprendedor o empresario",0.046,0.051,0.014,0.019
"P23","Trabajador informal",0.006,0.011,0,0
"P23","No tengo trabajo",0.063,0.053,0.008,0.008
"P24","Muy de acuerdo",0.145,0.26,0.41,0.436
"P24","De acuerdo",0.217,0.145,0.185,0.027
"P24","Ni de acuerdo ni en desacuerdo",0.301,0.398,0.226,0.125
"P24","En desacuerdo",0.143,0.124,0.017,0.281
"P24","Muy en desacuerdo",0.156,0.036,0.148,0.11
"P24","No sabe",0.038,0.037,0.014,0.021
"P25","Muy de acuerdo",0.076,0.112,0.376,0.199
"P25","De acuerdo",0.114,0.209,0.086,0.185
"P25","Ni de acuerdo ni en desacuerdo",0.106,0.256,0.177,0.329
"P25","En desacuerdo",0.468,0.348,0.19,0.158
"P25","Muy en desacuerdo",0.232,0.075,0.171,0.129
"P25","No sabe",0.004,0,0,0
"P26","Si",0.748,0.717,0.627,0.639
"P26","No",0.252,0.283,0.373,0.361
"P27","Muy de acuerdo",0.2,0.177,0.553,0.328
"P27","De acuerdo",0.108,0.295,0.127,0.343
"P27","Ni de acuerdo ni en desacuerdo",0.167,0.297,0.156,0.14
"P27","En desacuerdo",0.351,0.134,0.141,0.113
"P27","Muy en desacuerdo",0.172,0.092,0.023,0.076
"P27","No sabe",0.002,0.005,0,0
"P28","Si",0.788,0.819,0.508,0.598
"P28","No",0.212,0.181,0.492,0.402
"P29","Muy de acuerdo",0.208,0.249,0.577,0.447
"P29","De acuerdo",0.148,0.341,0.106,0.146
"P29","Ni de acuerdo ni en desacuerdo",0.203,0.171,0.232,0.174
"P29","En desacuerdo",0.293,0.164,0.048,0.005
"P29","Muy en desacuerdo",0.138,0.056,0.023,0.228
"P29","No sabe",0.01,0.019,0.014,0
"P30","No estaba enterado",0.218,0.226,0.372,0.235
"P30","De acuerdo",0.31,0.517,0.412,0.519
"P30","En desacuerdo",0.359,0.214,0.216,0.232
"P30","No sabe",0.113,0.043,0,0.014
"P31","No tengo cable ni internet",0.208,0.124,0.291,0.245
"P31","Si tuve",0.637,0.605,0.482,0.518
"P31","No tuve",0.155,0.271,0.227,0.237
"P32","Reclamando directamente a la empresa",0.38,0.349,0.47,0.464
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.278,0.351,0.292,0.498
"P32","Nunca se pudo resolver",0.342,0.3,0.238,0.038
"P33","1-Excelente",0.181,0.167,0.016,0.329
"P33","2",0.062,0.088,0.315,0.152
"P33","3",0.03,0.024,0.012,0.011
"P33","4",0.056,0.042,0.022,0.153
"P33","5",0.174,0.234,0.243,0.008
"P33","6",0.088,0.034,0.008,0
"P33","7",0.051,0.018,0,0.119
"P33","8",0.044,0.073,0.099,0.073
"P33","9-Pésimo",0.299,0.256,0.136,0.155
"P33","No sabe",0.015,0.064,0.149,0
"P34","1-Excelente",0.164,0.129,0.028,0.409
"P34","2",0.069,0.129,0.073,0.057
"P34","3",0.083,0.043,0.171,0.011
"P34","4",0.079,0.042,0.094,0.173
"P34","5",0.096,0.169,0.228,0
"P34","6",0.042,0.044,0.008,0.008
"P34","7",0.033,0.028,0.14,0.1
"P34","8",0.074,0.038,0,0.072
"P34","9-Pésimo",0.347,0.308,0.11,0.156
"P34","No sabe",0.013,0.07,0.148,0.014
"P35","1-Excelente",0.169,0.216,0.22,0.265
"P35","2",0.048,0.072,0.024,0.08
"P35","3",0.08,0.049,0.071,0.005
"P35","4",0.06,0.042,0.023,0.164
"P35","5",0.163,0.132,0.287,0.119
"P35","6",0.056,0.052,0.024,0.021
"P35","7",0.079,0.072,0.027,0.018
"P35","8",0.067,0.039,0.099,0.1
"P35","9-Pésimo",0.269,0.277,0.077,0.228
"P35","No sabe",0.009,0.049,0.148,0
"P36","1-Excelente",0.126,0.17,0.022,0.225
"P36","2",0.05,0.057,0.219,0.126
"P36","3",0.082,0.103,0.073,0
"P36","4",0.043,0.052,0.149,0.162
"P36","5",0.157,0.19,0.177,0.19
"P36","6",0.055,0.016,0.02,0.032
"P36","7",0.118,0.024,0.099,0.1
"P36","8",0.08,0.077,0,0
"P36","9-Pésimo",0.262,0.242,0.092,0.165
"P36","No sabe",0.027,0.069,0.149,0
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.543,0.309,0.184,0.277
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.122,0.181,0.375,0.242
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.133,0.242,0.192,0.161
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.171,0.245,0.226,0.256
"P37","No sabe",0.031,0.023,0.023,0.064
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.469,0.196,0.211,0.246
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.178,0.206,0.085,0.156
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.178,0.348,0.278,0.25
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.144,0.227,0.403,0.302
"P38","No sabe",0.031,0.023,0.023,0.046
"P39","Oponerse totalmente",0.548,0.18,0.168,0.146
"P39","Oponerse parcialmente",0.052,0.15,0.095,0.128
"P39","Apoyar parcialmente",0.19,0.401,0.457,0.379
"P39","Apoyar totalmente",0.18,0.227,0.257,0.302
"P39","No sabe",0.03,0.042,0.023,0.045
"P40","Inseguridad y narcotráfico",0.385,0.147,0.008,0.045
"P40","Altos impuestos y tarifas",0.121,0.437,0.192,0.114
"P40","Educación y estado de las escuelas",0.198,0.167,0.597,0.126
"P40","Inflación",0.127,0.138,0.148,0.606
"P40","Estado de la salud",0.105,0.028,0.023,0.063
"P40","Corrupción",0.02,0.035,0.008,0
"P40","Pobreza",0.032,0,0.024,0
"P40","Medio ambiente, incendios y contaminación",0.003,0,0,0
"P40","Falta de trabajo",0.009,0.048,0,0
"P40","No sabe",0,0,0,0.046
"P44","Muy buena",0.063,0.018,0.012,0
"P44","Buena",0.028,0.226,0.099,0.059
"P44","Ni buena ni mala",0.206,0.391,0.593,0.218
"P44","Mala",0.448,0.27,0.209,0.56
"P44","Muy mala",0.255,0.052,0.087,0.163
"P44","No sabe",0,0.043,0,0
"P46","Peor",0.775,0.205,0.146,0.494
"P46","Igual",0.145,0.469,0.316,0.214
"P46","Mejor",0.062,0.194,0.301,0.026
"P46","No sabe",0.018,0.132,0.237,0.266
"P47","Javier Milei",0.334,0.454,0.543,0.647
"P47","Los gobernadores",0.603,0.395,0.328,0.138
"P47","No sabe",0.063,0.151,0.129,0.215
"P48","Muy buena",0.07,0.211,0.239,0.016
"P48","Buena",0.233,0.101,0.113,0.156
"P48","Ni buena ni mala",0.194,0.26,0.405,0.183
"P48","Mala",0.286,0.328,0.014,0.429
"P48","Muy mala",0.217,0.075,0.229,0.216
"P48","No sabe",0,0.025,0,0
"P50","Muy buena",0.196,0.159,0.084,0.082
"P50","Buena",0.213,0.165,0.165,0.262
"P50","Ni buena ni mala",0.137,0.145,0.377,0.149
"P50","Mala",0.273,0.383,0.118,0.392
"P50","Muy mala",0.175,0.123,0.256,0.115
"P50","No sabe",0.006,0.025,0,0
"P51","Muy buena",0.089,0.124,0.171,0.14
"P51","Buena",0.156,0.196,0.124,0.1
"P51","Ni buena ni mala",0.283,0.436,0.447,0.414
