"var","categoria","Oponerse totalmente y no concurrir a la convocatoria","Oponerse parcialmente y concurrir a la convocatoria","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión","Apoyar totalmente la iniciativa del gobierno nacional","No sabe"
"P12","Gran excedente habitual",0.015,0.007,0,0.006,0.452
"P12","Gran excedente excepcional",0,0,0.011,0,0
"P12","Pequeño excedente habitual",0,0.021,0.029,0.07,0
"P12","Pequeño excedente excepcional",0.016,0.031,0.119,0.148,0
"P12","Alcanza gastos familia",0.061,0.072,0.185,0.156,0.069
"P12","No alcanza gastos familia",0.031,0.094,0.082,0.118,0
"P12","Solo NBFamiliares",0.396,0.352,0.392,0.314,0
"P12","No alcanza NBFamiliares",0.481,0.418,0.169,0.188,0.479
"P12","No sabe",0,0.005,0.013,0,0
"P13","Muy buena",0.216,0.173,0.062,0.086,0.204
"P13","Buena",0.187,0.199,0.067,0.103,0.091
"P13","Ni buena ni mala",0.319,0.339,0.167,0.174,0.071
"P13","Mala",0.148,0.195,0.434,0.215,0.035
"P13","Muy mala",0.128,0.083,0.27,0.35,0.53
"P13","No sabe",0.002,0.011,0,0.072,0.069
"P14","Muy buena",0.067,0.117,0.439,0.5,0.656
"P14","Buena",0.017,0.086,0.279,0.279,0.091
"P14","Ni buena ni mala",0.099,0.253,0.252,0.067,0.071
"P14","Mala",0.167,0.305,0.023,0.076,0.035
"P14","Muy mala",0.65,0.239,0.007,0.078,0.078
"P14","No sabe",0,0,0,0,0.069
"P16","Muy buena",0.305,0.231,0.058,0.024,0
"P16","Buena",0.213,0.19,0.197,0.101,0.442
"P16","Ni buena ni mala",0.165,0.247,0.318,0.33,0
"P16","Mala",0.179,0.251,0.3,0.222,0.035
"P16","Muy mala",0.129,0.037,0.127,0.323,0.452
"P16","No sabe",0.009,0.044,0,0,0.071
"P19","Muy buena",0.22,0.067,0.047,0.093,0
"P19","Buena",0.19,0.347,0.059,0.102,0.169
"P19","Ni buena ni mala",0.25,0.316,0.312,0.138,0.176
"P19","Mala",0.139,0.147,0.327,0.399,0
"P19","Muy mala",0.195,0.123,0.23,0.268,0.451
"P19","No sabe",0.006,0,0.025,0,0.204
"P20","Gobierno nacional",0.586,0.403,0.022,0.032,0
"P20","Gobierno provincial",0.335,0.446,0.85,0.786,0.655
"P20","No sabe",0.079,0.151,0.128,0.182,0.345
"P21","El anterior gobierno de Arabela Carreras",0.375,0.209,0.316,0.242,0.034
"P21","El actual gobierno de Alberto Weretilneck",0.548,0.595,0.622,0.736,0.966
"P21","No sabe",0.077,0.196,0.062,0.022,0
"P22","El anterior gobierno de Alberto Fernández",0.191,0.435,0.811,1,0
"P22","El actual gobierno de Javier Milei",0.794,0.559,0.189,0,0
"P22","No sabe",0.015,0.006,0,0,0
"P23","Empleado sector publico",0.348,0.261,0.225,0.145,0.035
"P23","Empleado sector privado",0.161,0.181,0.209,0.337,0.521
"P23","Changas o trabajos eventuales",0.233,0.084,0.22,0.235,0.091
"P23","Estudiante",0.016,0,0.068,0.081,0
"P23","Amas de casa",0.083,0.196,0.066,0.009,0.275
"P23","Profesional o independiente",0.109,0.1,0.084,0.119,0.078
"P23","Comerciante, emprendedor o empresario",0.022,0.04,0.085,0.029,0
"P23","Trabajador informal",0.005,0.009,0,0.012,0
"P23","No tengo trabajo",0.023,0.129,0.043,0.033,0
"P24","Muy de acuerdo",0.224,0.321,0.253,0.181,0
"P24","De acuerdo",0.258,0.17,0.153,0.065,0.035
"P24","Ni de acuerdo ni en desacuerdo",0.295,0.299,0.365,0.216,0.345
"P24","En desacuerdo",0.11,0.12,0.11,0.286,0
"P24","Muy en desacuerdo",0.084,0.062,0.086,0.217,0.542
"P24","No sabe",0.029,0.028,0.033,0.035,0.078
"P25","Muy de acuerdo",0.089,0.045,0.075,0.271,0.452
"P25","De acuerdo",0.03,0.113,0.272,0.233,0
"P25","Ni de acuerdo ni en desacuerdo",0.05,0.186,0.332,0.218,0.273
"P25","En desacuerdo",0.589,0.453,0.257,0.073,0.275
"P25","Muy en desacuerdo",0.237,0.203,0.064,0.205,0
"P25","No sabe",0.005,0,0,0,0
"P26","Si",0.815,0.51,0.675,0.803,0.53
"P26","No",0.185,0.49,0.325,0.197,0.47
"P27","Muy de acuerdo",0.227,0.11,0.147,0.454,0.53
"P27","De acuerdo",0.076,0.193,0.285,0.212,0.33
"P27","Ni de acuerdo ni en desacuerdo",0.081,0.266,0.305,0.233,0.069
"P27","En desacuerdo",0.409,0.256,0.18,0.087,0
"P27","Muy en desacuerdo",0.204,0.175,0.079,0.014,0.071
"P27","No sabe",0.003,0,0.004,0,0
"P28","Si",0.725,0.651,0.797,0.813,0.565
"P28","No",0.275,0.349,0.203,0.187,0.435
"P29","Muy de acuerdo",0.167,0.145,0.202,0.674,0.452
"P29","De acuerdo",0.082,0.143,0.318,0.247,0.16
"P29","Ni de acuerdo ni en desacuerdo",0.143,0.262,0.366,0.062,0.071
"P29","En desacuerdo",0.413,0.265,0.027,0,0.113
"P29","Muy en desacuerdo",0.189,0.17,0.067,0.011,0.204
"P29","No sabe",0.006,0.015,0.02,0.006,0
"P30","No estaba enterado",0.238,0.208,0.211,0.265,0.38
"P30","De acuerdo",0.068,0.321,0.703,0.653,0.542
"P30","En desacuerdo",0.594,0.335,0.053,0.058,0
"P30","No sabe",0.1,0.136,0.033,0.024,0.078
"P31","No tengo cable ni internet",0.203,0.124,0.15,0.312,0.204
"P31","Si tuve",0.592,0.615,0.683,0.523,0.558
"P31","No tuve",0.205,0.261,0.167,0.165,0.238
"P32","Reclamando directamente a la empresa",0.473,0.322,0.337,0.439,0
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.248,0.277,0.385,0.25,1
"P32","Nunca se pudo resolver",0.279,0.401,0.278,0.311,0
"P33","1-Excelente",0.227,0.234,0.138,0.133,0
"P33","2",0.039,0.089,0.137,0.192,0.068
"P33","3",0.022,0.044,0.035,0,0
"P33","4",0.051,0.015,0.064,0.13,0
"P33","5",0.198,0.2,0.187,0.076,0.106
"P33","6",0.125,0.025,0.036,0.007,0
"P33","7",0.05,0.155,0.01,0.024,0
"P33","8",0.024,0.025,0.196,0.015,0
"P33","9-Pésimo",0.243,0.159,0.193,0.352,0.734
"P33","No sabe",0.021,0.054,0.004,0.071,0.092
"P34","1-Excelente",0.215,0.177,0.181,0.127,0
"P34","2",0.061,0.108,0.082,0.1,0
"P34","3",0.067,0.047,0.089,0.083,0.069
"P34","4",0.07,0.122,0.029,0.152,0
"P34","5",0.101,0.087,0.183,0.076,0
"P34","6",0.067,0.012,0.024,0.007,0.071
"P34","7",0.023,0.115,0.074,0.03,0
"P34","8",0.066,0.044,0.114,0.011,0.035
"P34","9-Pésimo",0.304,0.243,0.212,0.343,0.734
"P34","No sabe",0.026,0.045,0.012,0.071,0.091
"P35","1-Excelente",0.224,0.232,0.127,0.218,0
"P35","2",0.029,0.111,0.063,0.052,0
"P35","3",0.1,0.07,0.049,0,0.069
"P35","4",0.044,0.041,0.05,0.159,0
"P35","5",0.121,0.081,0.295,0.093,0.487
"P35","6",0.067,0.053,0.02,0.032,0.071
"P35","7",0.09,0.053,0.064,0.036,0
"P35","8",0.084,0.105,0.093,0.009,0
"P35","9-Pésimo",0.227,0.217,0.233,0.335,0.282
"P35","No sabe",0.014,0.037,0.006,0.066,0.091
"P36","1-Excelente",0.209,0.132,0.039,0.14,0.068
"P36","2",0.043,0.087,0.097,0.117,0
"P36","3",0.118,0.094,0.057,0.009,0
"P36","4",0.056,0.045,0.03,0.156,0.106
"P36","5",0.106,0.111,0.39,0.101,0
"P36","6",0.047,0.034,0.066,0.007,0
"P36","7",0.099,0.207,0.072,0.024,0
"P36","8",0.046,0.049,0.079,0.047,0.453
"P36","9-Pésimo",0.24,0.195,0.149,0.328,0.281
"P36","No sabe",0.036,0.046,0.021,0.071,0.092
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.949,0.36,0.032,0.066,0.035
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.036,0.479,0.283,0.069,0
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0,0.043,0.515,0.186,0
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.015,0.04,0.166,0.667,0.452
"P37","No sabe",0,0.078,0.004,0.012,0.513
"P39","Oponerse totalmente",0.889,0.318,0.008,0.012,0
"P39","Oponerse parcialmente",0.098,0.238,0.039,0,0.114
"P39","Apoyar parcialmente",0.005,0.406,0.69,0.257,0
"P39","Apoyar totalmente",0,0.027,0.26,0.711,0
"P39","No sabe",0.008,0.011,0.003,0.02,0.886
"P40","Inseguridad y narcotráfico",0.319,0.238,0.27,0.157,0.036
"P40","Altos impuestos y tarifas",0.194,0.19,0.235,0.124,0.448
"P40","Educación y estado de las escuelas",0.084,0.26,0.314,0.316,0.14
"P40","Inflación",0.21,0.189,0.071,0.351,0
"P40","Estado de la salud",0.131,0.016,0.058,0.032,0.172
"P40","Corrupción",0.012,0.015,0.036,0.02,0
"P40","Pobreza",0.012,0.092,0,0,0
"P40","Medio ambiente, incendios y contaminación",0.005,0,0,0,0
"P40","Falta de trabajo",0.033,0,0.016,0,0
"P40","No sabe",0,0,0,0,0.204
"P44","Muy buena",0.083,0.04,0.017,0,0
"P44","Buena",0.074,0.078,0.074,0.089,0.204
"P44","Ni buena ni mala",0.215,0.409,0.383,0.205,0.14
"P44","Mala",0.422,0.301,0.398,0.516,0.035
"P44","Muy mala",0.199,0.167,0.12,0.17,0.621
"P44","No sabe",0.007,0.005,0.008,0.02,0
"P45","Peor",0.729,0.57,0.419,0.382,0.562
"P45","Igual",0.121,0.262,0.326,0.24,0.166
"P45","Mejor",0.055,0.045,0.109,0.179,0.068
"P45","No sabe",0.095,0.123,0.146,0.199,0.204
"P46","Peor",0.82,0.538,0.363,0.385,0.146
"P46","Igual",0.103,0.281,0.395,0.217,0.614
"P46","Mejor",0.061,0.105,0.164,0.146,0
"P46","No sabe",0.016,0.076,0.078,0.252,0.24
"P47","Javier Milei",0.122,0.192,0.808,0.669,0.483
"P47","Los gobernadores",0.858,0.632,0.089,0.171,0.097
"P47","No sabe",0.02,0.176,0.103,0.16,0.42
"P48","Muy buena",0.147,0.183,0.1,0.017,0
"P48","Buena",0.343,0.173,0.036,0.078,0.202
"P48","Ni buena ni mala",0.184,0.365,0.266,0.149,0.218
"P48","Mala",0.226,0.185,0.454,0.329,0.033
"P48","Muy mala",0.096,0.094,0.144,0.409,0.547
"P48","No sabe",0.004,0,0,0.018,0
"P50","Muy buena",0.285,0.144,0.159,0,0
"P50","Buena",0.296,0.201,0.141,0.121,0.202
"P50","Ni buena ni mala",0.141,0.226,0.189,0.129,0.126
"P50","Mala",0.228,0.328,0.351,0.367,0.033
"P50","Muy mala",0.046,0.085,0.16,0.361,0.639
"P50","No sabe",0.004,0.016,0,0.022,0
"P51","Muy buena",0.056,0.095,0.114,0.199,0.201
"P51","Buena",0.079,0.072,0.23,0.216,0.517
"P51","Ni buena ni mala",0.318,0.381,0.469,0.274,0.132
"P51","Mala",0.291,0.245,0.082,0.08,0
"P51","Muy mala",0.244,0.099,0.031,0.209,0.092
"P51","No sabe",0.012,0.108,0.074,0.022,0.058
"P54","Muy buena",0.404,0.185,0.047,0,0.471
"P54","Buena",0.11,0.107,0.016,0.094,0
"P54","Ni buena ni mala",0.127,0.137,0.123,0.012,0.067
"P54","Mala",0.294,0.276,0.194,0.178,0.131
"P54","Muy mala",0.065,0.247,0.602,0.694,0.331
"P54","No sabe",0,0.048,0.018,0.022,0
"P55","Muy buena",0.057,0.071,0.119,0.192,0.472
"P55","Buena",0.046,0.075,0.212,0.267,0
"P55","Ni buena ni mala",0.03,0.197,0.284,0.187,0.073
"P55","Mala",0.207,0.313,0.205,0.151,0.092
"P55","Muy mala",0.656,0.344,0.176,0.18,0.363
"P55","No sabe",0.004,0,0.004,0.023,0
"P56","Muy buena",0.202,0.062,0.034,0,0.472
"P56","Buena",0.204,0.196,0.051,0.057,0
"P56","Ni buena ni mala",0.24,0.337,0.091,0.023,0.073
"P56","Mala",0.12,0.157,0.213,0.178,0
