"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Inseguridad y narcotráfico",0.252,0.261,0.243,0.204,0.254,0.24,0.31,0.185,0.273,0.283,0.241,0.204,0.434,0.268,0.265,0,0,0
"Altos impuestos y tarifas",0.196,0.211,0.182,0.212,0.207,0.161,0.203,0.087,0.288,0.169,0.27,0.253,0.042,0.123,0.274,0,0,0
"Educación y estado de las escuelas",0.218,0.155,0.277,0.163,0.216,0.255,0.224,0.275,0.188,0.21,0.134,0.245,0.202,0.134,0.267,0,0,0
"Inflación",0.197,0.245,0.152,0.287,0.21,0.189,0.084,0.289,0.142,0.187,0.231,0.193,0.105,0.297,0.106,0,0,0
"Estado de la salud",0.075,0.093,0.058,0.036,0.085,0.082,0.076,0.104,0.038,0.097,0.052,0.048,0.111,0.113,0.057,0,0,0
"Corrupción",0.019,0.019,0.02,0,0.008,0.019,0.068,0.024,0.006,0.032,0.013,0.053,0.005,0.006,0.023,0,0,0
"Pobreza",0.02,0.006,0.032,0.098,0,0.004,0.018,0,0.038,0.013,0,0,0.091,0.049,0,0,0,0
"Medio ambiente, incendios y contaminación",0.002,0,0.004,0,0.005,0,0,0,0,0.006,0,0,0.01,0.005,0,0,0,0
"Falta de trabajo",0.015,0.01,0.02,0,0,0.05,0.017,0.036,0.012,0.003,0.04,0.004,0,0.005,0.008,0,0,0
"No sabe",0.006,0,0.012,0,0.015,0,0,0,0.015,0,0.019,0,0,0,0,0,0,0
