"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.245,0.305,0.187,0.147,0.273,0.136,0.435,0.262,0.265,0.201,0.249,0.521,0.042,0.11,0.426,0,0,0,6
"Buena",0.216,0.169,0.261,0.306,0.196,0.246,0.132,0.138,0.278,0.207,0.275,0.274,0.014,0.088,0.332,0,0,0,6
"Ni buena ni mala",0.04,0.039,0.041,0.015,0.041,0.028,0.082,0.018,0.048,0.052,0.016,0.062,0.026,0.021,0.039,0,0,0,6
"Mala",0.112,0.092,0.132,0.126,0.103,0.157,0.054,0.099,0.079,0.169,0.139,0.006,0.162,0.171,0.073,0,0,0,6
"Muy mala",0.38,0.395,0.365,0.406,0.387,0.422,0.272,0.469,0.323,0.371,0.312,0.118,0.756,0.603,0.13,0,0,0,6
"No sabe",0.007,0,0.014,0,0,0.011,0.025,0.014,0.007,0,0.009,0.019,0,0.007,0,0,0,0,6
"Positiva",0.461,0.474,0.448,0.453,0.469,0.382,0.567,0.4,0.543,0.408,0.524,0.795,0.056,0.198,0.758,0,0,0,4
"Neutra",0.04,0.039,0.041,0.015,0.041,0.028,0.082,0.018,0.048,0.052,0.016,0.062,0.026,0.021,0.039,0,0,0,4
"Negativa",0.492,0.487,0.497,0.532,0.49,0.579,0.326,0.568,0.402,0.54,0.451,0.124,0.918,0.774,0.203,0,0,0,4
"No sabe",0.007,0,0.014,0,0,0.011,0.025,0.014,0.007,0,0.009,0.019,0,0.007,0,0,0,0,4
