"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P12","Gran excedente habitual",0.003,0.029,0.048
"P12","Gran excedente excepcional",0,0.002,0
"P12","Pequeño excedente habitual",0.003,0.043,0.04
"P12","Pequeño excedente excepcional",0.002,0.082,0.021
"P12","Alcanza gastos familia",0.055,0.158,0.143
"P12","No alcanza gastos familia",0.072,0.062,0.198
"P12","Solo NBFamiliares",0.258,0.294,0.164
"P12","No alcanza NBFamiliares",0.605,0.328,0.356
"P12","No sabe",0.002,0.002,0.03
"P13","Muy buena",0.254,0.04,0.218
"P13","Buena",0.211,0.143,0.164
"P13","Ni buena ni mala",0.406,0.147,0.345
"P13","Mala",0.081,0.397,0.225
"P13","Muy mala",0.047,0.258,0.033
"P13","No sabe",0.001,0.015,0.015
"P14","Muy buena",0.088,0.364,0.229
"P14","Buena",0.032,0.216,0.164
"P14","Ni buena ni mala",0.104,0.165,0.245
"P14","Mala",0.319,0.075,0.257
"P14","Muy mala",0.457,0.18,0.097
"P14","No sabe",0,0,0.008
"P16","Muy buena",0.376,0.159,0.129
"P16","Buena",0.17,0.17,0.133
"P16","Ni buena ni mala",0.204,0.236,0.358
"P16","Mala",0.204,0.229,0.241
"P16","Muy mala",0.037,0.194,0.118
"P16","No sabe",0.009,0.012,0.021
"P19","Muy buena",0.321,0.051,0.056
"P19","Buena",0.267,0.115,0.229
"P19","Ni buena ni mala",0.287,0.218,0.514
"P19","Mala",0.089,0.368,0.132
"P19","Muy mala",0.031,0.243,0.046
"P19","No sabe",0.005,0.005,0.023
"P23","Empleado sector publico",0.318,0.238,0.131
"P23","Empleado sector privado",0.195,0.248,0.164
"P23","Changas o trabajos eventuales",0.207,0.217,0.454
"P23","Estudiante",0.023,0.025,0.022
"P23","Amas de casa",0.089,0.046,0.124
"P23","Profesional o independiente",0.063,0.089,0.047
"P23","Comerciante, emprendedor o empresario",0.018,0.068,0.04
"P23","Trabajador informal",0.002,0.019,0
"P23","No tengo trabajo",0.085,0.05,0.018
"P24","Muy de acuerdo",0.294,0.221,0.178
"P24","De acuerdo",0.213,0.15,0.146
"P24","Ni de acuerdo ni en desacuerdo",0.348,0.268,0.411
"P24","En desacuerdo",0.081,0.198,0.102
"P24","Muy en desacuerdo",0.034,0.113,0.083
"P24","No sabe",0.03,0.05,0.08
"P25","Muy de acuerdo",0.15,0.186,0.192
"P25","De acuerdo",0.023,0.149,0.088
"P25","Ni de acuerdo ni en desacuerdo",0.035,0.21,0.248
"P25","En desacuerdo",0.543,0.292,0.356
"P25","Muy en desacuerdo",0.249,0.119,0.116
"P25","No sabe",0,0.044,0
"P26","Si",0.726,0.699,0.574
"P26","No",0.274,0.301,0.426
"P27","Muy de acuerdo",0.241,0.239,0.368
"P27","De acuerdo",0.104,0.178,0.18
"P27","Ni de acuerdo ni en desacuerdo",0.112,0.271,0.205
"P27","En desacuerdo",0.323,0.202,0.104
"P27","Muy en desacuerdo",0.215,0.105,0.143
"P27","No sabe",0.005,0.005,0
"P28","Si",0.705,0.754,0.652
"P28","No",0.295,0.246,0.348
"P29","Muy de acuerdo",0.205,0.341,0.404
"P29","De acuerdo",0.078,0.195,0.13
"P29","Ni de acuerdo ni en desacuerdo",0.151,0.2,0.237
"P29","En desacuerdo",0.376,0.149,0.13
"P29","Muy en desacuerdo",0.184,0.104,0.084
"P29","No sabe",0.006,0.011,0.015
"P30","No estaba enterado",0.235,0.23,0.455
"P30","De acuerdo",0.104,0.496,0.39
"P30","En desacuerdo",0.579,0.196,0.067
"P30","No sabe",0.082,0.078,0.088
"P31","No tengo cable ni internet",0.324,0.165,0.456
"P31","Si tuve",0.465,0.67,0.33
"P31","No tuve",0.211,0.165,0.214
"P32","Reclamando directamente a la empresa",0.493,0.333,0.316
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.148,0.375,0.428
"P32","Nunca se pudo resolver",0.359,0.292,0.256
"P33","1-Excelente",0.331,0.125,0.071
"P33","2",0.062,0.105,0.248
"P33","3",0.034,0.034,0.005
"P33","4",0.049,0.06,0.02
"P33","5",0.291,0.094,0.197
"P33","6",0.06,0.047,0.037
"P33","7",0.022,0.046,0.077
"P33","8",0.018,0.084,0.056
"P33","9-Pésimo",0.109,0.354,0.204
"P33","No sabe",0.024,0.051,0.085
"P34","1-Excelente",0.289,0.133,0.028
"P34","2",0.085,0.078,0.173
"P34","3",0.077,0.063,0.116
"P34","4",0.132,0.063,0.009
"P34","5",0.144,0.08,0.155
"P34","6",0.034,0.015,0.09
