"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.219,0.229,0.209,0.333,0.14,0.214,0.239,0.263,0.21,0.18,0.309,0.079,0.266,0.371,0.092,0,0,0,6
"Buena",0.172,0.187,0.158,0.149,0.178,0.176,0.192,0.158,0.152,0.224,0.168,0.192,0.267,0.216,0.126,0,0,0,6
"Ni buena ni mala",0.244,0.225,0.262,0.191,0.251,0.267,0.289,0.209,0.27,0.243,0.275,0.249,0.135,0.163,0.266,0,0,0,6
"Mala",0.21,0.155,0.261,0.216,0.215,0.229,0.155,0.208,0.216,0.201,0.171,0.269,0.158,0.114,0.333,0,0,0,6
"Muy mala",0.142,0.201,0.087,0.111,0.194,0.101,0.113,0.162,0.134,0.13,0.067,0.211,0.174,0.126,0.173,0,0,0,6
"No sabe",0.013,0.003,0.023,0,0.022,0.013,0.012,0,0.018,0.022,0.01,0,0,0.01,0.01,0,0,0,6
"Positiva",0.391,0.416,0.367,0.482,0.318,0.39,0.431,0.421,0.362,0.404,0.477,0.271,0.533,0.587,0.218,0,0,0,4
"Neutra",0.244,0.225,0.262,0.191,0.251,0.267,0.289,0.209,0.27,0.243,0.275,0.249,0.135,0.163,0.266,0,0,0,4
"Negativa",0.352,0.356,0.348,0.327,0.409,0.33,0.268,0.37,0.35,0.331,0.238,0.48,0.332,0.24,0.506,0,0,0,4
"No sabe",0.013,0.003,0.023,0,0.022,0.013,0.012,0,0.018,0.022,0.01,0,0,0.01,0.01,0,0,0,4
