"var","categoria","Empleado sector publico","Empleado sector privado","Changas o trabajos eventuales","Estudiante","Amas de casa","Profesional o independiente","Comerciante, emprendedor o empresario","Trabajador informal","No tengo trabajo"
"P12","Gran excedente habitual",0,0.088,0.015,0,0,0.028,0,0,0
"P12","Gran excedente excepcional",0.005,0,0,0,0,0,0,0,0
"P12","Pequeño excedente habitual",0.046,0.045,0.009,0,0,0.068,0.049,0,0
"P12","Pequeño excedente excepcional",0.091,0.038,0.038,0.264,0,0.029,0.026,0,0
"P12","Alcanza gastos familia",0.119,0.173,0.052,0.104,0.131,0.157,0.374,0.284,0.063
"P12","No alcanza gastos familia",0.077,0.068,0.14,0.056,0.046,0.058,0.201,0.051,0.01
"P12","Solo NBFamiliares",0.285,0.31,0.224,0.217,0.17,0.416,0.293,0.154,0.134
"P12","No alcanza NBFamiliares",0.374,0.274,0.522,0.359,0.653,0.237,0.048,0.511,0.793
"P12","No sabe",0.003,0.004,0,0,0,0.007,0.009,0,0
"P13","Muy buena",0.199,0.117,0.098,0.082,0.146,0.091,0,0,0.314
"P13","Buena",0.107,0.28,0.157,0.325,0.158,0.061,0.067,0.461,0.143
"P13","Ni buena ni mala",0.185,0.19,0.356,0.066,0.439,0.289,0.189,0.205,0.15
"P13","Mala",0.309,0.112,0.265,0.302,0.224,0.386,0.693,0.16,0.354
"P13","Muy mala",0.196,0.286,0.103,0.225,0.033,0.153,0.051,0.174,0.039
"P13","No sabe",0.004,0.015,0.021,0,0,0.02,0,0,0
"P14","Muy buena",0.339,0.354,0.175,0.254,0.179,0.319,0.25,0.124,0.067
"P14","Buena",0.073,0.14,0.185,0,0.172,0.178,0.519,0.354,0.11
"P14","Ni buena ni mala",0.066,0.16,0.26,0.358,0.338,0.096,0.041,0,0.107
"P14","Mala",0.165,0.155,0.184,0.082,0.081,0.183,0.024,0.254,0.338
"P14","Muy mala",0.357,0.185,0.196,0.306,0.23,0.224,0.166,0.268,0.378
"P14","No sabe",0,0.006,0,0,0,0,0,0,0
"P16","Muy buena",0.366,0.145,0.193,0.053,0.268,0.094,0.111,0,0.322
"P16","Buena",0.133,0.244,0.185,0.082,0.13,0.157,0.075,0.421,0.065
"P16","Ni buena ni mala",0.18,0.24,0.229,0.559,0.443,0.259,0.123,0.354,0.177
"P16","Mala",0.158,0.155,0.281,0,0.109,0.313,0.562,0.124,0.377
"P16","Muy mala",0.136,0.206,0.102,0.306,0.032,0.177,0.129,0.05,0.059
"P16","No sabe",0.027,0.01,0.01,0,0.018,0,0,0.051,0
"P19","Muy buena",0.244,0.055,0.075,0.082,0.249,0.069,0.035,0,0.106
"P19","Buena",0.093,0.201,0.189,0.273,0.278,0.186,0,0.461,0.365
"P19","Ni buena ni mala",0.213,0.307,0.347,0.42,0.315,0.278,0.295,0.331,0.242
"P19","Mala",0.238,0.234,0.246,0.225,0.046,0.337,0.603,0.159,0.26
"P19","Muy mala",0.212,0.199,0.143,0,0.033,0.113,0.067,0.049,0.027
"P19","No sabe",0,0.004,0,0,0.079,0.017,0,0,0
"P20","Gobierno nacional",0.373,0.255,0.234,0.27,0.358,0.242,0.104,0.051,0.446
"P20","Gobierno provincial",0.539,0.623,0.473,0.582,0.358,0.655,0.763,0.949,0.502
"P20","No sabe",0.088,0.122,0.293,0.148,0.284,0.103,0.133,0,0.052
"P21","El anterior gobierno de Arabela Carreras",0.289,0.301,0.333,0.06,0.455,0.362,0.145,0.417,0.439
"P21","El actual gobierno de Alberto Weretilneck",0.616,0.524,0.461,0.94,0.285,0.585,0.794,0.241,0.439
"P21","No sabe",0.095,0.175,0.206,0,0.26,0.053,0.061,0.342,0.122
"P22","El anterior gobierno de Alberto Fernández",0.48,0.316,0.234,0.13,0.306,0.142,0,0,0.143
"P22","El actual gobierno de Javier Milei",0.52,0.647,0.743,0.87,0.666,0.723,1,0,0.756
"P22","No sabe",0,0.037,0.023,0,0.028,0.135,0,1,0.101
"P24","Muy de acuerdo",0.425,0.204,0.152,0.058,0.237,0.158,0.083,0.405,0.172
"P24","De acuerdo",0.156,0.208,0.145,0.152,0.145,0.227,0.166,0.318,0.106
"P24","Ni de acuerdo ni en desacuerdo",0.115,0.348,0.459,0.089,0.462,0.257,0.3,0.12,0.434
"P24","En desacuerdo",0.157,0.088,0.166,0.246,0.071,0.159,0.202,0,0.288
"P24","Muy en desacuerdo",0.093,0.103,0.073,0.455,0.061,0.053,0.038,0.107,0
"P24","No sabe",0.054,0.049,0.005,0,0.024,0.146,0.211,0.05,0
"P25","Muy de acuerdo",0.319,0.219,0.155,0,0.046,0.069,0.005,0,0.026
"P25","De acuerdo",0.083,0.113,0.077,0.225,0.151,0.115,0.081,0.186,0.143
"P25","Ni de acuerdo ni en desacuerdo",0.141,0.127,0.125,0.078,0.338,0.353,0.255,0.055,0.083
"P25","En desacuerdo",0.331,0.37,0.48,0.44,0.236,0.355,0.281,0.593,0.367
"P25","Muy en desacuerdo",0.126,0.11,0.163,0.257,0.229,0.108,0.183,0,0.381
"P25","No sabe",0,0.061,0,0,0,0,0.195,0.166,0
"P26","Si",0.798,0.687,0.636,0.531,0.517,0.892,0.591,0.672,0.462
"P26","No",0.202,0.313,0.364,0.469,0.483,0.108,0.409,0.328,0.538
"P27","Muy de acuerdo",0.321,0.336,0.262,0.106,0.224,0.186,0.033,0,0.099
"P27","De acuerdo",0.136,0.128,0.125,0,0.346,0.22,0.331,0.187,0.102
"P27","Ni de acuerdo ni en desacuerdo",0.141,0.244,0.201,0.393,0.202,0.293,0.288,0.441,0.24
"P27","En desacuerdo",0.256,0.157,0.296,0.501,0.108,0.174,0.1,0.055,0.173
"P27","Muy en desacuerdo",0.143,0.131,0.111,0,0.12,0.119,0.248,0.317,0.386
"P27","No sabe",0.003,0.004,0.005,0,0,0.008,0,0,0
"P28","Si",0.83,0.742,0.63,0.689,0.281,0.903,0.946,0.664,0.596
"P28","No",0.17,0.258,0.37,0.311,0.719,0.097,0.054,0.336,0.404
"P29","Muy de acuerdo",0.419,0.296,0.364,0.28,0.081,0.339,0.179,0,0.034
"P29","De acuerdo",0.055,0.217,0.123,0.107,0.119,0.134,0.545,0.191,0.195
"P29","Ni de acuerdo ni en desacuerdo",0.153,0.18,0.231,0.527,0.333,0.115,0.054,0.254,0.174
"P29","En desacuerdo",0.241,0.174,0.224,0.086,0.317,0.233,0.113,0.243,0.132
"P29","Muy en desacuerdo",0.12,0.128,0.053,0,0.15,0.163,0.068,0.145,0.465
"P29","No sabe",0.012,0.005,0.005,0,0,0.016,0.041,0.167,0
"P30","No estaba enterado",0.311,0.245,0.31,0.235,0.409,0.11,0.088,0.244,0.229
"P30","De acuerdo",0.305,0.459,0.331,0.503,0.167,0.417,0.471,0,0.487
"P30","En desacuerdo",0.289,0.282,0.221,0.155,0.381,0.347,0.412,0.401,0.27
"P30","No sabe",0.095,0.014,0.138,0.107,0.043,0.126,0.029,0.355,0.014
"P31","No tengo cable ni internet",0.287,0.144,0.399,0.42,0.251,0.126,0.299,0,0.155
"P31","Si tuve",0.482,0.661,0.459,0.58,0.66,0.638,0.533,0.609,0.614
"P31","No tuve",0.231,0.195,0.142,0,0.089,0.236,0.168,0.391,0.231
"P32","Reclamando directamente a la empresa",0.338,0.325,0.452,0.794,0.423,0.431,0.164,0.099,0.279
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.319,0.436,0.208,0.206,0.5,0.193,0.318,0,0.196
"P32","Nunca se pudo resolver",0.343,0.239,0.34,0,0.077,0.376,0.518,0.901,0.525
"P33","1-Excelente",0.165,0.192,0.165,0.26,0.209,0.248,0.139,0,0.108
"P33","2",0.105,0.09,0.209,0,0.053,0.095,0.08,0,0.06
"P33","3",0.033,0.019,0.022,0,0.05,0.046,0.006,0,0.068
"P33","4",0.072,0.013,0.075,0.116,0,0.083,0,0,0.027
"P33","5",0.121,0.1,0.139,0.102,0.224,0.213,0.474,0.364,0.439
"P33","6",0.039,0.054,0.086,0,0.017,0.064,0,0,0.028
"P33","7",0.022,0.029,0.062,0,0.122,0.059,0,0.237,0.018
"P33","8",0.05,0.095,0.028,0,0.078,0.033,0.23,0,0.016
"P33","9-Pésimo",0.344,0.312,0.177,0.522,0.247,0.123,0.046,0.399,0.204
"P33","No sabe",0.049,0.096,0.037,0,0,0.036,0.025,0,0.032
"P34","1-Excelente",0.198,0.184,0.099,0.26,0.142,0.197,0.167,0,0.079
"P34","2",0.07,0.089,0.174,0,0.056,0.092,0.063,0,0.072
"P34","3",0.039,0.046,0.125,0,0.173,0.101,0.037,0,0.071
"P34","4",0.105,0.019,0.042,0.11,0.027,0.124,0,0,0.329
"P34","5",0.094,0.074,0.134,0.102,0.05,0.129,0.415,0.314,0.013
"P34","6",0.035,0.029,0.03,0,0.024,0.026,0,0.152,0.1
"P34","7",0.02,0.055,0.013,0,0.178,0.045,0.025,0,0.045
"P34","8",0.052,0.087,0.048,0,0,0.073,0.202,0,0.017
"P34","9-Pésimo",0.346,0.327,0.287,0.528,0.331,0.158,0.065,0.534,0.242
"P34","No sabe",0.041,0.09,0.048,0,0.019,0.055,0.026,0,0.032
"P35","1-Excelente",0.183,0.164,0.284,0,0.064,0.214,0.136,0,0.333
"P35","2",0.059,0.075,0.104,0,0.085,0.041,0.114,0,0.058
"P35","3",0.019,0.067,0.003,0.111,0.264,0.113,0.043,0,0.099
"P35","4",0.093,0.024,0.059,0,0.028,0.064,0,0,0.072
"P35","5",0.162,0.127,0.126,0.363,0.084,0.121,0.46,0,0.057
"P35","6",0.05,0.019,0.067,0,0.024,0.096,0,0,0.029
"P35","7",0.027,0.079,0.029,0,0.08,0.124,0.187,0.467,0.052
"P35","8",0.043,0.041,0.099,0,0.129,0.037,0.014,0,0.045
"P35","9-Pésimo",0.323,0.317,0.195,0.526,0.242,0.161,0.046,0.533,0.223
"P35","No sabe",0.041,0.087,0.034,0,0,0.029,0,0,0.032
"P36","1-Excelente",0.154,0.119,0.16,0,0.044,0.181,0.166,0,0.079
"P36","2",0.051,0.127,0.11,0,0.051,0.032,0.059,0,0.057
"P36","3",0.051,0.076,0.089,0,0.315,0.116,0.042,0,0.12
"P36","4",0.103,0.027,0.052,0.114,0.066,0.012,0.036,0.153,0.015
"P36","5",0.154,0.102,0.136,0.365,0.095,0.21,0.44,0.311,0.142
"P36","6",0.009,0.003,0.088,0,0.033,0.14,0,0,0.029
"P36","7",0.059,0.068,0.077,0,0.128,0.046,0,0,0.286
"P36","8",0.034,0.133,0.092,0,0.028,0.065,0.186,0,0.018
"P36","9-Pésimo",0.322,0.243,0.155,0.521,0.24,0.16,0.046,0.536,0.222
"P36","No sabe",0.063,0.102,0.041,0,0,0.038,0.025,0,0.032
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.537,0.41,0.387,0.147,0.44,0.466,0.285,0.317,0.171
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.221,0.134,0.173,0.075,0.307,0.104,0.079,0.261,0.189
