"var","categoria","El anterior gobierno de Arabela Carreras","El actual gobierno de Alberto Weretilneck","No sabe"
"P12","Gran excedente habitual",0,0.04,0
"P12","Gran excedente excepcional",0.011,0,0
"P12","Pequeño excedente habitual",0.008,0.051,0.124
"P12","Pequeño excedente excepcional",0.09,0.089,0.012
"P12","Alcanza gastos familia",0.183,0.169,0.048
"P12","No alcanza gastos familia",0.032,0.076,0.048
"P12","Solo NBFamiliares",0.258,0.323,0.222
"P12","No alcanza NBFamiliares",0.411,0.25,0.546
"P12","No sabe",0.007,0.002,0
"P13","Muy buena",0.072,0.038,0
"P13","Buena",0.27,0.077,0.205
"P13","Ni buena ni mala",0.209,0.059,0.387
"P13","Mala",0.292,0.432,0.279
"P13","Muy mala",0.128,0.383,0.129
"P13","No sabe",0.029,0.011,0
"P14","Muy buena",0.297,0.392,0.205
"P14","Buena",0.27,0.176,0.107
"P14","Ni buena ni mala",0.126,0.108,0.406
"P14","Mala",0.033,0.107,0.12
"P14","Muy mala",0.274,0.217,0.162
"P14","No sabe",0,0,0
"P16","Muy buena",0.15,0.167,0.191
"P16","Buena",0.153,0.168,0.318
"P16","Ni buena ni mala",0.33,0.224,0.115
"P16","Mala",0.119,0.235,0.271
"P16","Muy mala",0.24,0.185,0.096
"P16","No sabe",0.008,0.021,0.009
"P19","Muy buena",0.057,0.048,0.028
"P19","Buena",0.214,0.062,0.237
"P19","Ni buena ni mala",0.322,0.126,0.315
"P19","Mala",0.252,0.417,0.324
"P19","Muy mala",0.138,0.347,0.096
"P19","No sabe",0.017,0,0
"P23","Empleado sector publico",0.231,0.283,0.164
"P23","Empleado sector privado",0.243,0.243,0.306
"P23","Changas o trabajos eventuales",0.216,0.171,0.29
"P23","Estudiante",0.006,0.05,0
"P23","Amas de casa",0.058,0.021,0.073
"P23","Profesional o independiente",0.1,0.093,0.032
"P23","Comerciante, emprendedor o empresario",0.025,0.078,0.022
"P23","Trabajador informal",0.034,0.011,0.061
"P23","No tengo trabajo",0.087,0.05,0.052
"P24","Muy de acuerdo",0.224,0.193,0.203
"P24","De acuerdo",0.221,0.108,0.231
"P24","Ni de acuerdo ni en desacuerdo",0.243,0.263,0.265
"P24","En desacuerdo",0.267,0.201,0.153
"P24","Muy en desacuerdo",0.022,0.19,0.026
"P24","No sabe",0.023,0.045,0.122
"P25","Muy de acuerdo",0.127,0.173,0.158
"P25","De acuerdo",0.176,0.148,0.046
"P25","Ni de acuerdo ni en desacuerdo",0.211,0.189,0.245
"P25","En desacuerdo",0.378,0.279,0.352
"P25","Muy en desacuerdo",0.108,0.187,0.046
"P25","No sabe",0,0.024,0.153
"P26","Si",0.672,0.765,0.616
"P26","No",0.328,0.235,0.384
"P27","Muy de acuerdo",0.192,0.318,0.15
"P27","De acuerdo",0.201,0.154,0.094
"P27","Ni de acuerdo ni en desacuerdo",0.315,0.195,0.335
"P27","En desacuerdo",0.21,0.206,0.274
"P27","Muy en desacuerdo",0.082,0.122,0.136
"P27","No sabe",0,0.005,0.011
"P28","Si",0.633,0.855,0.462
"P28","No",0.367,0.145,0.538
"P29","Muy de acuerdo",0.275,0.389,0.105
