"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.111,0.115,0.107,0.056,0.073,0.122,0.245,0.155,0.102,0.081,0.18,0.208,0.047,0.051,0.173,0,0,0,6
"Buena",0.155,0.142,0.167,0.174,0.152,0.093,0.235,0.111,0.171,0.174,0.171,0.259,0.061,0.137,0.178,0,0,0,6
"Ni buena ni mala",0.347,0.342,0.352,0.224,0.405,0.386,0.266,0.201,0.49,0.297,0.396,0.39,0.263,0.239,0.418,0,0,0,6
"Mala",0.182,0.181,0.183,0.266,0.164,0.196,0.123,0.137,0.173,0.236,0.161,0.018,0.223,0.29,0.118,0,0,0,6
"Muy mala",0.16,0.209,0.112,0.196,0.176,0.15,0.098,0.383,0.022,0.132,0.081,0.092,0.382,0.257,0.067,0,0,0,6
"No sabe",0.045,0.011,0.079,0.084,0.03,0.053,0.033,0.013,0.042,0.08,0.011,0.033,0.024,0.026,0.046,0,0,0,6
"Positiva",0.266,0.257,0.274,0.23,0.225,0.215,0.48,0.266,0.273,0.255,0.351,0.467,0.108,0.188,0.351,0,0,0,4
"Neutra",0.347,0.342,0.352,0.224,0.405,0.386,0.266,0.201,0.49,0.297,0.396,0.39,0.263,0.239,0.418,0,0,0,4
"Negativa",0.342,0.39,0.295,0.462,0.34,0.346,0.221,0.52,0.195,0.368,0.242,0.11,0.605,0.547,0.185,0,0,0,4
"No sabe",0.045,0.011,0.079,0.084,0.03,0.053,0.033,0.013,0.042,0.08,0.011,0.033,0.024,0.026,0.046,0,0,0,4
