"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P13","Muy buena",0.317,0,0,0,0.09,0.221,0.06,0.195,0
"P13","Buena",0.068,0,0.224,0.095,0.042,0.07,0.295,0.178,0.076
"P13","Ni buena ni mala",0.054,0,0.123,0.08,0.229,0.312,0.186,0.333,0.053
"P13","Mala",0,0,0.363,0.39,0.437,0.231,0.322,0.2,0.871
"P13","Muy mala",0.561,1,0.261,0.299,0.192,0.144,0.137,0.094,0
"P13","No sabe",0,0,0.029,0.136,0.01,0.022,0,0,0
"P14","Muy buena",0.818,0,0.439,0.514,0.369,0.3,0.25,0.162,0.113
"P14","Buena",0,0,0.2,0.328,0.293,0.042,0.203,0.114,0
"P14","Ni buena ni mala",0,1,0.261,0.048,0.12,0.191,0.125,0.197,0.143
"P14","Mala",0,0,0.041,0.024,0.113,0.281,0.215,0.162,0.661
"P14","Muy mala",0.182,0,0.059,0.086,0.095,0.186,0.207,0.36,0.083
"P14","No sabe",0,0,0,0,0.01,0,0,0.005,0
"P16","Muy buena",0.067,0,0.064,0.309,0.121,0.084,0.175,0.317,0.083
"P16","Buena",0,1,0.223,0.121,0.086,0.149,0.24,0.173,0
"P16","Ni buena ni mala",0.356,0,0.093,0.324,0.379,0.199,0.193,0.244,0
"P16","Mala",0,0,0.295,0.028,0.191,0.26,0.27,0.187,0.7
"P16","Muy mala",0.577,0,0.325,0.218,0.215,0.303,0.096,0.067,0.217
"P16","No sabe",0,0,0,0,0.008,0.005,0.026,0.012,0
"P19","Muy buena",0,0,0.054,0.117,0.058,0.048,0.122,0.22,0
"P19","Buena",0,0,0.17,0.093,0.051,0.309,0.153,0.219,0.08
"P19","Ni buena ni mala",0.425,0,0.081,0.199,0.399,0.195,0.226,0.313,0.137
"P19","Mala",0.031,1,0.22,0.33,0.267,0.269,0.302,0.194,0.104
"P19","Muy mala",0.544,0,0.475,0.261,0.219,0.157,0.187,0.045,0.679
"P19","No sabe",0,0,0,0,0.006,0.022,0.01,0.009,0
"P20","Gobierno nacional",0.039,0,0.031,0.011,0.128,0.238,0.286,0.425,0.081
"P20","Gobierno provincial",0.636,1,0.751,0.918,0.684,0.386,0.61,0.432,0.18
"P20","No sabe",0.325,0,0.218,0.071,0.188,0.376,0.104,0.143,0.739
"P21","El anterior gobierno de Arabela Carreras",0,1,0.057,0.358,0.366,0.173,0.282,0.381,0.689
"P21","El actual gobierno de Alberto Weretilneck",1,0,0.591,0.621,0.593,0.717,0.615,0.405,0.311
"P21","No sabe",0,0,0.352,0.021,0.041,0.11,0.103,0.214,0
"P22","El anterior gobierno de Alberto Fernández",0,0,1,0,0.59,0.701,0.201,0.326,0
"P22","El actual gobierno de Javier Milei",1,0,0,1,0.41,0.284,0.777,0.639,1
"P22","No sabe",0,0,0,0,0,0.015,0.022,0.035,0
"P23","Empleado sector publico",0,1,0.361,0.445,0.225,0.211,0.261,0.224,0.283
"P23","Empleado sector privado",0.771,0,0.323,0.165,0.296,0.167,0.256,0.148,0.342
"P23","Changas o trabajos eventuales",0.145,0,0.073,0.194,0.102,0.397,0.213,0.324,0
"P23","Estudiante",0,0,0,0.127,0.019,0.015,0.02,0.021,0
"P23","Amas de casa",0,0,0,0,0.072,0.037,0.045,0.114,0
"P23","Profesional o independiente",0.084,0,0.164,0.043,0.091,0.049,0.117,0.043,0.206
"P23","Comerciante, emprendedor o empresario",0,0,0.079,0.026,0.144,0.112,0.054,0.006,0.169
"P23","Trabajador informal",0,0,0,0,0.024,0.006,0.006,0.013,0
"P23","No tengo trabajo",0,0,0,0,0.027,0.006,0.028,0.107,0
"P24","Muy de acuerdo",0.037,0,0.031,0.434,0.167,0.163,0.268,0.252,0.553
"P24","De acuerdo",0,0,0.161,0.068,0.183,0.202,0.198,0.161,0.17
"P24","Ni de acuerdo ni en desacuerdo",0.051,0,0.247,0.096,0.355,0.211,0.327,0.368,0
"P24","En desacuerdo",0,1,0.189,0.254,0.207,0.093,0.117,0.154,0.277
"P24","Muy en desacuerdo",0.583,0,0.07,0.095,0.068,0.211,0.062,0.047,0
"P24","No sabe",0.329,0,0.302,0.053,0.02,0.12,0.028,0.018,0
"P25","Muy de acuerdo",0.861,0,0.312,0.388,0.067,0.16,0.114,0.176,0
"P25","De acuerdo",0,1,0.297,0.229,0.158,0.086,0.136,0.035,0.795
"P25","Ni de acuerdo ni en desacuerdo",0,0,0.285,0.146,0.301,0.105,0.189,0.126,0
"P25","En desacuerdo",0,0,0.089,0.225,0.352,0.364,0.409,0.431,0.205
"P25","Muy en desacuerdo",0.139,0,0.017,0.012,0.122,0.178,0.152,0.197,0
"P25","No sabe",0,0,0,0,0,0.107,0,0.035,0
"P26","Si",1,1,0.844,0.835,0.726,0.648,0.685,0.634,0.374
"P26","No",0,0,0.156,0.165,0.274,0.352,0.315,0.366,0.626
"P27","Muy de acuerdo",0.913,0,0.401,0.13,0.18,0.409,0.166,0.283,0
"P27","De acuerdo",0,0,0.057,0.113,0.292,0.125,0.202,0.117,0.432
"P27","Ni de acuerdo ni en desacuerdo",0.049,1,0.294,0.51,0.163,0.218,0.25,0.162,0.357
"P27","En desacuerdo",0,0,0.042,0.198,0.161,0.155,0.245,0.271,0.211
"P27","Muy en desacuerdo",0.038,0,0.206,0.049,0.197,0.093,0.131,0.164,0
"P27","No sabe",0,0,0,0,0.007,0,0.006,0.003,0
"P28","Si",1,1,0.941,0.789,0.847,0.609,0.763,0.623,1
"P28","No",0,0,0.059,0.211,0.153,0.391,0.237,0.377,0
"P29","Muy de acuerdo",0.853,0,0.068,0.497,0.181,0.402,0.335,0.261,0.184
"P29","De acuerdo",0,1,0.314,0.07,0.369,0.043,0.216,0.052,0.597
"P29","Ni de acuerdo ni en desacuerdo",0.147,0,0.327,0.288,0.163,0.274,0.145,0.202,0
"P29","En desacuerdo",0,0,0.132,0.085,0.124,0.171,0.173,0.33,0
"P29","Muy en desacuerdo",0,0,0.05,0.024,0.147,0.098,0.124,0.153,0.219
