"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P12","Gran excedente habitual",0.039,0.014,0
"P12","Gran excedente excepcional",0.006,0,0
"P12","Pequeño excedente habitual",0.023,0.012,0.084
"P12","Pequeño excedente excepcional",0.102,0.044,0.036
"P12","Alcanza gastos familia",0.16,0.072,0.077
"P12","No alcanza gastos familia",0.048,0.083,0.085
"P12","Solo NBFamiliares",0.367,0.369,0.336
"P12","No alcanza NBFamiliares",0.248,0.404,0.382
"P12","No sabe",0.007,0.002,0
"P13","Muy buena",0.096,0.189,0.103
"P13","Buena",0.094,0.2,0.118
"P13","Ni buena ni mala",0.114,0.299,0.516
"P13","Mala",0.337,0.161,0.119
"P13","Muy mala",0.353,0.12,0.127
"P13","No sabe",0.006,0.031,0.017
"P14","Muy buena",0.573,0.052,0.156
"P14","Buena",0.182,0.066,0.309
"P14","Ni buena ni mala",0.119,0.105,0.448
"P14","Mala",0.029,0.255,0.064
"P14","Muy mala",0.097,0.522,0.006
"P14","No sabe",0,0,0.017
"P16","Muy buena",0.078,0.238,0.141
"P16","Buena",0.133,0.219,0.273
"P16","Ni buena ni mala",0.277,0.205,0.284
"P16","Mala",0.245,0.208,0.229
"P16","Muy mala",0.267,0.121,0
"P16","No sabe",0,0.009,0.073
"P19","Muy buena",0.07,0.164,0.053
"P19","Buena",0.05,0.27,0.255
"P19","Ni buena ni mala",0.212,0.268,0.258
"P19","Mala",0.345,0.141,0.213
"P19","Muy mala",0.31,0.152,0.163
"P19","No sabe",0.013,0.005,0.058
"P20","Gobierno nacional",0.081,0.514,0.065
"P20","Gobierno provincial",0.88,0.349,0.454
"P20","No sabe",0.039,0.137,0.481
"P21","El anterior gobierno de Arabela Carreras",0.292,0.328,0.031
"P21","El actual gobierno de Alberto Weretilneck",0.678,0.581,0.768
"P21","No sabe",0.03,0.091,0.201
"P22","El anterior gobierno de Alberto Fernández",0.433,0.125,1
"P22","El actual gobierno de Javier Milei",0.567,0.862,0
"P22","No sabe",0,0.013,0
"P23","Empleado sector publico",0.252,0.235,0.219
"P23","Empleado sector privado",0.265,0.185,0.295
"P23","Changas o trabajos eventuales",0.122,0.297,0.105
"P23","Estudiante",0.069,0.014,0.06
"P23","Amas de casa",0.041,0.094,0.245
"P23","Profesional o independiente",0.125,0.093,0.048
"P23","Comerciante, emprendedor o empresario",0.058,0.029,0.012
"P23","Trabajador informal",0.006,0.008,0
"P23","No tengo trabajo",0.062,0.045,0.016
"P24","Muy de acuerdo",0.303,0.123,0.309
"P24","De acuerdo",0.108,0.264,0.051
"P24","Ni de acuerdo ni en desacuerdo",0.211,0.349,0.382
"P24","En desacuerdo",0.18,0.114,0.163
"P24","Muy en desacuerdo",0.163,0.118,0.078
"P24","No sabe",0.035,0.032,0.017
"P25","Muy de acuerdo",0.201,0.048,0.097
"P25","De acuerdo",0.24,0.066,0.086
"P25","Ni de acuerdo ni en desacuerdo",0.237,0.057,0.428
"P25","En desacuerdo",0.2,0.549,0.321
"P25","Muy en desacuerdo",0.122,0.276,0.068
"P25","No sabe",0,0.004,0
"P26","Si",0.721,0.712,0.635
"P26","No",0.279,0.288,0.365
"P27","Muy de acuerdo",0.328,0.175,0.187
"P27","De acuerdo",0.233,0.081,0.42
"P27","Ni de acuerdo ni en desacuerdo",0.213,0.16,0.227
"P27","En desacuerdo",0.184,0.358,0.07
"P27","Muy en desacuerdo",0.037,0.226,0.096
"P27","No sabe",0.005,0,0
"P28","Si",0.828,0.664,0.662
"P28","No",0.172,0.336,0.338
"P29","Muy de acuerdo",0.437,0.151,0.219
"P29","De acuerdo",0.246,0.11,0.263
"P29","Ni de acuerdo ni en desacuerdo",0.173,0.176,0.393
"P29","En desacuerdo",0.054,0.373,0.019
"P29","Muy en desacuerdo",0.081,0.178,0.094
"P29","No sabe",0.009,0.012,0.012
"P30","No estaba enterado",0.21,0.213,0.365
"P30","De acuerdo",0.664,0.176,0.311
"P30","En desacuerdo",0.087,0.522,0.219
"P30","No sabe",0.039,0.089,0.105
"P31","No tengo cable ni internet",0.206,0.188,0.175
"P31","Si tuve",0.624,0.609,0.55
"P31","No tuve",0.17,0.203,0.275
"P32","Reclamando directamente a la empresa",0.425,0.433,0.123
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.414,0.224,0.321
"P32","Nunca se pudo resolver",0.161,0.343,0.556
"P33","1-Excelente",0.186,0.163,0.135
"P33","2",0.143,0.091,0.016
"P33","3",0.018,0.031,0.012
"P33","4",0.075,0.062,0.025
"P33","5",0.107,0.222,0.204
"P33","6",0.015,0.099,0.07
"P33","7",0.011,0.059,0.145
"P33","8",0.096,0.034,0.033
"P33","9-Pésimo",0.297,0.215,0.331
"P33","No sabe",0.052,0.024,0.029
"P34","1-Excelente",0.185,0.154,0.121
"P34","2",0.086,0.093,0.026
"P34","3",0.055,0.105,0.017
"P34","4",0.079,0.103,0.048
"P34","5",0.096,0.107,0.173
"P34","6",0.014,0.039,0.101
"P34","7",0.057,0.025,0.14
"P34","8",0.052,0.077,0.021
"P34","9-Pésimo",0.32,0.275,0.313
"P34","No sabe",0.056,0.022,0.04
"P35","1-Excelente",0.191,0.214,0.077
"P35","2",0.043,0.062,0.042
"P35","3",0.026,0.097,0.049
"P35","4",0.076,0.066,0.044
"P35","5",0.204,0.112,0.222
"P35","6",0.034,0.063,0.04
"P35","7",0.042,0.088,0.063
"P35","8",0.044,0.081,0.122
"P35","9-Pésimo",0.293,0.202,0.313
"P35","No sabe",0.047,0.015,0.028
"P36","1-Excelente",0.123,0.145,0.069
"P36","2",0.079,0.082,0.025
"P36","3",0.055,0.115,0
"P36","4",0.051,0.085,0.097
"P36","5",0.208,0.116,0.244
"P36","6",0.05,0.04,0.012
"P36","7",0.048,0.131,0.13
"P36","8",0.087,0.059,0
"P36","9-Pésimo",0.244,0.206,0.313
"P36","No sabe",0.055,0.021,0.11
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.107,0.758,0.214
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.198,0.11,0.312
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.294,0.012,0.254
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.395,0.083,0.099
"P37","No sabe",0.006,0.037,0.121
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.105,0.653,0.068
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.076,0.221,0.272
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.439,0.043,0.218
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.344,0.077,0.321
"P38","No sabe",0.036,0.006,0.121
"P39","Oponerse totalmente",0.097,0.733,0.088
"P39","Oponerse parcialmente",0.041,0.105,0.041
"P39","Apoyar parcialmente",0.352,0.129,0.627
"P39","Apoyar totalmente",0.472,0.029,0.087
"P39","No sabe",0.038,0.004,0.157
"P40","Inseguridad y narcotráfico",0.261,0.29,0.076
"P40","Altos impuestos y tarifas",0.197,0.175,0.3
"P40","Educación y estado de las escuelas",0.258,0.156,0.351
"P40","Inflación",0.199,0.198,0.091
"P40","Estado de la salud",0.051,0.1,0.088
"P40","Corrupción",0.025,0.009,0.036
"P40","Pobreza",0,0.045,0
"P40","Medio ambiente, incendios y contaminación",0,0.004,0
"P40","Falta de trabajo",0.009,0.023,0
"P40","No sabe",0,0,0.058
"P44","Muy buena",0.047,0.046,0.008
"P44","Buena",0.047,0.084,0.223
"P44","Ni buena ni mala",0.294,0.261,0.364
"P44","Mala",0.447,0.411,0.225
"P44","Muy mala",0.162,0.19,0.144
"P44","No sabe",0.003,0.008,0.036
"P45","Peor",0.454,0.721,0.335
"P45","Igual",0.233,0.178,0.303
"P45","Mejor",0.122,0.065,0.114
"P45","No sabe",0.191,0.036,0.248
"P46","Peor",0.471,0.704,0.252
"P46","Igual",0.302,0.189,0.242
"P46","Mejor",0.147,0.055,0.182
"P46","No sabe",0.08,0.052,0.324
"P48","Muy buena",0.12,0.121,0.021
"P48","Buena",0.024,0.334,0.147
"P48","Ni buena ni mala",0.183,0.218,0.436
"P48","Mala",0.429,0.175,0.226
"P48","Muy mala",0.244,0.149,0.134
"P48","No sabe",0,0.003,0.036
"P50","Muy buena",0.089,0.238,0.123
"P50","Buena",0.112,0.283,0.216
"P50","Ni buena ni mala",0.162,0.137,0.284
"P50","Mala",0.38,0.225,0.285
"P50","Muy mala",0.255,0.109,0.056
