"var","categoria","Si","No","No sabe"
"P04","Gran excedente habitual",0.139,0.21,0.214
"P04","Gran excedente excepcional",0.155,0.166,0.24
"P04","Pequeño excedente habitual",0.123,0.136,0.131
"P04","Pequeño excedente excepcional",0.203,0.155,0.18
"P04","Alcanza gastos familia",0.11,0.1,0.108
"P04","No alcanza gastos familia",0.11,0.081,0.073
"P04","Solo NBFamiliares",0.042,0.069,0
"P04","No alcanza NBFamiliares",0.063,0.044,0.034
"P04","No sabe",0.055,0.039,0.02
"P06","Menos de 5 años ",0.199,0.246,0.215
"P06","Entre 6 y 10 años",0.2,0.179,0.163
"P06","Entre 11 y 20 años",0.243,0.234,0.252
"P06","Mas de 20 años",0.358,0.341,0.37
"P07","Medico clínico",0.469,0.468,0.284
"P07","Pediatra",0.171,0.126,0.214
"P07","Cardiólogo",0.16,0.19,0.245
"P07","Neumólogos",0.149,0.194,0.203
"P07","Otra especialidad",0.051,0.022,0.054
"P08","En una institución pública",0.408,0.37,0.121
"P08","En una institución privada",0.235,0.283,0.22
"P08","Ambas",0.23,0.195,0.428
"P08","Solo consultorio",0.076,0.097,0.2
"P08","Institución publica o privada y consultorio",0.051,0.055,0.031
"P09","Si",0.853,0.767,0.808
"P09","No",0.147,0.233,0.192
"P10","1 dosis",0.129,0.133,0.075
"P10","2 dosis.",0.051,0.089,0.14
"P10","3 dosis o más",0.82,0.778,0.785
"P11","Si",0.595,0.43,0.381
"P11","No",0.405,0.57,0.619
"P12","Para protegerse de la enfermedad",0.549,0.435,0.384
"P12","Porque soy personal de riesgo",0.375,0.432,0.427
"P12","Porque colegas se vacunaron",0.022,0.029,0
"P12","Me lo recomendó la institución donde trabajo",0.044,0.061,0.156
"P12","No sabe",0.01,0.043,0.033
"P13","Si",0.335,0.359,0.408
"P13","No",0.665,0.641,0.592
"P14","Si",0.589,0.633,0.686
"P14","No",0.411,0.367,0.314
"P15","Si, a todos sus pacientes",0.575,0.375,0.353
"P15","Depende el caso del paciente",0.331,0.468,0.551
"P15","No la recomiendo",0.094,0.157,0.096
"P16","Dos dosis",0.17,0.12,0.061
"P16","Tres dosis",0.101,0.135,0.041
"P16","Cuatros o mas dosis",0.729,0.745,0.898
"P17","Porque ya no hay casos de COVID",0.037,0.087,0.148
"P17","Porque ha disminuido de forma significativa el contagio",0.32,0.268,0.169
"P17","Por los efectos secundarios",0.383,0.411,0.352
"P17","No sabe",0.26,0.234,0.331
"P18","Si",0.399,0.364,0.31
"P18","No",0.506,0.447,0.467
"P18","No sabe",0.095,0.189,0.223
"P19","Si",0.57,0.39,0.478
"P19","No",0.379,0.537,0.395
"P19","No sabe",0.051,0.073,0.127
"P20","Si",0.679,0.603,0.583
"P20","No",0.278,0.336,0.255
"P20","No sabe",0.043,0.061,0.162
"P21","Si",0.568,0.381,0.437
"P21","No",0.36,0.505,0.308
"P21","No sabe",0.072,0.114,0.255
"P22","Sinopharm",0.123,0.086,0.156
"P22","Sputnik",0.36,0.324,0.221
"P22","Aztra-Zeneca",0.095,0.097,0.104
"P22","Moderna",0.073,0.105,0.042
"P22","Pfizer",0.226,0.197,0.225
"P22","No sabe",0.123,0.191,0.252
"P23","Si",0.709,0.538,0.551
"P23","No",0.23,0.38,0.278
"P23","A veces",0.061,0.082,0.171
"P24","Si",0.732,0.545,0.491
"P24","No",0.237,0.382,0.281
"P24","No sabe",0.031,0.073,0.228
"P25","Si",0.696,0.543,0.63
"P25","No",0.246,0.381,0.098
"P25","No sabe",0.058,0.076,0.272
"P26","Si",0.723,0.246,0.357
"P26","No",0.252,0.729,0.308
"P26","No sabe",0.025,0.025,0.335
"P28","Si",0.523,0.328,0.284
"P28","No",0.391,0.503,0.303
"P28","No sabe",0.086,0.169,0.413
"P29","Si",0.828,0.548,0.533
"P29","No",0.147,0.397,0.299
"P29","No sabe",0.025,0.055,0.168
"P30","No tengo información suficiente",0.178,0.372,0.24
"P30","No tengo tiempo en la consulta",0.273,0.302,0.093
"P30","No es un tema importante en la consulta médica",0.239,0.158,0.514
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0.08,0.058,0.087
"P30","No sabe",0.23,0.11,0.066
"P31","Nunca",0.226,0.248,0.19
"P31","Pocas veces",0.433,0.508,0.612
"P31","Muchas veces",0.27,0.213,0.148
"P31","Siempre",0.048,0.015,0
"P31","No sabe",0.023,0.016,0.05
"P32","adultos mayores sanos",0.504,0.417,0.296
"P32","Adultos jóvenes sanos",0.239,0.243,0.19
"P32","Madres de niños pequeños",0.161,0.172,0.258
"P32","No sabe",0.096,0.168,0.256
