"var","categoria","Menos de 5 años ","Entre 6 y 10 años","Entre 11 y 20 años","Mas de 20 años"
"P04","Gran excedente habitual",0.183,0.196,0.139,0.131
"P04","Gran excedente excepcional",0.177,0.19,0.208,0.18
"P04","Pequeño excedente habitual",0.128,0.111,0.121,0.13
"P04","Pequeño excedente excepcional",0.178,0.165,0.172,0.207
"P04","Alcanza gastos familia",0.076,0.08,0.1,0.114
"P04","No alcanza gastos familia",0.094,0.104,0.105,0.108
"P04","Solo NBFamiliares",0.059,0.036,0.044,0.042
"P04","No alcanza NBFamiliares",0.056,0.056,0.051,0.054
"P04","No sabe",0.049,0.062,0.06,0.034
"P07","Medico clínico",0.612,0.423,0.39,0.427
"P07","Pediatra",0.118,0.273,0.121,0.184
"P07","Cardiólogo",0.153,0.131,0.274,0.112
"P07","Neumólogos",0.089,0.118,0.156,0.229
"P07","Otra especialidad",0.028,0.055,0.059,0.048
"P08","En una institución pública",0.486,0.397,0.344,0.298
"P08","En una institución privada",0.287,0.306,0.254,0.242
"P08","Ambas",0.137,0.225,0.304,0.22
"P08","Solo consultorio",0.054,0.039,0.062,0.157
"P08","Institución publica o privada y consultorio",0.036,0.033,0.036,0.083
"P09","Si",0.772,0.764,0.793,0.851
"P09","No",0.228,0.236,0.207,0.149
"P10","1 dosis",0.341,0.1,0.069,0.055
"P10","2 dosis.",0.092,0.137,0.089,0.066
"P10","3 dosis o más",0.567,0.763,0.842,0.879
"P11","Si",0.538,0.507,0.511,0.514
"P11","No",0.462,0.493,0.489,0.486
"P12","Para protegerse de la enfermedad",0.532,0.522,0.5,0.472
"P12","Porque soy personal de riesgo",0.359,0.345,0.363,0.438
"P12","Porque colegas se vacunaron",0.029,0.04,0.037,0.008
"P12","Me lo recomendó la institución donde trabajo",0.039,0.049,0.073,0.065
"P12","No sabe",0.041,0.044,0.027,0.017
"P13","Si",0.411,0.421,0.356,0.317
"P13","No",0.589,0.579,0.644,0.683
"P14","Si",0.647,0.694,0.616,0.506
"P14","No",0.353,0.306,0.384,0.494
"P15","Si, a todos sus pacientes",0.388,0.458,0.467,0.517
"P15","Depende el caso del paciente",0.482,0.376,0.4,0.377
"P15","No la recomiendo",0.13,0.166,0.133,0.106
"P16","Dos dosis",0.377,0.146,0.073,0.136
"P16","Tres dosis",0.14,0.263,0.104,0.063
"P16","Cuatros o mas dosis",0.483,0.591,0.823,0.801
"P17","Porque ya no hay casos de COVID",0.092,0.119,0.038,0.066
"P17","Porque ha disminuido de forma significativa el contagio",0.343,0.264,0.186,0.286
"P17","Por los efectos secundarios",0.294,0.414,0.517,0.428
"P17","No sabe",0.271,0.203,0.259,0.22
"P18","Si",0.455,0.472,0.386,0.334
"P18","No",0.415,0.404,0.493,0.503
"P18","No sabe",0.13,0.124,0.121,0.163
"P19","Si",0.475,0.468,0.484,0.501
"P19","No",0.478,0.455,0.449,0.422
"P19","No sabe",0.047,0.077,0.067,0.077
"P20","Si",0.668,0.556,0.588,0.702
"P20","No",0.293,0.362,0.357,0.233
"P20","No sabe",0.039,0.082,0.055,0.065
"P21","Si",0.507,0.53,0.48,0.449
"P21","No",0.428,0.445,0.447,0.365
"P21","No sabe",0.065,0.025,0.073,0.186
"P22","Sinopharm",0.223,0.128,0.079,0.065
"P22","Sputnik",0.371,0.436,0.355,0.263
"P22","Aztra-Zeneca",0.108,0.053,0.1,0.102
"P22","Moderna",0.057,0.07,0.101,0.114
"P22","Pfizer",0.111,0.161,0.206,0.302
"P22","No sabe",0.13,0.152,0.159,0.154
"P23","Si",0.547,0.625,0.608,0.712
"P23","No",0.353,0.324,0.335,0.205
"P23","A veces",0.1,0.051,0.057,0.083
"P24","Si",0.629,0.552,0.632,0.689
"P24","No",0.324,0.404,0.302,0.237
"P24","No sabe",0.047,0.044,0.066,0.074
"P25","Si",0.643,0.561,0.618,0.676
"P25","No",0.297,0.358,0.331,0.227
"P25","No sabe",0.06,0.081,0.051,0.097
"P26","Si",0.556,0.498,0.529,0.494
"P26","No",0.391,0.446,0.447,0.472
"P26","No sabe",0.053,0.056,0.024,0.034
"P27","Si",0.51,0.589,0.567,0.569
"P27","No",0.446,0.373,0.386,0.384
"P27","No sabe",0.044,0.038,0.047,0.047
"P28","Si",0.513,0.427,0.438,0.394
"P28","No",0.372,0.434,0.466,0.444
"P28","No sabe",0.115,0.139,0.096,0.162
"P29","Si",0.714,0.643,0.655,0.771
"P29","No",0.253,0.312,0.294,0.188
"P29","No sabe",0.033,0.045,0.051,0.041
"P30","No tengo información suficiente",0.228,0.363,0.329,0.28
"P30","No tengo tiempo en la consulta",0.388,0.271,0.249,0.235
"P30","No es un tema importante en la consulta médica",0.164,0.156,0.248,0.228
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0.041,0.082,0.085,0.054
"P30","No sabe",0.179,0.128,0.089,0.203
"P31","Nunca",0.323,0.285,0.24,0.148
"P31","Pocas veces",0.427,0.463,0.453,0.51
"P31","Muchas veces",0.194,0.191,0.273,0.278
"P31","Siempre",0.016,0.047,0.025,0.042
"P31","No sabe",0.04,0.014,0.009,0.022
"P32","adultos mayores sanos",0.402,0.454,0.486,0.484
"P32","Adultos jóvenes sanos",0.316,0.26,0.201,0.206
"P32","Madres de niños pequeños",0.14,0.157,0.156,0.202
"P32","No sabe",0.142,0.129,0.157,0.108
