"var","categoria","En una institución pública","En una institución privada","Ambas","Solo consultorio","Institución publica o privada y consultorio"
"P04","Gran excedente habitual",0.196,0.18,0.134,0.223,0.136
"P04","Gran excedente excepcional",0.18,0.191,0.178,0.115,0.207
"P04","Pequeño excedente habitual",0.124,0.123,0.119,0.171,0.066
"P04","Pequeño excedente excepcional",0.168,0.168,0.17,0.17,0.191
"P04","Alcanza gastos familia",0.085,0.103,0.106,0.083,0.109
"P04","No alcanza gastos familia",0.097,0.091,0.12,0.098,0.152
"P04","Solo NBFamiliares",0.045,0.04,0.069,0.066,0.029
"P04","No alcanza NBFamiliares",0.055,0.058,0.058,0.026,0.018
"P04","No sabe",0.05,0.046,0.046,0.048,0.092
"P06","Menos de 5 años ",0.295,0.242,0.14,0.149,0.166
"P06","Entre 6 y 10 años",0.252,0.269,0.24,0.111,0.161
"P06","Entre 11 y 20 años",0.221,0.227,0.33,0.182,0.177
"P06","Mas de 20 años",0.232,0.262,0.29,0.558,0.496
"P07","Medico clínico",0.606,0.399,0.346,0.377,0.318
"P07","Pediatra",0.149,0.221,0.187,0.12,0.172
"P07","Cardiólogo",0.124,0.152,0.235,0.15,0.196
"P07","Neumólogos",0.084,0.181,0.174,0.336,0.194
"P07","Otra especialidad",0.037,0.047,0.058,0.017,0.12
"P09","Si",0.857,0.698,0.805,0.832,0.825
"P09","No",0.143,0.302,0.195,0.168,0.175
"P10","1 dosis",0.154,0.083,0.134,0.124,0.145
"P10","2 dosis.",0.099,0.097,0.092,0.075,0.073
"P10","3 dosis o más",0.747,0.82,0.774,0.801,0.782
"P11","Si",0.553,0.455,0.553,0.483,0.494
"P11","No",0.447,0.545,0.447,0.517,0.506
"P12","Para protegerse de la enfermedad",0.563,0.45,0.449,0.484,0.529
"P12","Porque soy personal de riesgo",0.352,0.413,0.416,0.399,0.326
"P12","Porque colegas se vacunaron",0.026,0.028,0.027,0.031,0.008
"P12","Me lo recomendó la institución donde trabajo",0.041,0.066,0.078,0.047,0.081
"P12","No sabe",0.018,0.043,0.03,0.039,0.056
"P13","Si",0.384,0.358,0.373,0.294,0.457
"P13","No",0.616,0.642,0.627,0.706,0.543
"P14","Si",0.63,0.591,0.608,0.617,0.629
"P14","No",0.37,0.409,0.392,0.383,0.371
"P15","Si, a todos sus pacientes",0.543,0.419,0.391,0.422,0.489
"P15","Depende el caso del paciente",0.337,0.437,0.489,0.455,0.308
"P15","No la recomiendo",0.12,0.144,0.12,0.123,0.203
"P16","Dos dosis",0.214,0.151,0.105,0.112,0.148
"P16","Tres dosis",0.134,0.175,0.089,0.092,0.084
"P16","Cuatros o mas dosis",0.652,0.674,0.806,0.796,0.768
"P17","Porque ya no hay casos de COVID",0.093,0.088,0.054,0.09,0.019
"P17","Porque ha disminuido de forma significativa el contagio",0.281,0.25,0.327,0.202,0.215
"P17","Por los efectos secundarios",0.376,0.449,0.331,0.527,0.591
"P17","No sabe",0.25,0.213,0.288,0.181,0.175
"P18","Si",0.419,0.424,0.344,0.416,0.393
"P18","No",0.47,0.423,0.508,0.375,0.511
"P18","No sabe",0.111,0.153,0.148,0.209,0.096
"P19","Si",0.528,0.442,0.481,0.463,0.421
"P19","No",0.42,0.514,0.418,0.448,0.443
"P19","No sabe",0.052,0.044,0.101,0.089,0.136
"P20","Si",0.628,0.632,0.618,0.728,0.657
"P20","No",0.323,0.307,0.311,0.201,0.271
"P20","No sabe",0.049,0.061,0.071,0.071,0.072
"P21","Si",0.556,0.467,0.433,0.413,0.42
"P21","No",0.364,0.461,0.448,0.455,0.362
"P21","No sabe",0.08,0.072,0.119,0.132,0.218
"P22","Sinopharm",0.147,0.14,0.067,0.096,0.038
"P22","Sputnik",0.399,0.274,0.358,0.25,0.372
"P22","Aztra-Zeneca",0.101,0.092,0.086,0.115,0.034
"P22","Moderna",0.075,0.08,0.091,0.122,0.162
"P22","Pfizer",0.141,0.252,0.241,0.289,0.203
"P22","No sabe",0.137,0.162,0.157,0.128,0.191
"P23","Si",0.651,0.627,0.593,0.624,0.729
"P23","No",0.304,0.278,0.321,0.267,0.189
"P23","A veces",0.045,0.095,0.086,0.109,0.082
"P24","Si",0.678,0.561,0.636,0.651,0.654
"P24","No",0.3,0.35,0.278,0.262,0.304
"P24","No sabe",0.022,0.089,0.086,0.087,0.042
"P25","Si",0.636,0.609,0.67,0.668,0.496
"P25","No",0.31,0.306,0.243,0.272,0.349
"P25","No sabe",0.054,0.085,0.087,0.06,0.155
"P26","Si",0.598,0.477,0.48,0.439,0.402
"P26","No",0.368,0.502,0.469,0.483,0.53
"P26","No sabe",0.034,0.021,0.051,0.078,0.068
"P27","Si",0.601,0.519,0.572,0.472,0.552
"P27","No",0.385,0.442,0.343,0.428,0.421
"P27","No sabe",0.014,0.039,0.085,0.1,0.027
"P28","Si",0.462,0.49,0.375,0.351,0.402
"P28","No",0.432,0.408,0.442,0.446,0.479
"P28","No sabe",0.106,0.102,0.183,0.203,0.119
"P29","Si",0.749,0.651,0.667,0.701,0.86
"P29","No",0.232,0.316,0.26,0.196,0.123
"P29","No sabe",0.019,0.033,0.073,0.103,0.017
"P30","No tengo información suficiente",0.257,0.387,0.252,0.263,0.519
"P30","No tengo tiempo en la consulta",0.305,0.248,0.348,0.137,0.17
"P30","No es un tema importante en la consulta médica",0.157,0.168,0.211,0.514,0.203
