"var","categoria","Nunca","Pocas veces","Muchas veces","Siempre","No sabe"
"P04","Gran excedente habitual",0.224,0.156,0.097,0.15,0.282
"P04","Gran excedente excepcional",0.144,0.167,0.212,0.19,0.046
"P04","Pequeño excedente habitual",0.151,0.122,0.129,0.145,0.046
"P04","Pequeño excedente excepcional",0.156,0.211,0.164,0.109,0.121
"P04","Alcanza gastos familia",0.066,0.117,0.132,0.103,0.023
"P04","No alcanza gastos familia",0.117,0.084,0.106,0.106,0.21
"P04","Solo NBFamiliares",0.042,0.063,0.049,0,0
"P04","No alcanza NBFamiliares",0.058,0.043,0.056,0.104,0.044
"P04","No sabe",0.042,0.037,0.055,0.093,0.228
"P06","Menos de 5 años ",0.299,0.196,0.172,0.103,0.404
"P06","Entre 6 y 10 años",0.227,0.183,0.146,0.262,0.122
"P06","Entre 11 y 20 años",0.243,0.228,0.266,0.18,0.104
"P06","Mas de 20 años",0.231,0.393,0.416,0.455,0.37
"P07","Medico clínico",0.442,0.459,0.476,0.454,0.422
"P07","Pediatra",0.136,0.161,0.134,0.217,0.149
"P07","Cardiólogo",0.126,0.191,0.199,0.164,0.077
"P07","Neumólogos",0.232,0.156,0.153,0.115,0.352
"P07","Otra especialidad",0.064,0.033,0.038,0.05,0
"P08","En una institución pública",0.43,0.331,0.392,0.379,0.474
"P08","En una institución privada",0.238,0.264,0.237,0.191,0.222
"P08","Ambas",0.152,0.265,0.249,0.22,0.258
"P08","Solo consultorio",0.098,0.1,0.079,0.121,0.046
"P08","Institución publica o privada y consultorio",0.082,0.04,0.043,0.089,0
"P09","Si",0.734,0.849,0.873,0.588,0.851
"P09","No",0.266,0.151,0.127,0.412,0.149
"P10","1 dosis",0.267,0.086,0.076,0.075,0.448
"P10","2 dosis.",0.039,0.066,0.051,0.112,0.186
"P10","3 dosis o más",0.694,0.848,0.873,0.813,0.366
"P11","Si",0.465,0.517,0.608,0.353,0.523
"P11","No",0.535,0.483,0.392,0.647,0.477
"P12","Para protegerse de la enfermedad",0.513,0.498,0.476,0.681,0.258
"P12","Porque soy personal de riesgo",0.37,0.41,0.426,0.233,0.689
"P12","Porque colegas se vacunaron",0.02,0.024,0.017,0.02,0
"P12","Me lo recomendó la institución donde trabajo",0.059,0.048,0.061,0.035,0.053
"P12","No sabe",0.038,0.02,0.02,0.031,0
