"var","categoria","Si","No","A veces"
"P04","Gran excedente habitual",0.166,0.204,0.097
"P04","Gran excedente excepcional",0.16,0.179,0.189
"P04","Pequeño excedente habitual",0.118,0.133,0.219
"P04","Pequeño excedente excepcional",0.195,0.147,0.188
"P04","Alcanza gastos familia",0.117,0.083,0.048
"P04","No alcanza gastos familia",0.09,0.101,0.089
"P04","Solo NBFamiliares",0.056,0.051,0.053
"P04","No alcanza NBFamiliares",0.049,0.064,0.053
"P04","No sabe",0.049,0.038,0.064
"P06","Menos de 5 años ",0.192,0.269,0.3
"P06","Entre 6 y 10 años",0.19,0.213,0.132
"P06","Entre 11 y 20 años",0.23,0.276,0.185
"P06","Mas de 20 años",0.388,0.242,0.383
"P07","Medico clínico",0.485,0.42,0.387
"P07","Pediatra",0.166,0.158,0.159
"P07","Cardiólogo",0.149,0.216,0.235
"P07","Neumólogos",0.159,0.162,0.202
"P07","Otra especialidad",0.041,0.044,0.017
"P08","En una institución pública",0.39,0.396,0.23
"P08","En una institución privada",0.248,0.238,0.318
"P08","Ambas",0.213,0.25,0.263
"P08","Solo consultorio",0.087,0.081,0.13
"P08","Institución publica o privada y consultorio",0.062,0.035,0.059
"P09","Si",0.907,0.612,0.776
"P09","No",0.093,0.388,0.224
"P10","1 dosis",0.093,0.256,0.122
"P10","2 dosis.",0.067,0.129,0.063
"P10","3 dosis o más",0.84,0.615,0.815
"P11","Si",0.604,0.351,0.484
"P11","No",0.396,0.649,0.516
"P12","Para protegerse de la enfermedad",0.561,0.343,0.377
"P12","Porque soy personal de riesgo",0.373,0.462,0.484
"P12","Porque colegas se vacunaron",0.017,0.041,0.017
"P12","Me lo recomendó la institución donde trabajo",0.034,0.104,0.092
"P12","No sabe",0.015,0.05,0.03
"P13","Si",0.324,0.382,0.397
"P13","No",0.676,0.618,0.603
"P14","Si",0.585,0.713,0.321
"P14","No",0.415,0.287,0.679
"P15","Si, a todos sus pacientes",0.649,0.205,0.245
"P15","Depende el caso del paciente",0.321,0.475,0.679
"P15","No la recomiendo",0.03,0.32,0.076
"P16","Dos dosis",0.148,0.295,0.1
"P16","Tres dosis",0.11,0.112,0.198
"P16","Cuatros o mas dosis",0.742,0.593,0.702
"P17","Porque ya no hay casos de COVID",0.069,0.09,0.023
"P17","Porque ha disminuido de forma significativa el contagio",0.328,0.227,0.324
"P17","Por los efectos secundarios",0.294,0.501,0.368
"P17","No sabe",0.309,0.182,0.285
"P18","Si",0.403,0.323,0.419
"P18","No",0.523,0.453,0.316
"P18","No sabe",0.074,0.224,0.265
"P19","Si",0.626,0.222,0.432
"P19","No",0.314,0.722,0.453
"P19","No sabe",0.06,0.056,0.115
"P20","Si",0.755,0.422,0.616
"P20","No",0.21,0.504,0.231
"P20","No sabe",0.035,0.074,0.153
"P21","Si",0.615,0.235,0.365
"P21","No",0.288,0.697,0.423
"P21","No sabe",0.097,0.068,0.212
"P22","Sinopharm",0.141,0.068,0.043
"P22","Sputnik",0.336,0.399,0.205
"P22","Aztra-Zeneca",0.096,0.059,0.221
"P22","Moderna",0.082,0.085,0.099
"P22","Pfizer",0.252,0.114,0.257
"P22","No sabe",0.093,0.275,0.175
"P24","Si",0.821,0.314,0.31
"P24","No",0.148,0.654,0.265
"P24","No sabe",0.031,0.032,0.425
"P25","Si",0.785,0.324,0.551
"P25","No",0.143,0.615,0.297
"P25","No sabe",0.072,0.061,0.152
"P26","Si",0.588,0.381,0.436
"P26","No",0.372,0.583,0.503
"P26","No sabe",0.04,0.036,0.061
"P27","Si",0.625,0.442,0.458
"P27","No",0.336,0.515,0.438
"P27","No sabe",0.039,0.043,0.104
"P28","Si",0.479,0.357,0.382
"P28","No",0.429,0.463,0.333
"P28","No sabe",0.092,0.18,0.285
"P29","Si",0.806,0.508,0.63
"P29","No",0.156,0.461,0.243
"P29","No sabe",0.038,0.031,0.127
"P30","No tengo información suficiente",0.38,0.223,0.479
"P30","No tengo tiempo en la consulta",0.268,0.303,0.198
"P30","No es un tema importante en la consulta médica",0.163,0.246,0.087
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0.018,0.105,0.026
"P30","No sabe",0.171,0.123,0.21
"P31","Nunca",0.207,0.321,0.111
"P31","Pocas veces",0.457,0.461,0.605
"P31","Muchas veces",0.287,0.161,0.192
"P31","Siempre",0.032,0.039,0.025
"P31","No sabe",0.017,0.018,0.067
"P32","adultos mayores sanos",0.519,0.348,0.41
"P32","Adultos jóvenes sanos",0.23,0.258,0.235
"P32","Madres de niños pequeños",0.168,0.151,0.253
"P32","No sabe",0.083,0.243,0.102
