"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","En blanco","No sabe"
"P10","Siempre",0.231,0.201,0.234,0.168
"P10","Casi siempre",0.303,0.299,0.239,0.298
"P10","Casi nunca",0.291,0.312,0.349,0.332
"P10","Nunca, pero esta es una excepción",0.175,0.188,0.178,0.202
"P11","Unión por la Patria",0.755,0.097,0.055,0.074
"P11","Juntos por el Cambio",0.13,0.812,0.1,0.086
"P11","En blanco",0.061,0.045,0.787,0.138
"P11","No sabe",0.054,0.046,0.058,0.702
"P15","Totalmente seguro",0.809,0.764,0.448,0.195
"P15","Bastante seguro",0.13,0.137,0.124,0.041
"P15","Algo seguro",0.035,0.054,0.223,0.135
"P15","Para nada seguro",0.026,0.045,0.205,0.629
"P16","Tiene Decidido que va a ir a votar",0.947,0.935,0.607,0.624
"P16","Tiene dudas sobre si va a ir a  votar",0.037,0.046,0.206,0.228
"P16","Tiene Decidido que no va a ir a votar",0.016,0.019,0.187,0.148
"P17","Lo votaría",0.908,0.163,0.117,0.176
"P17","Puede que lo vote",0.03,0.048,0.114,0.22
"P17","Nunca lo votaría",0.056,0.776,0.633,0.354
"P17","No sabe",0.006,0.013,0.136,0.25
"P18","Lo votaría",0.115,0.776,0.093,0.098
"P18","Puede que lo vote",0.054,0.094,0.187,0.295
"P18","Nunca lo votaría",0.812,0.123,0.578,0.308
"P18","No sabe",0.019,0.007,0.142,0.299
"P19","Muy buena",0.479,0.231,0.238,0.37
"P19","Buena",0.128,0.126,0.081,0.095
"P19","Ni buena ni mala",0.295,0.37,0.453,0.243
"P19","Mala",0.028,0.23,0.047,0.172
"P19","Muy mala",0.046,0.03,0.043,0.037
"P19","No sabe",0.024,0.013,0.138,0.083
"P20","Totalmente de acuerdo",0.175,0.373,0.148,0.067
"P20","Algo de acuerdo",0.022,0.152,0.081,0.014
"P20","ni de acuerdo ni en desacuerdo",0.185,0.322,0.169,0.459
"P20","En desacuerdo",0.319,0.118,0.385,0.087
"P20","Totalmente en desacuerdo",0.299,0.035,0.217,0.373
"P21","Cristiano no practicante",0.274,0.25,0.122,0.099
"P21","Católico apostólico romano",0.349,0.432,0.595,0.763
"P21","Cristiano evangelista o pentecostal",0.135,0.099,0.011,0.038
"P21","Otras confesiones cristianas",0.037,0.088,0.085,0.069
"P21","Musulmán",0.043,0.009,0.157,0.005
"P21","Judío",0.028,0.006,0,0
"P21","Otras",0.031,0.018,0,0
"P21","No soy religioso",0.064,0.068,0.023,0.021
"P21","Ateo",0.039,0.03,0.007,0.005
