"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.014,0,0.033,0,0.032,0,0,0,0,0.026,0.013,0,0,0.028,0,0,0,0,6
"Buena",0.1,0.059,0.155,0,0.16,0.07,0.067,0.046,0.176,0.082,0.161,0.029,0,0.038,0.161,0,0,0,6
"Ni buena ni mala",0.328,0.393,0.24,0.232,0.276,0.524,0.291,0.526,0.335,0.249,0.302,0.469,0.693,0.373,0.31,0,0,0,6
"Mala",0.375,0.429,0.302,0.439,0.266,0.355,0.575,0.428,0.193,0.449,0.276,0.44,0.179,0.47,0.289,0,0,0,6
"Muy mala",0.143,0.055,0.261,0.329,0.183,0.051,0.05,0,0.155,0.191,0.181,0.062,0.128,0.087,0.235,0,0,0,6
"No sabe",0.04,0.064,0.009,0,0.083,0,0.017,0,0.141,0.003,0.067,0,0,0.004,0.005,0,0,0,6
"Positiva",0.114,0.059,0.188,0,0.192,0.07,0.067,0.046,0.176,0.108,0.174,0.029,0,0.066,0.161,0,0,0,4
"Neutra",0.328,0.393,0.24,0.232,0.276,0.524,0.291,0.526,0.335,0.249,0.302,0.469,0.693,0.373,0.31,0,0,0,4
"Negativa",0.518,0.484,0.563,0.768,0.449,0.406,0.625,0.428,0.348,0.64,0.457,0.502,0.307,0.557,0.524,0,0,0,4
"No sabe",0.04,0.064,0.009,0,0.083,0,0.017,0,0.141,0.003,0.067,0,0,0.004,0.005,0,0,0,4
