"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.108,0.034,0.214,0.454,0.061,0.063,0.04,0,0.208,0.063,0.186,0.023,0.037,0.108,0.127,0,0,0
"2",0.149,0.164,0.128,0,0.145,0.24,0.132,0.3,0.204,0.045,0.175,0.183,0,0.185,0.16,0,0,0
"3",0.098,0.133,0.047,0.078,0.065,0.049,0.25,0.197,0.031,0.118,0.101,0.141,0.021,0.052,0.081,0,0,0
"4",0.047,0.057,0.034,0,0.043,0.035,0.106,0,0.095,0.024,0.009,0.039,0,0.087,0.029,0,0,0
"5",0.135,0.114,0.166,0,0.151,0.165,0.148,0.054,0.172,0.134,0.165,0.107,0.018,0.137,0.16,0,0,0
"6",0.061,0.078,0.038,0.078,0.031,0.08,0.09,0.055,0.018,0.101,0.07,0.069,0.021,0.063,0.063,0,0,0
"7",0.053,0.043,0.066,0,0.07,0.031,0.081,0.054,0.009,0.089,0.028,0.089,0,0.038,0.076,0,0,0
"8",0.032,0.042,0.018,0,0.027,0.032,0.065,0,0.029,0.047,0.005,0.024,0.02,0.017,0.034,0,0,0
"9-Pésimo",0.292,0.308,0.268,0.39,0.373,0.288,0.058,0.34,0.222,0.334,0.249,0.267,0.864,0.288,0.242,0,0,0
"No sabe",0.025,0.027,0.021,0,0.034,0.017,0.03,0,0.012,0.045,0.012,0.058,0.019,0.025,0.028,0,0,0
