"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.083,0.04,0.141,0,0.136,0.074,0.027,0,0.152,0.076,0.093,0.136,0,0.004,0.203,0,0,0,6
"Buena",0.138,0.19,0.067,0.322,0.009,0.308,0.129,0.214,0.069,0.147,0.093,0.386,0.034,0.088,0.215,0,0,0,6
"Ni buena ni mala",0.073,0.097,0.041,0.119,0.056,0.101,0.055,0,0.008,0.132,0.039,0.106,0,0,0.102,0,0,0,6
"Mala",0.29,0.408,0.13,0.237,0.2,0.307,0.49,0.572,0.221,0.227,0.319,0.218,0.333,0.303,0.193,0,0,0,6
"Muy mala",0.414,0.265,0.616,0.322,0.599,0.201,0.299,0.214,0.55,0.414,0.456,0.144,0.633,0.605,0.282,0,0,0,6
"No sabe",0.002,0,0.005,0,0,0.009,0,0,0,0.004,0,0.01,0,0,0.005,0,0,0,6
"Positiva",0.221,0.23,0.208,0.322,0.145,0.382,0.156,0.214,0.221,0.223,0.186,0.522,0.034,0.092,0.418,0,0,0,4
"Neutra",0.073,0.097,0.041,0.119,0.056,0.101,0.055,0,0.008,0.132,0.039,0.106,0,0,0.102,0,0,0,4
"Negativa",0.704,0.673,0.746,0.559,0.799,0.508,0.789,0.786,0.771,0.641,0.775,0.362,0.966,0.908,0.475,0,0,0,4
"No sabe",0.002,0,0.005,0,0,0.009,0,0,0,0.004,0,0.01,0,0,0.005,0,0,0,4
