"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.26,0.31,0.194,0.238,0.201,0.399,0.258,0.348,0.211,0.256,0.171,0.645,0,0,0.595,0,0,0,6
"Buena",0.129,0.18,0.061,0.119,0.138,0.084,0.164,0.059,0.173,0.131,0.123,0.235,0.067,0.022,0.154,0,0,0,6
"Ni buena ni mala",0.104,0.111,0.094,0.321,0.065,0.087,0.075,0,0.032,0.177,0.156,0.054,0.034,0.129,0.045,0,0,0,6
"Mala",0.085,0.083,0.087,0,0.073,0.051,0.192,0.164,0.041,0.08,0.067,0.021,0.106,0.143,0.03,0,0,0,6
"Muy mala",0.422,0.316,0.564,0.322,0.523,0.379,0.311,0.429,0.543,0.356,0.483,0.045,0.793,0.706,0.176,0,0,0,6
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Positiva",0.389,0.49,0.255,0.357,0.339,0.483,0.422,0.407,0.384,0.387,0.294,0.88,0.067,0.022,0.749,0,0,0,4
"Neutra",0.104,0.111,0.094,0.321,0.065,0.087,0.075,0,0.032,0.177,0.156,0.054,0.034,0.129,0.045,0,0,0,4
"Negativa",0.507,0.399,0.651,0.322,0.596,0.43,0.503,0.593,0.584,0.436,0.55,0.066,0.899,0.849,0.206,0,0,0,4
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
