"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.04,0.044,0.035,0,0.055,0.037,0.037,0,0.029,0.06,0.061,0.02,0,0.06,0.024,0,0,0,6
"Buena",0.214,0.239,0.181,0,0.299,0.301,0.072,0.214,0.423,0.106,0.27,0.291,0,0.146,0.266,0,0,0,6
"Ni buena ni mala",0.414,0.433,0.39,0.559,0.331,0.258,0.665,0.512,0.329,0.425,0.32,0.355,0.893,0.582,0.267,0,0,0,6
"Mala",0.091,0.098,0.08,0.119,0.081,0.119,0.065,0,0.038,0.149,0.036,0.129,0.107,0.072,0.093,0,0,0,6
"Muy mala",0.199,0.145,0.272,0.322,0.228,0.238,0.027,0.214,0.158,0.215,0.277,0.12,0,0.131,0.306,0,0,0,6
"No sabe",0.042,0.041,0.042,0,0.006,0.047,0.134,0.06,0.023,0.045,0.036,0.085,0,0.009,0.044,0,0,0,6
"Positiva",0.254,0.283,0.216,0,0.354,0.338,0.109,0.214,0.452,0.166,0.331,0.311,0,0.206,0.29,0,0,0,4
"Neutra",0.414,0.433,0.39,0.559,0.331,0.258,0.665,0.512,0.329,0.425,0.32,0.355,0.893,0.582,0.267,0,0,0,4
"Negativa",0.29,0.243,0.352,0.441,0.309,0.357,0.092,0.214,0.196,0.364,0.313,0.249,0.107,0.203,0.399,0,0,0,4
"No sabe",0.042,0.041,0.042,0,0.006,0.047,0.134,0.06,0.023,0.045,0.036,0.085,0,0.009,0.044,0,0,0,4
