"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.138,0.088,0.21,0.452,0.033,0.136,0.157,0.103,0.261,0.047,0.207,0.043,0.037,0.099,0.183,0,0,0
"2",0.07,0.026,0.135,0,0.13,0.024,0.056,0,0.092,0.078,0.108,0.029,0.021,0.133,0.04,0,0,0
"3",0.089,0.096,0.078,0.079,0.12,0.077,0.048,0,0.088,0.123,0.05,0.152,0.02,0.101,0.087,0,0,0
"4",0.096,0.132,0.044,0,0.034,0.084,0.306,0.251,0.06,0.068,0.129,0.045,0,0.083,0.061,0,0,0
"5",0.19,0.216,0.153,0.079,0.178,0.28,0.162,0.197,0.256,0.131,0.17,0.293,0.021,0.177,0.243,0,0,0
"6",0.044,0.049,0.036,0,0.031,0.062,0.074,0.054,0.006,0.072,0.035,0.033,0.037,0.051,0.039,0,0,0
"7",0.025,0.023,0.029,0,0.031,0.024,0.033,0,0.009,0.049,0.031,0.03,0,0.022,0.036,0,0,0
"8",0.026,0.027,0.024,0,0.029,0.035,0.021,0,0,0.057,0.016,0.059,0.018,0.024,0.023,0,0,0
"9-Pésimo",0.306,0.326,0.277,0.39,0.396,0.262,0.121,0.395,0.216,0.349,0.243,0.284,0.827,0.292,0.273,0,0,0
"No sabe",0.016,0.017,0.014,0,0.018,0.016,0.022,0,0.012,0.026,0.011,0.032,0.019,0.018,0.015,0,0,0
