"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales Libertarios","Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.819,0.126,0.142,0.135,0.244
"P07","Al candidato de Juntos por el Cambio",0.046,0.746,0.159,0.109,0.177
"P07","Al candidato de los liberales - libertarios",0.07,0.048,0.647,0.299,0.03
"P07","Al candidato de la Izquierda",0.016,0.014,0.011,0.429,0.041
"P07","A otro candidato",0.019,0.024,0.002,0.014,0.147
"P07","No sabe",0.03,0.042,0.039,0.014,0.361
"P08","A Julio Zamora por el Frente de Todos",0.505,0.144,0.147,0.149,0.332
"P08","A Malena Galmarini por el Frente de Todos",0.296,0.063,0.061,0.246,0.072
"P08","A Segundo Cernadas por Cambiemos",0.051,0.502,0.155,0.065,0.105
"P08","A Nicolás Massot por Cambiemos",0.059,0.22,0.031,0.107,0.057
"P08","Al candidato de los liberales libertarios",0.04,0.017,0.59,0.028,0.139
"P08","A Paula Akerfeld por el Frente de Izquierda",0.018,0.007,0.011,0.405,0.039
"P08","No sabe",0.031,0.047,0.005,0,0.256
"P10","A Julio Zamora por el Frente de Todos",0.631,0.18,0.174,0.361,0.27
"P10","A Segundo Cernadas por Cambiemos",0.091,0.71,0.201,0.125,0.104
"P10","Al candidato de los liberales libertarios",0.08,0.033,0.526,0.051,0.096
"P10","A Paula Akerfeld por el Frente de Izquierda",0.067,0.025,0.01,0.253,0.008
"P10","No sabe",0.131,0.052,0.089,0.21,0.522
"P12","A Malena Galmarini por el Frente de Todos",0.634,0.115,0.032,0,0.202
"P12","A Segundo Cernadas por Cambiemos",0.135,0.743,0.187,0.125,0.193
"P12","Al candidato de los liberales libertarios",0.054,0.065,0.738,0.042,0.07
"P12","A Paula Akerfeld por el Frente de Izquierda",0.059,0.013,0.007,0.43,0.003
"P12","No sabe",0.118,0.064,0.036,0.403,0.532
"P14","Muy buena",0.205,0.024,0.008,0.205,0.035
"P14","Buena",0.311,0.072,0.015,0,0.047
"P14","Ni buena ni mala",0.236,0.085,0.19,0.26,0.242
"P14","Mala",0.091,0.28,0.187,0.361,0.097
"P14","Muy mala",0.103,0.497,0.529,0.174,0.272
"P14","No sabe",0.054,0.042,0.071,0,0.307
"P15","Muy buena",0.379,0.082,0.095,0.123,0.091
"P15","Buena",0.254,0.182,0.142,0.062,0.212
"P15","Ni buena ni mala",0.236,0.253,0.209,0.276,0.249
"P15","Mala",0.073,0.241,0.235,0.038,0.106
"P15","Muy mala",0.055,0.235,0.282,0.325,0.185
"P15","No sabe",0.003,0.007,0.037,0.176,0.157
"P16","Muy buena",0.043,0.31,0.133,0.055,0.074
