"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P07","Al candidato del Frente de Todos",0.322,0.694,0.036,0.514
"P07","Al candidato de Juntos por el Cambio",0.534,0.108,0.341,0.154
"P07","Al candidato de los liberales - libertarios",0.132,0.097,0.414,0.041
"P07","Al candidato de la Izquierda",0,0,0,0.105
"P07","A otro candidato",0,0.009,0.075,0.025
"P07","No sabe",0.012,0.092,0.134,0.161
"P08","A Julio Zamora por el Frente de Todos",0.364,0.579,0.09,0.378
"P08","A Malena Galmarini por el Frente de Todos",0,0.059,0.026,0.334
"P08","A Segundo Cernadas por Cambiemos",0.382,0.038,0.272,0.03
"P08","A Nicolás Massot por Cambiemos",0.134,0.223,0.105,0
"P08","Al candidato de los liberales libertarios",0.108,0.071,0.444,0.12
"P08","A Paula Akerfeld por el Frente de Izquierda",0,0,0.013,0.109
"P08","No sabe",0.012,0.03,0.05,0.029
"P10","A Julio Zamora por el Frente de Todos",0.405,0.391,0.101,0.266
"P10","A Segundo Cernadas por Cambiemos",0.463,0.112,0.36,0.123
"P10","Al candidato de los liberales libertarios",0.132,0.447,0.35,0.063
"P10","A Paula Akerfeld por el Frente de Izquierda",0,0,0.003,0.134
"P10","No sabe",0,0.05,0.186,0.414
"P12","A Malena Galmarini por el Frente de Todos",0.163,0.677,0.039,0.391
"P12","A Segundo Cernadas por Cambiemos",0.571,0.106,0.406,0.11
"P12","Al candidato de los liberales libertarios",0.266,0.128,0.398,0.08
"P12","A Paula Akerfeld por el Frente de Izquierda",0,0,0.02,0.125
"P12","No sabe",0,0.089,0.137,0.294
"P14","Muy buena",0.016,0.219,0.018,0.034
"P14","Buena",0.098,0.018,0.07,0.302
"P14","Ni buena ni mala",0.033,0.099,0.195,0.296
"P14","Mala",0.295,0.138,0.241,0.024
"P14","Muy mala",0.558,0.251,0.416,0.188
"P14","No sabe",0,0.275,0.06,0.156
"P15","Muy buena",0.175,0.381,0.058,0.22
"P15","Buena",0.14,0.342,0.167,0.113
"P15","Ni buena ni mala",0.079,0.102,0.183,0.529
"P15","Mala",0.291,0.019,0.253,0.097
"P15","Muy mala",0.315,0.064,0.337,0.041
"P15","No sabe",0,0.092,0.002,0
"P16","Muy buena",0.527,0.058,0.17,0.029
"P16","Buena",0.036,0.117,0.131,0.079
"P16","Ni buena ni mala",0.116,0.216,0.374,0.078
"P16","Mala",0.016,0.229,0.223,0.273
"P16","Muy mala",0.207,0.033,0.023,0.276
"P16","No sabe",0.098,0.347,0.079,0.265
"P17","Muy buena",0,0.219,0.021,0.017
"P17","Buena",0,0.196,0,0.023
"P17","Ni buena ni mala",0.174,0.186,0.25,0.155
"P17","Mala",0.199,0.01,0.255,0.067
"P17","Muy mala",0.234,0.02,0.076,0.122
"P17","No sabe",0.393,0.369,0.398,0.616
"P18","Muy buena",0.07,0.02,0.07,0.164
