"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P07","Al candidato del Frente de Todos",0.252,0.294,0.374,0.356,0.691
"P07","Al candidato de Juntos por el Cambio",0.289,0.327,0.344,0.278,0.143
"P07","Al candidato de los liberales - libertarios",0.317,0.224,0.135,0.188,0.11
"P07","Al candidato de la Izquierda",0.038,0.036,0.025,0.04,0.009
"P07","A otro candidato",0.041,0.046,0.019,0.036,0
"P07","No sabe",0.063,0.073,0.103,0.102,0.047
"P08","A Julio Zamora por el Frente de Todos",0.183,0.274,0.288,0.235,0.497
"P08","A Malena Galmarini por el Frente de Todos",0.155,0.135,0.08,0.171,0.211
"P08","A Segundo Cernadas por Cambiemos",0.217,0.239,0.257,0.194,0.076
"P08","A Nicolás Massot por Cambiemos",0.089,0.102,0.121,0.124,0.041
"P08","Al candidato de los liberales libertarios",0.275,0.177,0.141,0.17,0.111
"P08","A Paula Akerfeld por el Frente de Izquierda",0.05,0.033,0.01,0.027,0.007
"P08","No sabe",0.031,0.04,0.103,0.079,0.057
"P10","A Julio Zamora por el Frente de Todos",0.265,0.311,0.316,0.37,0.45
"P10","A Segundo Cernadas por Cambiemos",0.315,0.344,0.307,0.293,0.112
"P10","Al candidato de los liberales libertarios",0.261,0.152,0.186,0.166,0.106
"P10","A Paula Akerfeld por el Frente de Izquierda",0.053,0.036,0.012,0.05,0.079
"P10","No sabe",0.106,0.157,0.179,0.121,0.253
"P12","A Malena Galmarini por el Frente de Todos",0.236,0.219,0.186,0.296,0.416
"P12","A Segundo Cernadas por Cambiemos",0.346,0.355,0.341,0.346,0.147
"P12","Al candidato de los liberales libertarios",0.279,0.242,0.27,0.179,0.123
"P12","A Paula Akerfeld por el Frente de Izquierda",0.06,0.026,0.015,0.042,0.103
"P12","No sabe",0.079,0.158,0.188,0.137,0.211
"P14","Muy buena",0.08,0.093,0.057,0.085,0.06
"P14","Buena",0.133,0.1,0.06,0.145,0.197
"P14","Ni buena ni mala",0.147,0.155,0.147,0.232,0.394
"P14","Mala",0.253,0.195,0.198,0.104,0.028
"P14","Muy mala",0.319,0.391,0.385,0.395,0.165
"P14","No sabe",0.068,0.066,0.153,0.039,0.156
"P15","Muy buena",0.117,0.189,0.229,0.138,0.219
"P15","Buena",0.138,0.175,0.207,0.25,0.26
"P15","Ni buena ni mala",0.248,0.252,0.179,0.217,0.309
