"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P07","Al candidato del Frente de Todos",0.077,0.281,0.372
"P07","Al candidato de Juntos por el Cambio",0.329,0.344,0.407
"P07","Al candidato de los liberales - libertarios",0.486,0.307,0.067
"P07","Al candidato de la Izquierda",0.014,0,0.069
"P07","A otro candidato",0.006,0.005,0.028
"P07","No sabe",0.088,0.063,0.057
"P08","A Julio Zamora por el Frente de Todos",0.155,0.215,0.311
"P08","A Malena Galmarini por el Frente de Todos",0.036,0.162,0.131
"P08","A Segundo Cernadas por Cambiemos",0.245,0.244,0.241
"P08","A Nicolás Massot por Cambiemos",0.127,0.127,0.147
"P08","Al candidato de los liberales libertarios",0.379,0.201,0.078
"P08","A Paula Akerfeld por el Frente de Izquierda",0.039,0.008,0.043
"P08","No sabe",0.019,0.043,0.049
"P10","A Julio Zamora por el Frente de Todos",0.151,0.265,0.334
"P10","A Segundo Cernadas por Cambiemos",0.339,0.281,0.382
"P10","Al candidato de los liberales libertarios",0.426,0.216,0.089
"P10","A Paula Akerfeld por el Frente de Izquierda",0.014,0,0.091
"P10","No sabe",0.07,0.238,0.104
"P12","A Malena Galmarini por el Frente de Todos",0.036,0.231,0.244
"P12","A Segundo Cernadas por Cambiemos",0.327,0.358,0.464
"P12","Al candidato de los liberales libertarios",0.581,0.217,0.071
"P12","A Paula Akerfeld por el Frente de Izquierda",0.012,0.005,0.075
"P12","No sabe",0.044,0.189,0.146
"P14","Muy buena",0.013,0.144,0.076
"P14","Buena",0.039,0.138,0.078
"P14","Ni buena ni mala",0.171,0.169,0.168
"P14","Mala",0.188,0.171,0.255
"P14","Muy mala",0.5,0.37,0.316
"P14","No sabe",0.089,0.008,0.107
"P15","Muy buena",0.119,0.117,0.202
"P15","Buena",0.081,0.119,0.233
"P15","Ni buena ni mala",0.234,0.268,0.29
"P15","Mala",0.25,0.214,0.12
"P15","Muy mala",0.238,0.234,0.135
"P15","No sabe",0.078,0.048,0.02
"P16","Muy buena",0.199,0.145,0.169
"P16","Buena",0.178,0.271,0.264
"P16","Ni buena ni mala",0.236,0.235,0.177
"P16","Mala",0.103,0.176,0.15
"P16","Muy mala",0.152,0.133,0.134
"P16","No sabe",0.132,0.04,0.106
"P17","Muy buena",0.036,0.014,0.043
"P17","Buena",0.049,0.027,0.044
