"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P06","Muy buena",0.136,0.134,0.063,0.098,0.153
"P06","Buena",0.106,0.164,0.162,0.112,0.153
"P06","Ni buena ni mala",0.266,0.151,0.199,0.112,0.339
"P06","Mala",0.209,0.241,0.176,0.19,0.092
"P06","Muy mala",0.261,0.294,0.365,0.439,0.263
"P06","No sabe",0.022,0.016,0.035,0.049,0
"P07","Muy buena",0.145,0.053,0.066,0.053,0.073
"P07","Buena",0.11,0.097,0.153,0.084,0.068
"P07","Ni buena ni mala",0.382,0.326,0.374,0.368,0.398
"P07","Mala",0.107,0.153,0.084,0.181,0.08
"P07","Muy mala",0.108,0.241,0.156,0.244,0.305
"P07","No sabe",0.148,0.13,0.167,0.07,0.076
"P08","Muy buena",0.121,0.025,0.036,0.045,0.093
"P08","Buena",0.124,0.215,0.075,0.124,0.135
"P08","Ni buena ni mala",0.267,0.32,0.318,0.242,0.355
"P08","Mala",0.155,0.166,0.182,0.207,0.147
"P08","Muy mala",0.274,0.187,0.289,0.323,0.242
"P08","No sabe",0.059,0.087,0.1,0.059,0.028
"P09","Muy buena",0.072,0.055,0.056,0.043,0.038
"P09","Buena",0.102,0.075,0.114,0.065,0
"P09","Ni buena ni mala",0.388,0.333,0.388,0.425,0.368
"P09","Mala",0.113,0.249,0.105,0.173,0.13
"P09","Muy mala",0.155,0.143,0.165,0.185,0.295
"P09","No sabe",0.17,0.145,0.172,0.109,0.169
"P10","Muy buena",0.101,0.122,0.075,0.059,0.038
"P10","Buena",0.131,0.118,0.062,0.105,0.065
"P10","Ni buena ni mala",0.187,0.227,0.355,0.178,0.184
"P10","Mala",0.228,0.179,0.198,0.266,0.24
"P10","Muy mala",0.303,0.275,0.25,0.267,0.445
"P10","No sabe",0.05,0.079,0.06,0.125,0.028
"P11","Muy buena",0.109,0.067,0.058,0.063,0.048
"P11","Buena",0.096,0.054,0.072,0.051,0.065
"P11","Ni buena ni mala",0.316,0.418,0.475,0.267,0.15
"P11","Mala",0.093,0.039,0.062,0.178,0.319
"P11","Muy mala",0.111,0.172,0.088,0.19,0.269
"P11","No sabe",0.275,0.25,0.245,0.251,0.149
"P12","Muy buena",0.064,0.004,0.017,0.011,0.016
"P12","Buena",0.064,0.119,0.022,0.043,0.027
"P12","Ni buena ni mala",0.377,0.309,0.485,0.348,0.414
"P12","Mala",0.081,0.092,0.053,0.199,0.099
"P12","Muy mala",0.099,0.2,0.102,0.061,0.174
"P12","No sabe",0.315,0.276,0.321,0.338,0.27
"P13","Muy buena",0.047,0.032,0.012,0,0.016
"P13","Buena",0.037,0.008,0.003,0.026,0
"P13","Ni buena ni mala",0.368,0.349,0.488,0.346,0.398
"P13","Mala",0.047,0.107,0.064,0.125,0.099
"P13","Muy mala",0.076,0.199,0.096,0.063,0.174
"P13","No sabe",0.425,0.305,0.337,0.44,0.313
"P14","La seguridad",0.049,0.007,0.043,0.18,0.162
"P14","El tránsito",0.029,0.019,0.03,0.032,0
"P14","El arreglo de las calles",0.217,0.063,0.183,0.07,0.26
"P14","El estado de las escuelas y la educación",0.028,0.087,0.045,0.126,0.05
"P14","El sistema de salud",0.09,0.064,0.03,0.031,0.09
"P14","El deporte y la cultura",0.169,0.193,0.174,0.147,0.145
"P14","La obra pública",0.038,0.031,0.023,0.051,0
"P14","La luminaria",0.059,0.04,0.066,0.026,0.011
"P14","No sabe",0.321,0.496,0.406,0.337,0.282
"P15","La seguridad",0.569,0.376,0.419,0.409,0.146
"P15","El tránsito",0.032,0.027,0.025,0.047,0
"P15","El arreglo de las calles",0.146,0.162,0.182,0.159,0.311
"P15","El estado de las escuelas y la educación",0.048,0.068,0.085,0.111,0.019
"P15","El sistema de salud",0.081,0.103,0.122,0.036,0.1
"P15","El deporte y la cultura",0.022,0.04,0.032,0.017,0.104
"P15","La obra pública",0.017,0.022,0.016,0.062,0
"P15","La luminaria",0.016,0.012,0.024,0.02,0
"P15","No sabe",0.069,0.19,0.095,0.139,0.32
"P16","Agua corriente y cloacas",0.565,0.405,0.417,0.311,0.104
"P16","Energía eléctrica",0.08,0.24,0.149,0.026,0.01
"P16","Red de gas natural",0.132,0.174,0.134,0.069,0.173
"P16","Recolección de residuos",0.111,0.055,0.156,0.482,0
"P16","Ninguno",0.112,0.126,0.144,0.112,0.713
"P18","Muy buena",0.13,0.031,0.018,0.064,0.188
"P18","Buena",0.097,0.166,0.096,0.12,0.032
"P18","Ni buena ni mala",0.297,0.314,0.385,0.277,0.229
"P18","Mala",0.209,0.237,0.293,0.247,0.196
"P18","Muy mala",0.195,0.176,0.175,0.24,0.29
"P18","No sabe",0.072,0.076,0.033,0.052,0.065
"P19","Muy buena",0.059,0.104,0.014,0.063,0.159
"P19","Buena",0.121,0.08,0.087,0.087,0.047
"P19","Ni buena ni mala",0.331,0.327,0.355,0.32,0.366
"P19","Mala",0.195,0.224,0.204,0.198,0.273
"P19","Muy mala",0.192,0.213,0.276,0.253,0.114
"P19","No sabe",0.102,0.052,0.064,0.079,0.041
"P20","Al candidato del Frente de Todos",0.33,0.305,0.186,0.169,0.25
"P20","Al candidato de Juntos por el Cambio",0.243,0.204,0.284,0.112,0.04
"P20","Al candidato de la Izquierda",0.081,0.101,0.087,0.271,0.247
"P20","A otro candidato",0.192,0.208,0.239,0.262,0.168
"P20","No sabe",0.154,0.182,0.204,0.186,0.295
"P21","A Gustavo Menéndez",0.436,0.577,0.471,0.651,0.839
"P21","A Karina Menéndez",0.201,0.112,0.198,0.199,0.161
"P21","A Florencia Lizaraso",0.112,0.2,0.146,0.026,0
"P21","No sabe",0.251,0.111,0.185,0.124,0
"P22","Frente de Todos y el peronismo",0.397,0.483,0.314,0.173,0.374
"P22","Cambiemos",0.257,0.216,0.226,0.136,0.077
"P22","Liberales",0.142,0.063,0.164,0.226,0.018
"P22","Izquierda",0.082,0.098,0.086,0.213,0.162
"P22","No sabe",0.122,0.14,0.21,0.252,0.369
"P24","A Alberto Fernández",0.368,0.277,0.26,0.111,0.079
"P24","A Sergio Massa",0.184,0.127,0.304,0.06,0.749
"P24","A algún candidato del peronismo",0.183,0.16,0.136,0.434,0.036
"P24","A algún candidato del kirchnerismo",0.265,0.436,0.3,0.395,0.136
"P25","Seguro la votaria",0.731,0.709,0.625,0.537,0.81
"P25","Quizás la votaría",0.072,0.124,0.265,0.103,0.19
"P25","Nunca la votaría",0.197,0.167,0.11,0.36,0
"P26","A Horacio Rodriguez Larreta",0.592,0.078,0.573,0.406,0.8
"P26","A Mauricio Macri",0.154,0.414,0.134,0.269,0
"P26","A Patricia Bullrich",0.189,0.237,0.168,0.155,0.2
"P26","A Facundo Manes",0.059,0.01,0.09,0.136,0
"P26","A Martín Lousteau",0.006,0.261,0.035,0.034,0
"P27","Seguro lo votaria",0.381,0.067,0.287,0.094,0
"P27","Quizás lo votaría",0.137,0.249,0.128,0.278,0
"P27","Nunca lo votaría",0.482,0.684,0.585,0.628,1
"P28","Muy buena",0.091,0.165,0.091,0.066,0.129
"P28","Buena",0.17,0.193,0.124,0.126,0.159
"P28","Ni buena ni mala",0.214,0.231,0.247,0.123,0.248
"P28","Mala",0.189,0.101,0.161,0.252,0.051
"P28","Muy mala",0.334,0.31,0.345,0.407,0.413
"P28","No sabe",0.002,0,0.032,0.026,0
"P29","Muy buena",0.138,0.123,0.054,0.06,0.062
"P29","Buena",0.104,0.146,0.11,0.12,0.059
"P29","Ni buena ni mala",0.146,0.083,0.244,0.118,0.037
"P29","Mala",0.209,0.15,0.154,0.264,0.255
"P29","Muy mala",0.395,0.494,0.411,0.404,0.563
"P29","No sabe",0.008,0.004,0.027,0.034,0.024
"P30","Muy buena",0.365,0.338,0.206,0.227,0.427
"P30","Buena",0.048,0.081,0.1,0.043,0.101
"P30","Ni buena ni mala",0.123,0.107,0.201,0.034,0.072
"P30","Mala",0.059,0.032,0.115,0.14,0.095
"P30","Muy mala",0.401,0.432,0.352,0.463,0.305
"P30","No sabe",0.004,0.01,0.026,0.093,0
"P31","Muy buena",0.201,0.197,0.128,0.142,0.043
"P31","Buena",0.128,0.152,0.111,0.105,0.14
"P31","Ni buena ni mala",0.242,0.107,0.299,0.123,0.156
"P31","Mala",0.12,0.152,0.134,0.235,0.247
"P31","Muy mala",0.279,0.366,0.221,0.351,0.414
"P31","No sabe",0.03,0.026,0.107,0.044,0
