"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de la Izquierda","A otro candidato","No sabe"
"P06","Muy buena",0.315,0.029,0.014,0.031,0.047
"P06","Buena",0.196,0.089,0.109,0.087,0.131
"P06","Ni buena ni mala",0.336,0.147,0.182,0.175,0.273
"P06","Mala",0.105,0.216,0.332,0.243,0.198
"P06","Muy mala",0.045,0.508,0.346,0.432,0.263
"P06","No sabe",0.003,0.011,0.017,0.032,0.088
"P07","Muy buena",0.117,0.202,0.014,0.061,0.037
"P07","Buena",0.025,0.27,0.079,0.083,0.07
"P07","Ni buena ni mala",0.38,0.343,0.411,0.428,0.349
"P07","Mala",0.133,0.018,0.184,0.132,0.142
"P07","Muy mala",0.142,0.119,0.216,0.182,0.128
"P07","No sabe",0.203,0.048,0.096,0.114,0.274
"P08","Muy buena",0.225,0.034,0.024,0.046,0.016
"P08","Buena",0.196,0.061,0.161,0.052,0.083
"P08","Ni buena ni mala",0.38,0.192,0.342,0.212,0.372
"P08","Mala",0.109,0.17,0.16,0.283,0.132
"P08","Muy mala",0.049,0.464,0.266,0.351,0.238
"P08","No sabe",0.041,0.079,0.047,0.056,0.159
"P09","Muy buena",0.054,0.138,0,0.032,0.021
"P09","Buena",0.054,0.173,0.158,0.107,0.027
"P09","Ni buena ni mala",0.395,0.423,0.393,0.372,0.334
"P09","Mala",0.157,0.087,0.174,0.145,0.139
"P09","Muy mala",0.164,0.093,0.208,0.194,0.155
"P09","No sabe",0.176,0.086,0.067,0.15,0.324
"P10","Muy buena",0.115,0.063,0.038,0.125,0.114
"P10","Buena",0.126,0.098,0.097,0.085,0.087
"P10","Ni buena ni mala",0.238,0.27,0.205,0.189,0.234
"P10","Mala",0.223,0.211,0.295,0.257,0.164
"P10","Muy mala",0.253,0.313,0.339,0.288,0.238
"P10","No sabe",0.045,0.045,0.026,0.056,0.163
"P11","Muy buena",0.064,0.188,0.027,0.056,0.029
"P11","Buena",0.05,0.156,0.019,0.068,0.069
"P11","Ni buena ni mala",0.416,0.308,0.463,0.342,0.28
"P11","Mala",0.083,0.043,0.115,0.155,0.089
"P11","Muy mala",0.121,0.066,0.172,0.134,0.164
"P11","No sabe",0.266,0.239,0.204,0.245,0.369
"P12","Muy buena",0.059,0.046,0.006,0.034,0.04
"P12","Buena",0.112,0.044,0.052,0.013,0.019
