"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Martín Lousteau"
"P06","Muy buena",0.205,0.034,0,0.299,0
"P06","Buena",0.128,0.178,0.005,0.01,0.263
"P06","Ni buena ni mala",0.083,0.032,0.153,0.278,0.018
"P06","Mala",0.09,0.102,0.273,0.344,0.624
"P06","Muy mala",0.477,0.654,0.566,0.069,0.095
"P06","No sabe",0.017,0,0.003,0,0
"P07","Muy buena",0.285,0.139,0.107,0.115,0
"P07","Buena",0.181,0.1,0.195,0.158,0.257
"P07","Ni buena ni mala",0.355,0.33,0.44,0.526,0.638
"P07","Mala",0.023,0.057,0.028,0.023,0.036
"P07","Muy mala",0.054,0.348,0.137,0.07,0.069
"P07","No sabe",0.102,0.026,0.093,0.108,0
"P08","Muy buena",0.141,0.031,0.026,0.053,0
"P08","Buena",0.037,0.118,0.003,0.132,0.709
"P08","Ni buena ni mala",0.309,0.056,0.187,0.381,0.036
"P08","Mala",0.061,0.355,0.372,0.381,0.134
"P08","Muy mala",0.429,0.239,0.404,0.053,0.121
"P08","No sabe",0.023,0.201,0.008,0,0
"P09","Muy buena",0.12,0.324,0.141,0.019,0.019
"P09","Buena",0.079,0.116,0.239,0.021,0.238
"P09","Ni buena ni mala",0.45,0.28,0.492,0.812,0.646
"P09","Mala",0.043,0.244,0.025,0.118,0
"P09","Muy mala",0.133,0.03,0.063,0.03,0.07
"P09","No sabe",0.175,0.006,0.04,0,0.027
"P10","Muy buena",0.046,0.035,0.022,0.127,0
"P10","Buena",0.017,0.06,0.241,0.141,0.024
"P10","Ni buena ni mala",0.24,0.304,0.354,0.193,0.141
"P10","Mala",0.296,0.253,0.135,0.344,0.246
"P10","Muy mala",0.303,0.151,0.236,0.195,0.589
"P10","No sabe",0.098,0.197,0.012,0,0
"P11","Muy buena",0.253,0.149,0.443,0.054,0.057
"P11","Buena",0.033,0.111,0.15,0.106,0.048
"P11","Ni buena ni mala",0.349,0.43,0.268,0.586,0.605
"P11","Mala",0.074,0.017,0.06,0,0.263
"P11","Muy mala",0.002,0.048,0.017,0.137,0
"P11","No sabe",0.289,0.245,0.062,0.117,0.027
"P12","Muy buena",0.111,0.034,0.249,0.023,0
"P12","Buena",0.036,0.059,0.059,0.028,0.018
"P12","Ni buena ni mala",0.451,0.405,0.295,0.7,0.685
"P12","Mala",0.039,0.028,0.035,0.108,0.019
"P12","Muy mala",0.111,0.321,0.012,0.132,0.024
"P12","No sabe",0.252,0.153,0.35,0.009,0.254
"P13","Muy buena",0.112,0.028,0.039,0,0
"P13","Buena",0,0.059,0.028,0,0.036
"P13","Ni buena ni mala",0.428,0.387,0.224,0.601,0.707
"P13","Mala",0.031,0.073,0.032,0,0
"P13","Muy mala",0.025,0.282,0.022,0.117,0
"P13","No sabe",0.404,0.171,0.655,0.282,0.257
"P14","La seguridad",0.077,0.086,0,0,0
"P14","El tránsito",0.001,0.003,0.01,0.022,0
"P14","El arreglo de las calles",0.254,0.063,0.083,0.276,0.159
"P14","El estado de las escuelas y la educación",0.016,0.061,0.003,0,0
"P14","El sistema de salud",0.023,0.109,0.069,0.048,0.227
"P14","El deporte y la cultura",0.353,0.019,0.193,0.362,0.023
"P14","La obra pública",0.002,0,0,0,0
"P14","La luminaria",0.031,0.031,0.127,0.056,0.016
"P14","No sabe",0.243,0.628,0.515,0.236,0.575
"P15","La seguridad",0.695,0.454,0.368,0.463,0.574
"P15","El tránsito",0.035,0.006,0.013,0.31,0
"P15","El arreglo de las calles",0.158,0.058,0.395,0.09,0.019
"P15","El estado de las escuelas y la educación",0.022,0.013,0.003,0.023,0.034
"P15","El sistema de salud",0.061,0.029,0.068,0,0.35
"P15","El deporte y la cultura",0.001,0,0,0,0
"P15","La obra pública",0.012,0.035,0.039,0.01,0.023
"P15","La luminaria",0,0.009,0.096,0,0
"P15","No sabe",0.016,0.396,0.018,0.104,0
"P16","Agua corriente y cloacas",0.626,0.41,0.541,0.384,0.604
"P16","Energía eléctrica",0.058,0.22,0.012,0.31,0.227
"P16","Red de gas natural",0.182,0.242,0.072,0.042,0.046
"P16","Recolección de residuos",0.032,0.083,0.107,0.17,0
"P16","Ninguno",0.102,0.045,0.268,0.094,0.123
"P17","Los robos",0.666,0.469,0.575,0.538,0.07
"P17","El narcotráfico",0.02,0.293,0.168,0.022,0.727
"P17","La ausencia de patrulleros y personal policial",0.26,0.166,0.207,0.331,0.167
"P17","Otro",0.04,0.072,0.041,0.109,0.036
"P17","Ninguno",0.014,0,0.009,0,0
"P18","Muy buena",0.093,0.044,0.063,0.175,0
"P18","Buena",0.078,0.099,0.007,0.108,0.263
"P18","Ni buena ni mala",0.321,0.523,0.105,0.233,0.141
"P18","Mala",0.18,0.143,0.615,0.331,0.046
"P18","Muy mala",0.301,0.166,0.204,0.153,0.55
"P18","No sabe",0.027,0.025,0.006,0,0
"P19","Muy buena",0.053,0.034,0.013,0.126,0.036
"P19","Buena",0.012,0.004,0,0.243,0.227
"P19","Ni buena ni mala",0.482,0.228,0.248,0.053,0.176
"P19","Mala",0.134,0.454,0.327,0.357,0.052
"P19","Muy mala",0.183,0.28,0.275,0.221,0.509
"P19","No sabe",0.136,0,0.137,0,0
"P20","Al candidato del Frente de Todos",0.243,0.034,0.009,0.265,0.25
"P20","Al candidato de Juntos por el Cambio",0.413,0.618,0.71,0.735,0.698
"P20","Al candidato de la Izquierda",0.073,0.083,0,0,0
"P20","A otro candidato",0.164,0.065,0.237,0,0.016
"P20","No sabe",0.107,0.2,0.044,0,0.036
"P21","A Gustavo Menéndez",0.755,0,0,1,1
"P21","A Karina Menéndez",0.171,0,1,0,0
"P21","A Florencia Lizaraso",0,0,0,0,0
"P21","No sabe",0.074,1,0,0,0
"P27","Seguro lo votaria",0.427,0.149,0.21,0.182,0.045
"P27","Quizás lo votaría",0.091,0.283,0.125,0.106,0.535
"P27","Nunca lo votaría",0.482,0.568,0.665,0.712,0.42
"P28","Muy buena",0,0.033,0,0.239,0.021
"P28","Buena",0.026,0.169,0,0.042,0.038
"P28","Ni buena ni mala",0.204,0.066,0.152,0.08,0.743
"P28","Mala",0.201,0.083,0.239,0.375,0.016
"P28","Muy mala",0.569,0.649,0.609,0.264,0.182
"P28","No sabe",0,0,0,0,0
"P29","Muy buena",0.097,0.463,0.218,0,0.131
"P29","Buena",0.088,0.377,0.456,0.472,0.015
"P29","Ni buena ni mala",0.408,0.01,0.178,0.128,0.608
"P29","Mala",0.196,0.004,0,0.154,0
"P29","Muy mala",0.131,0.146,0.148,0.246,0.237
"P29","No sabe",0.08,0,0,0,0.009
"P30","Muy buena",0.173,0.065,0.017,0.371,0.064
"P30","Buena",0.057,0.004,0,0,0
"P30","Ni buena ni mala",0.094,0.134,0.013,0,0
"P30","Mala",0.209,0.048,0.25,0.351,0
"P30","Muy mala",0.467,0.749,0.72,0.278,0.936
"P30","No sabe",0,0,0,0,0
"P31","Muy buena",0.344,0.35,0.118,0.47,0.168
"P31","Buena",0.248,0.409,0.283,0.07,0.014
"P31","Ni buena ni mala",0.189,0.162,0.292,0.22,0.541
"P31","Mala",0.018,0.006,0.085,0.012,0
"P31","Muy mala",0.124,0.073,0.025,0.228,0.277
"P31","No sabe",0.077,0,0.197,0,0
"P32","Muy buena",0.101,0,0.008,0.134,0.13
"P32","Buena",0.105,0,0,0.119,0
"P32","Ni buena ni mala",0.174,0.173,0.081,0.045,0.604
"P32","Mala",0.201,0.131,0.249,0.462,0
"P32","Muy mala",0.419,0.696,0.662,0.198,0.266
"P32","No sabe",0,0,0,0.042,0
"P33","Muy buena",0.186,0.381,0.599,0.394,0.051
"P33","Buena",0.104,0.375,0.243,0.145,0.131
"P33","Ni buena ni mala",0.435,0.129,0.003,0.149,0.581
"P33","Mala",0.182,0.095,0,0.078,0
"P33","Muy mala",0.013,0.02,0.155,0.234,0.237
"P33","No sabe",0.08,0,0,0,0
"P34","Muy buena",0.153,0.367,0.199,0.156,0.08
"P34","Buena",0.036,0.055,0.116,0,0
"P34","Ni buena ni mala",0.424,0.262,0.302,0.37,0.57
"P34","Mala",0.128,0.177,0.173,0.073,0.144
"P34","Muy mala",0.144,0.139,0.21,0.401,0.206
"P34","No sabe",0.115,0,0,0,0
