"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"Horacio Rodriguez Larreta","Muy buena",0.173,0.143,0.203,0.183,0.144,0.201,0.193,0.175,0.178,0.156,0.197,0.135,0.228,0.203,0.097,0.225
"Horacio Rodriguez Larreta","Buena",0.125,0.152,0.099,0.094,0.11,0.149,0.193,0.109,0.14,0.127,0.139,0.108,0.085,0.12,0.097,0.201
"Horacio Rodriguez Larreta","Ni buena ni mala",0.226,0.263,0.188,0.232,0.26,0.175,0.196,0.283,0.182,0.201,0.162,0.252,0.282,0.194,0.265,0.208
"Horacio Rodriguez Larreta","Mala",0.141,0.125,0.157,0.139,0.126,0.166,0.149,0.136,0.143,0.149,0.208,0.109,0.089,0.166,0.11,0.169
"Horacio Rodriguez Larreta","Muy mala",0.286,0.282,0.29,0.295,0.31,0.277,0.208,0.254,0.293,0.342,0.218,0.346,0.251,0.296,0.405,0.147
"Horacio Rodriguez Larreta","No sabe",0.049,0.035,0.063,0.057,0.05,0.032,0.061,0.043,0.064,0.025,0.076,0.05,0.065,0.021,0.026,0.05
"CFK","Muy buena",0.313,0.331,0.295,0.26,0.323,0.324,0.36,0.318,0.3,0.332,0.343,0.297,0.198,0.283,0.348,0.389
"CFK","Buena",0.066,0.034,0.099,0.016,0.097,0.057,0.077,0.069,0.05,0.096,0.079,0.082,0.062,0.055,0.018,0.058
"CFK","Ni buena ni mala",0.131,0.105,0.156,0.168,0.119,0.112,0.129,0.174,0.118,0.065,0.115,0.12,0.249,0.178,0.104,0.074
"CFK","Mala",0.077,0.087,0.067,0.036,0.079,0.086,0.133,0.088,0.072,0.067,0.108,0.062,0.101,0.061,0.082,0.077
"CFK","Muy mala",0.395,0.423,0.368,0.463,0.379,0.413,0.292,0.347,0.425,0.433,0.355,0.401,0.38,0.397,0.448,0.402
"CFK","No sabe",0.018,0.02,0.015,0.057,0.003,0.008,0.009,0.004,0.035,0.007,0,0.038,0.01,0.026,0,0
"Javier Milei","Muy buena",0.167,0.206,0.127,0.266,0.168,0.118,0.069,0.171,0.159,0.178,0.079,0.192,0.244,0.146,0.113,0.223
"Javier Milei","Buena",0.064,0.086,0.042,0.007,0.073,0.103,0.072,0.063,0.061,0.073,0.069,0.06,0.031,0.054,0.064,0.097
"Javier Milei","Ni buena ni mala",0.216,0.199,0.232,0.256,0.18,0.194,0.292,0.204,0.244,0.175,0.231,0.173,0.227,0.182,0.255,0.301
"Javier Milei","Mala",0.145,0.156,0.135,0.091,0.143,0.2,0.159,0.142,0.16,0.12,0.193,0.14,0.055,0.218,0.093,0.124
"Javier Milei","Muy mala",0.335,0.324,0.346,0.323,0.346,0.312,0.361,0.345,0.284,0.43,0.346,0.362,0.323,0.322,0.434,0.205
"Javier Milei","No sabe",0.073,0.029,0.118,0.057,0.09,0.073,0.047,0.075,0.092,0.024,0.082,0.073,0.12,0.078,0.041,0.05
"Sergio Massa","Muy buena",0.093,0.117,0.069,0.09,0.079,0.081,0.158,0.146,0.056,0.06,0.052,0.06,0.076,0.093,0.227,0.137
"Sergio Massa","Buena",0.134,0.134,0.134,0.071,0.131,0.172,0.193,0.141,0.129,0.13,0.17,0.146,0.156,0.12,0.095,0.087
"Sergio Massa","Ni buena ni mala",0.248,0.221,0.274,0.202,0.311,0.187,0.237,0.205,0.274,0.279,0.232,0.245,0.159,0.366,0.196,0.247
"Sergio Massa","Mala",0.155,0.148,0.163,0.141,0.152,0.192,0.132,0.159,0.156,0.148,0.133,0.192,0.174,0.098,0.133,0.155
"Sergio Massa","Muy mala",0.328,0.352,0.304,0.412,0.301,0.324,0.27,0.316,0.321,0.374,0.363,0.299,0.409,0.289,0.349,0.333
"Sergio Massa","No sabe",0.042,0.028,0.056,0.084,0.026,0.044,0.01,0.033,0.064,0.009,0.05,0.058,0.026,0.034,0,0.041
"Patricia Bullrich","Muy buena",0.182,0.177,0.188,0.163,0.162,0.201,0.25,0.176,0.184,0.194,0.2,0.209,0.138,0.138,0.125,0.21
"Patricia Bullrich","Buena",0.108,0.134,0.081,0.079,0.092,0.156,0.124,0.121,0.096,0.105,0.098,0.084,0.155,0.121,0.149,0.104
"Patricia Bullrich","Ni buena ni mala",0.186,0.184,0.187,0.288,0.159,0.139,0.161,0.152,0.242,0.125,0.181,0.169,0.216,0.143,0.331,0.153
"Patricia Bullrich","Mala",0.174,0.184,0.163,0.163,0.188,0.161,0.172,0.244,0.127,0.126,0.167,0.167,0.167,0.197,0.077,0.246
"Patricia Bullrich","Muy mala",0.334,0.312,0.357,0.303,0.371,0.325,0.293,0.301,0.324,0.434,0.328,0.369,0.264,0.397,0.302,0.26
"Patricia Bullrich","No sabe",0.016,0.009,0.024,0.004,0.028,0.018,0,0.006,0.027,0.016,0.026,0.002,0.06,0.004,0.016,0.027
"Alberto Fernandez","Muy buena",0.1,0.079,0.12,0.08,0.08,0.107,0.184,0.12,0.091,0.073,0.072,0.095,0.158,0.066,0.093,0.143
"Alberto Fernandez","Buena",0.157,0.153,0.162,0.067,0.188,0.191,0.173,0.167,0.152,0.149,0.126,0.168,0.234,0.182,0.092,0.143
"Alberto Fernandez","Ni buena ni mala",0.217,0.21,0.224,0.218,0.266,0.138,0.197,0.232,0.204,0.212,0.235,0.202,0.085,0.338,0.226,0.185
"Alberto Fernandez","Mala",0.173,0.173,0.173,0.147,0.174,0.207,0.157,0.183,0.158,0.185,0.206,0.196,0.151,0.132,0.175,0.131
"Alberto Fernandez","Muy mala",0.342,0.369,0.315,0.458,0.292,0.348,0.273,0.292,0.376,0.376,0.352,0.318,0.362,0.282,0.41,0.39
"Alberto Fernandez","No sabe",0.011,0.016,0.006,0.03,0,0.009,0.016,0.006,0.019,0.005,0.009,0.021,0.01,0,0.004,0.008
"Mauricio Macri","Muy buena",0.106,0.09,0.123,0.117,0.085,0.117,0.135,0.101,0.113,0.103,0.075,0.109,0.142,0.098,0.086,0.137
"Mauricio Macri","Buena",0.111,0.136,0.086,0.095,0.075,0.154,0.18,0.153,0.081,0.09,0.105,0.12,0.071,0.124,0.086,0.127
"Mauricio Macri","Ni buena ni mala",0.157,0.171,0.141,0.202,0.147,0.119,0.168,0.158,0.16,0.146,0.176,0.148,0.081,0.135,0.275,0.14
"Mauricio Macri","Mala",0.194,0.19,0.199,0.214,0.194,0.183,0.18,0.191,0.209,0.165,0.213,0.22,0.101,0.194,0.15,0.197
"Mauricio Macri","Muy mala",0.417,0.4,0.434,0.368,0.483,0.41,0.312,0.389,0.417,0.479,0.415,0.394,0.568,0.446,0.382,0.378
"Mauricio Macri","No sabe",0.015,0.013,0.017,0.004,0.016,0.017,0.025,0.008,0.02,0.017,0.016,0.009,0.037,0.003,0.021,0.021
