"var","categoria","Seguro la votaria","Quizás la votaría","Nunca la votaría"
"P06","Muy buena",0.177,0.116,0.019
"P06","Buena",0.146,0.306,0.139
"P06","Ni buena ni mala",0.291,0.324,0.186
"P06","Mala",0.233,0.101,0.088
"P06","Muy mala",0.111,0.153,0.568
"P06","No sabe",0.042,0,0
"P07","Muy buena",0.058,0.161,0.115
"P07","Buena",0.031,0.011,0
"P07","Ni buena ni mala",0.45,0.437,0.326
"P07","Mala",0.145,0.125,0.031
"P07","Muy mala",0.117,0.115,0.378
"P07","No sabe",0.199,0.151,0.15
"P08","Muy buena",0.149,0.064,0.05
"P08","Buena",0.141,0.085,0.07
"P08","Ni buena ni mala",0.396,0.556,0.168
"P08","Mala",0.124,0.089,0.005
"P08","Muy mala",0.117,0.14,0.657
"P08","No sabe",0.073,0.066,0.05
"P09","Muy buena",0.042,0.011,0.222
"P09","Buena",0.04,0.056,0.126
"P09","Ni buena ni mala",0.379,0.472,0.357
"P09","Mala",0.19,0.086,0.14
"P09","Muy mala",0.155,0.203,0.068
"P09","No sabe",0.194,0.172,0.087
"P10","Muy buena",0.158,0.237,0.325
"P10","Buena",0.145,0.111,0.028
"P10","Ni buena ni mala",0.217,0.224,0.155
"P10","Mala",0.176,0.117,0.246
"P10","Muy mala",0.232,0.304,0.246
"P10","No sabe",0.072,0.007,0
"P11","Muy buena",0.033,0.018,0.265
"P11","Buena",0.031,0.034,0.139
"P11","Ni buena ni mala",0.414,0.645,0.222
"P11","Mala",0.121,0.008,0.021
"P11","Muy mala",0.137,0.108,0.143
"P11","No sabe",0.264,0.187,0.21
"P12","Muy buena",0.065,0.011,0.004
"P12","Buena",0.107,0.083,0.014
"P12","Ni buena ni mala",0.452,0.568,0.314
"P12","Mala",0.076,0.035,0.188
"P12","Muy mala",0.051,0.113,0.252
"P12","No sabe",0.249,0.19,0.228
"P13","Muy buena",0.041,0.011,0.004
"P13","Buena",0.043,0.033,0
"P13","Ni buena ni mala",0.457,0.514,0.446
"P13","Mala",0.03,0.125,0.065
"P13","Muy mala",0.07,0.094,0.252
"P13","No sabe",0.359,0.223,0.233
"P14","La seguridad",0.074,0.055,0
"P14","El tránsito",0.018,0.161,0
"P14","El arreglo de las calles",0.276,0.3,0.079
"P14","El estado de las escuelas y la educación",0.049,0.066,0.105
"P14","El sistema de salud",0.063,0.038,0.014
"P14","El deporte y la cultura",0.138,0.09,0.072
"P14","La obra pública",0.061,0.114,0.014
"P14","La luminaria",0.032,0.017,0.092
"P14","No sabe",0.289,0.159,0.624
"P15","La seguridad",0.373,0.373,0.605
"P15","El tránsito",0.03,0.071,0.087
"P15","El arreglo de las calles",0.185,0.169,0.079
"P15","El estado de las escuelas y la educación",0.122,0.011,0.105
"P15","El sistema de salud",0.137,0.255,0.028
"P15","El deporte y la cultura",0.019,0.054,0
"P15","La obra pública",0.017,0,0
"P15","La luminaria",0.01,0.023,0.005
"P15","No sabe",0.107,0.044,0.091
"P16","Agua corriente y cloacas",0.438,0.493,0.348
"P16","Energía eléctrica",0.05,0.098,0.341
"P16","Red de gas natural",0.256,0.055,0.034
"P16","Recolección de residuos",0.128,0.116,0.136
"P16","Ninguno",0.128,0.238,0.141
"P17","Los robos",0.547,0.289,0.587
"P17","El narcotráfico",0.179,0.169,0.168
"P17","La ausencia de patrulleros y personal policial",0.197,0.453,0.138
"P17","Otro",0.04,0.042,0.107
"P17","Ninguno",0.037,0.047,0
"P18","Muy buena",0.092,0.055,0
"P18","Buena",0.099,0.275,0.143
"P18","Ni buena ni mala",0.372,0.35,0.374
"P18","Mala",0.212,0.278,0.303
"P18","Muy mala",0.141,0.023,0.158
"P18","No sabe",0.084,0.019,0.022
"P19","Muy buena",0.116,0.034,0
"P19","Buena",0.148,0.225,0.065
"P19","Ni buena ni mala",0.343,0.453,0.48
"P19","Mala",0.122,0.16,0.074
"P19","Muy mala",0.171,0.041,0.246
"P19","No sabe",0.1,0.087,0.135
"P20","Al candidato del Frente de Todos",0.602,0.501,0.064
"P20","Al candidato de Juntos por el Cambio",0.074,0.19,0.647
"P20","Al candidato de la Izquierda",0.12,0.085,0
"P20","A otro candidato",0.132,0.089,0.087
"P20","No sabe",0.072,0.135,0.202
