"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Inflación",0.339,0.315,0.36,0.348,0.36,0.328,0.287,0.281,0.372,0.368,0.414,0.308,0.329,0.327,0.364
"Desempleo",0.083,0.073,0.091,0.082,0.088,0.078,0.078,0.087,0.091,0.06,0.099,0.058,0,0.071,0.106
"Corrupción",0.235,0.292,0.185,0.242,0.22,0.233,0.263,0.24,0.241,0.219,0.138,0.319,0.237,0.245,0.217
"Inseguridad",0.19,0.171,0.206,0.16,0.176,0.233,0.217,0.214,0.173,0.182,0.197,0.193,0.393,0.204,0.161
"Precio del dólar",0.012,0.018,0.006,0.008,0.017,0.005,0.014,0.013,0.013,0.006,0.018,0.011,0,0.015,0.004
"Pobreza",0.052,0.045,0.058,0.059,0.061,0.027,0.053,0.065,0.024,0.086,0.048,0.052,0,0.049,0.059
"Narcotráfico",0.021,0.013,0.029,0.02,0.008,0.033,0.037,0.037,0.016,0.006,0.019,0.028,0,0.018,0.027
"Tarifas",0.014,0.009,0.019,0.026,0.013,0.003,0.01,0.012,0.02,0.006,0.016,0.002,0,0.019,0.004
"Otro",0.038,0.051,0.027,0.032,0.036,0.054,0.033,0.032,0.033,0.055,0.041,0.027,0.041,0.036,0.042
"No sabe",0.016,0.013,0.019,0.023,0.021,0.006,0.008,0.019,0.017,0.012,0.01,0.002,0,0.016,0.016
