"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P04","Gran excedente habitual",0.028,0.009,0.004,0.005,0.021
"P04","Gran excedente excepcional",0.012,0.006,0.005,0,0
"P04","Pequeño excedente habitual",0.074,0.061,0.033,0.015,0.036
"P04","Pequeño excedente excepcional",0.077,0.057,0.043,0.015,0.123
"P04","Alcanza gastos familia",0.144,0.166,0.101,0.144,0.048
"P04","No alcanza gastos familia",0.099,0.119,0.242,0.167,0.219
"P04","Solo NBFamiliares",0.147,0.388,0.279,0.2,0.089
"P04","No alcanza NBFamiliares",0.398,0.179,0.273,0.429,0.396
"P04","No sabe",0.021,0.015,0.02,0.025,0.068
"P06","Todos los días",0.266,0.049,0.044,0.052,0.078
"P06","Entre 4 y 6 días a la semana",0.24,0.4,0.107,0.106,0.124
"P06","Entre 1 y 3 días a la semana",0.279,0.365,0.564,0.256,0.111
"P06","Raramente",0.161,0.156,0.25,0.481,0.316
"P06","Nunca",0.054,0.03,0.035,0.105,0.371
"P07","Todos los días",0.18,0.067,0.057,0.066,0.075
"P07","Entre 4 y 6 días a la semana",0.25,0.3,0.139,0.143,0.137
"P07","Entre 1 y 3 días a la semana",0.354,0.445,0.511,0.312,0.203
"P07","Raramente",0.168,0.149,0.268,0.395,0.293
"P07","Nunca",0.048,0.039,0.025,0.084,0.292
"P08","Todos los días",0.087,0.04,0.036,0.045,0.117
"P08","Entre 4 y 6 días a la semana",0.095,0.112,0.072,0.073,0.018
"P08","Entre 1 y 3 días a la semana",0.187,0.222,0.208,0.132,0.14
"P08","Raramente",0.402,0.443,0.451,0.436,0.205
"P08","Nunca",0.229,0.183,0.233,0.314,0.52
"P09","Todos los días",0.141,0.08,0.076,0.092,0.109
"P09","Entre 4 y 6 días a la semana",0.128,0.219,0.13,0.094,0.07
"P09","Entre 1 y 3 días a la semana",0.207,0.271,0.305,0.186,0.116
"P09","Raramente",0.39,0.344,0.378,0.454,0.324
"P09","Nunca",0.134,0.086,0.111,0.174,0.381
"P10","Todos los días",0.376,0.195,0.091,0.074,0.079
"P10","Entre 4 y 6 días a la semana",0.183,0.316,0.128,0.075,0.07
"P10","Entre 1 y 3 días a la semana",0.166,0.264,0.404,0.218,0.129
"P10","Raramente",0.215,0.175,0.316,0.468,0.314
"P10","Nunca",0.06,0.05,0.061,0.165,0.408
"P11","Todos los días",0.411,0.312,0.204,0.134,0.17
"P11","Entre 4 y 6 días a la semana",0.152,0.241,0.159,0.126,0.059
"P11","Entre 1 y 3 días a la semana",0.176,0.233,0.329,0.25,0.14
"P11","Raramente",0.186,0.162,0.246,0.375,0.254
"P11","Nunca",0.075,0.052,0.062,0.115,0.377
"P12","Todos los días",0.11,0.062,0.046,0.065,0.091
"P12","Entre 4 y 6 días a la semana",0.137,0.156,0.068,0.07,0.065
"P12","Entre 1 y 3 días a la semana",0.322,0.344,0.321,0.212,0.167
"P12","Raramente",0.342,0.36,0.451,0.449,0.267
"P12","Nunca",0.089,0.078,0.114,0.204,0.41
"P13","Todos los días",0.29,0.284,0.232,0.246,0.261
"P13","Entre 4 y 6 días a la semana",0.218,0.293,0.235,0.2,0.146
"P13","Entre 1 y 3 días a la semana",0.253,0.266,0.33,0.258,0.246
"P13","Raramente",0.184,0.135,0.164,0.238,0.212
"P13","Nunca",0.055,0.022,0.039,0.058,0.135
"P14","Todos los días",0.156,0.135,0.084,0.132,0.143
"P14","Entre 4 y 6 días a la semana",0.25,0.278,0.216,0.152,0.173
"P14","Entre 1 y 3 días a la semana",0.337,0.377,0.414,0.328,0.231
"P14","Raramente",0.197,0.176,0.24,0.285,0.213
"P14","Nunca",0.06,0.034,0.046,0.103,0.24
