"var","categoria","Menos de 1 comida al día","1 comida","2 comidas","3 comidas","4 comidas","Más de 4 comidas"
"P04","Gran excedente habitual",0.001,0.004,0.01,0.027,0.011,0.058
"P04","Gran excedente excepcional",0.005,0.002,0.001,0.009,0.016,0.007
"P04","Pequeño excedente habitual",0.022,0.038,0.063,0.102,0.083,0.095
"P04","Pequeño excedente excepcional",0.037,0.037,0.068,0.082,0.115,0.304
"P04","Alcanza gastos familia",0.099,0.101,0.151,0.233,0.281,0.128
"P04","No alcanza gastos familia",0.157,0.179,0.189,0.157,0.095,0.214
"P04","Solo NBFamiliares",0.264,0.234,0.299,0.241,0.271,0.104
"P04","No alcanza NBFamiliares",0.387,0.392,0.213,0.116,0.114,0.051
"P04","No sabe",0.028,0.013,0.006,0.033,0.014,0.039
"P05","Todos los días",0.203,0.151,0.171,0.251,0.29,0.479
"P05","Entre 4 y 6 días a la semana",0.289,0.233,0.296,0.283,0.351,0.195
"P05","Entre 1 y 3 días a la semana",0.246,0.348,0.372,0.336,0.235,0.169
"P05","Raramente",0.205,0.233,0.12,0.105,0.081,0.11
"P05","Nunca",0.057,0.035,0.041,0.025,0.043,0.047
"P06","Todos los días",0.116,0.059,0.061,0.094,0.092,0.152
"P06","Entre 4 y 6 días a la semana",0.183,0.159,0.266,0.247,0.337,0.234
"P06","Entre 1 y 3 días a la semana",0.328,0.4,0.44,0.467,0.426,0.48
"P06","Raramente",0.287,0.326,0.194,0.138,0.107,0.039
"P06","Nunca",0.086,0.056,0.039,0.054,0.038,0.095
"P07","Todos los días",0.102,0.065,0.066,0.076,0.079,0.083
"P07","Entre 4 y 6 días a la semana",0.178,0.172,0.236,0.271,0.213,0.318
"P07","Entre 1 y 3 días a la semana",0.371,0.42,0.475,0.433,0.537,0.381
"P07","Raramente",0.273,0.293,0.19,0.178,0.136,0.094
"P07","Nunca",0.076,0.05,0.033,0.042,0.035,0.124
"P08","Todos los días",0.062,0.036,0.035,0.018,0.041,0.041
"P08","Entre 4 y 6 días a la semana",0.1,0.071,0.062,0.087,0.055,0.175
"P08","Entre 1 y 3 días a la semana",0.147,0.159,0.224,0.238,0.229,0.149
"P08","Raramente",0.392,0.429,0.445,0.475,0.474,0.512
"P08","Nunca",0.299,0.305,0.234,0.182,0.201,0.123
"P09","Todos los días",0.095,0.064,0.084,0.093,0.142,0.211
"P09","Entre 4 y 6 días a la semana",0.126,0.134,0.141,0.135,0.194,0.209
"P09","Entre 1 y 3 días a la semana",0.18,0.258,0.323,0.319,0.264,0.136
"P09","Raramente",0.422,0.421,0.347,0.367,0.293,0.348
"P09","Nunca",0.177,0.123,0.105,0.086,0.107,0.096
"P10","Todos los días",0.139,0.111,0.184,0.225,0.368,0.422
"P10","Entre 4 y 6 días a la semana",0.173,0.174,0.178,0.213,0.219,0.278
"P10","Entre 1 y 3 días a la semana",0.248,0.263,0.336,0.304,0.234,0.13
"P10","Raramente",0.332,0.363,0.235,0.191,0.149,0.07
"P10","Nunca",0.108,0.089,0.067,0.067,0.03,0.1
"P11","Todos los días",0.222,0.194,0.291,0.342,0.487,0.567
"P11","Entre 4 y 6 días a la semana",0.165,0.158,0.18,0.198,0.196,0.086
"P11","Entre 1 y 3 días a la semana",0.242,0.277,0.268,0.266,0.198,0.176
"P11","Raramente",0.275,0.271,0.213,0.155,0.079,0.069
"P11","Nunca",0.096,0.1,0.048,0.039,0.04,0.102
"P12","Todos los días",0.108,0.052,0.045,0.068,0.077,0.09
"P12","Entre 4 y 6 días a la semana",0.112,0.102,0.082,0.113,0.152,0.06
"P12","Entre 1 y 3 días a la semana",0.307,0.282,0.374,0.346,0.347,0.328
"P12","Raramente",0.341,0.437,0.397,0.385,0.339,0.413
"P12","Nunca",0.132,0.127,0.102,0.088,0.085,0.109
"P13","Todos los días",0.247,0.246,0.273,0.286,0.295,0.287
"P13","Entre 4 y 6 días a la semana",0.23,0.206,0.265,0.243,0.254,0.422
"P13","Entre 1 y 3 días a la semana",0.289,0.325,0.294,0.263,0.247,0.224
"P13","Raramente",0.176,0.184,0.138,0.193,0.146,0.067
"P13","Nunca",0.058,0.039,0.03,0.015,0.058,0
"P14","Todos los días",0.142,0.092,0.12,0.104,0.11,0.221
"P14","Entre 4 y 6 días a la semana",0.236,0.202,0.221,0.283,0.276,0.288
"P14","Entre 1 y 3 días a la semana",0.382,0.398,0.411,0.365,0.358,0.394
"P14","Raramente",0.184,0.25,0.195,0.197,0.215,0.097
"P14","Nunca",0.056,0.058,0.053,0.051,0.041,0
"P15","Menos de un vaso al día",0.147,0.082,0.053,0.059,0.061,0.07
"P15","De 1 a 4 vasos al día",0.294,0.361,0.371,0.371,0.322,0.314
"P15","Más de 4 vasos al día",0.491,0.492,0.536,0.507,0.558,0.56
"P15","No consume agua",0.068,0.065,0.04,0.063,0.059,0.056
"P16","Agua embotellada/mineral",0.148,0.122,0.164,0.169,0.211,0.239
"P16","Agua de la canilla filtrada",0.277,0.301,0.326,0.365,0.273,0.195
"P16","Agua de la canilla directamente",0.469,0.461,0.378,0.335,0.379,0.425
"P16","Agua de bidón",0.075,0.109,0.124,0.13,0.131,0.136
"P16","No consume agua",0.031,0.007,0.008,0.001,0.006,0.005
"P17","Todos los días",0.092,0.039,0.064,0.094,0.076,0.09
"P17","Entre 4 y 6 días a la semana",0.089,0.084,0.091,0.081,0.092,0.046
"P17","Entre 1 y 3 días a la semana",0.203,0.167,0.192,0.258,0.261,0.187
"P17","Raramente",0.265,0.365,0.368,0.316,0.301,0.255
"P17","Nunca",0.351,0.345,0.285,0.251,0.27,0.422
"P18","Vino",0.233,0.203,0.264,0.282,0.284,0.219
"P18","Cerveza",0.116,0.169,0.177,0.15,0.228,0.176
"P18","Destilados (whisky, vodka, ron, etc.)",0.061,0.037,0.061,0.101,0.041,0.109
"P18","Espumantes",0.074,0.049,0.042,0.047,0.039,0.014
"P18","Otros",0.142,0.118,0.109,0.093,0.084,0.159
"P18","No consume bebidas alcohólicas",0.374,0.424,0.347,0.327,0.324,0.323
"P19","Todos los días",0.15,0.094,0.106,0.122,0.148,0.14
"P19","Entre 4 y 6 días a la semana",0.106,0.106,0.098,0.082,0.114,0.075
"P19","Entre 1 y 3 días a la semana",0.148,0.17,0.213,0.218,0.18,0.153
"P19","Raramente",0.382,0.407,0.362,0.387,0.322,0.334
"P19","Nunca",0.214,0.223,0.221,0.191,0.236,0.298
"P20","Todos los días",0.453,0.543,0.541,0.476,0.447,0.544
"P20","Entre 4 y 6 días a la semana",0.125,0.079,0.103,0.077,0.084,0.032
"P20","Entre 1 y 3 días a la semana",0.1,0.106,0.085,0.138,0.12,0.131
"P20","Raramente",0.21,0.156,0.14,0.162,0.122,0.08
"P20","Nunca",0.112,0.116,0.131,0.147,0.227,0.213
"P21","Todos los días",0.516,0.483,0.507,0.511,0.628,0.484
"P21","Entre 4 y 6 días a la semana",0.178,0.165,0.178,0.168,0.17,0.088
"P21","Entre 1 y 3 días a la semana",0.135,0.145,0.133,0.193,0.082,0.09
"P21","Raramente",0.091,0.162,0.126,0.09,0.071,0.21
"P21","Nunca",0.08,0.045,0.056,0.038,0.049,0.128
"P22","Asado",0.429,0.41,0.418,0.406,0.386,0.491
"P22","Pizza",0.111,0.104,0.075,0.086,0.087,0.018
"P22","Milanesa",0.155,0.147,0.176,0.176,0.154,0.062
"P22","Pastas",0.08,0.102,0.1,0.127,0.13,0.163
"P22","Empanadas",0.041,0.052,0.048,0.055,0.04,0.09
"P22","Hamburguesa",0.012,0.011,0.023,0.006,0,0
"P22","Ensaladas (de cualquier tipo)",0.06,0.047,0.053,0.055,0.107,0.057
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.055,0.077,0.078,0.059,0.041,0.037
"P22","Polenta o similares (de cualquier tipo)",0.037,0.025,0.015,0.003,0.018,0
"P22","Ninguno de los anteriores",0.02,0.025,0.014,0.027,0.037,0.082
"P23","Asado",0.128,0.087,0.114,0.126,0.138,0.146
"P23","Pizza",0.076,0.07,0.069,0.075,0.057,0.034
"P23","Milanesa",0.198,0.169,0.23,0.188,0.245,0.204
"P23","Pastas",0.154,0.224,0.171,0.209,0.162,0.15
"P23","Empanadas",0.037,0.036,0.038,0.076,0.03,0.009
"P23","Hamburguesa",0.031,0.014,0.023,0.02,0.013,0
"P23","Ensaladas (de cualquier tipo)",0.091,0.083,0.108,0.11,0.177,0.279
