"var","categoria","Agua embotellada/mineral","Agua de la canilla filtrada","Agua de la canilla directamente","Agua de bidón","No consume agua"
"P04","Gran excedente habitual",0.018,0.013,0.005,0.008,0.011
"P04","Gran excedente excepcional",0.007,0.004,0.004,0.009,0.003
"P04","Pequeño excedente habitual",0.053,0.05,0.043,0.068,0.03
"P04","Pequeño excedente excepcional",0.064,0.059,0.05,0.065,0.04
"P04","Alcanza gastos familia",0.196,0.133,0.115,0.164,0.049
"P04","No alcanza gastos familia",0.135,0.155,0.186,0.154,0.182
"P04","Solo NBFamiliares",0.266,0.267,0.256,0.309,0.07
"P04","No alcanza NBFamiliares",0.235,0.305,0.325,0.2,0.539
"P04","No sabe",0.026,0.014,0.016,0.023,0.076
"P05","Todos los días",0.25,0.183,0.185,0.166,0.209
"P05","Entre 4 y 6 días a la semana",0.296,0.301,0.253,0.285,0.092
"P05","Entre 1 y 3 días a la semana",0.268,0.315,0.33,0.365,0.184
"P05","Raramente",0.146,0.169,0.176,0.149,0.357
"P05","Nunca",0.04,0.032,0.056,0.035,0.158
"P06","Todos los días",0.127,0.071,0.055,0.09,0.199
"P06","Entre 4 y 6 días a la semana",0.281,0.241,0.172,0.208,0.048
"P06","Entre 1 y 3 días a la semana",0.367,0.395,0.397,0.471,0.227
"P06","Raramente",0.166,0.23,0.311,0.177,0.171
"P06","Nunca",0.059,0.063,0.065,0.054,0.355
"P07","Todos los días",0.128,0.084,0.055,0.072,0.206
"P07","Entre 4 y 6 días a la semana",0.232,0.225,0.178,0.213,0.086
"P07","Entre 1 y 3 días a la semana",0.422,0.43,0.436,0.437,0.186
"P07","Raramente",0.174,0.213,0.268,0.225,0.283
"P07","Nunca",0.044,0.048,0.063,0.053,0.239
"P08","Todos los días",0.083,0.045,0.031,0.033,0.14
"P08","Entre 4 y 6 días a la semana",0.077,0.091,0.077,0.071,0.051
"P08","Entre 1 y 3 días a la semana",0.197,0.206,0.173,0.227,0.021
"P08","Raramente",0.435,0.438,0.43,0.437,0.352
"P08","Nunca",0.208,0.22,0.289,0.232,0.436
"P09","Todos los días",0.156,0.075,0.07,0.082,0.306
"P09","Entre 4 y 6 días a la semana",0.166,0.167,0.118,0.152,0.058
"P09","Entre 1 y 3 días a la semana",0.254,0.267,0.248,0.282,0.079
"P09","Raramente",0.321,0.377,0.414,0.375,0.343
"P09","Nunca",0.103,0.114,0.15,0.109,0.214
"P10","Todos los días",0.262,0.169,0.129,0.192,0.168
"P10","Entre 4 y 6 días a la semana",0.211,0.18,0.16,0.222,0.07
"P10","Entre 1 y 3 días a la semana",0.245,0.302,0.288,0.268,0.084
"P10","Raramente",0.194,0.283,0.313,0.262,0.266
"P10","Nunca",0.088,0.066,0.11,0.056,0.412
"P11","Todos los días",0.377,0.272,0.197,0.28,0.266
"P11","Entre 4 y 6 días a la semana",0.193,0.181,0.156,0.207,0.05
"P11","Entre 1 y 3 días a la semana",0.227,0.242,0.275,0.266,0.162
"P11","Raramente",0.138,0.232,0.27,0.199,0.332
"P11","Nunca",0.065,0.073,0.102,0.048,0.19
"P12","Todos los días",0.112,0.068,0.049,0.039,0.214
"P12","Entre 4 y 6 días a la semana",0.091,0.123,0.106,0.075,0.027
"P12","Entre 1 y 3 días a la semana",0.333,0.321,0.299,0.296,0.127
"P12","Raramente",0.349,0.37,0.415,0.469,0.376
"P12","Nunca",0.115,0.118,0.131,0.121,0.256
"P13","Todos los días",0.356,0.259,0.228,0.265,0.254
"P13","Entre 4 y 6 días a la semana",0.211,0.265,0.237,0.217,0.076
"P13","Entre 1 y 3 días a la semana",0.24,0.28,0.306,0.283,0.076
"P13","Raramente",0.162,0.161,0.18,0.191,0.381
"P13","Nunca",0.031,0.035,0.049,0.044,0.213
"P14","Todos los días",0.185,0.122,0.111,0.079,0.21
"P14","Entre 4 y 6 días a la semana",0.19,0.254,0.227,0.225,0.116
"P14","Entre 1 y 3 días a la semana",0.34,0.388,0.364,0.373,0.299
"P14","Raramente",0.232,0.189,0.223,0.273,0.209
"P14","Nunca",0.053,0.047,0.075,0.05,0.166
"P15","Menos de un vaso al día",0.169,0.065,0.091,0.044,0.246
"P15","De 1 a 4 vasos al día",0.334,0.474,0.256,0.323,0.234
"P15","Más de 4 vasos al día",0.412,0.431,0.584,0.522,0.172
"P15","No consume agua",0.085,0.03,0.069,0.111,0.348
"P17","Todos los días",0.229,0.038,0.029,0.034,0.202
"P17","Entre 4 y 6 días a la semana",0.056,0.213,0.032,0.036,0.034
"P17","Entre 1 y 3 días a la semana",0.168,0.142,0.283,0.152,0.105
"P17","Raramente",0.248,0.321,0.312,0.468,0.264
"P17","Nunca",0.299,0.286,0.344,0.31,0.395
"P18","Vino",0.283,0.255,0.2,0.235,0.171
"P18","Cerveza",0.179,0.158,0.157,0.159,0.01
"P18","Destilados (whisky, vodka, ron, etc.)",0.057,0.058,0.058,0.045,0.29
"P18","Espumantes",0.04,0.059,0.05,0.069,0.074
"P18","Otros",0.116,0.107,0.132,0.093,0.187
"P18","No consume bebidas alcohólicas",0.325,0.363,0.403,0.399,0.268
"P19","Todos los días",0.21,0.125,0.084,0.099,0.18
"P19","Entre 4 y 6 días a la semana",0.103,0.124,0.09,0.115,0.048
"P19","Entre 1 y 3 días a la semana",0.185,0.16,0.165,0.236,0.203
"P19","Raramente",0.311,0.378,0.409,0.364,0.347
"P19","Nunca",0.191,0.213,0.252,0.186,0.222
"P20","Todos los días",0.54,0.505,0.514,0.49,0.378
"P20","Entre 4 y 6 días a la semana",0.069,0.11,0.086,0.127,0.185
"P20","Entre 1 y 3 días a la semana",0.091,0.095,0.105,0.104,0
"P20","Raramente",0.134,0.162,0.176,0.148,0.183
"P20","Nunca",0.166,0.128,0.119,0.131,0.254
"P21","Todos los días",0.618,0.532,0.435,0.521,0.319
"P21","Entre 4 y 6 días a la semana",0.141,0.153,0.184,0.192,0.191
"P21","Entre 1 y 3 días a la semana",0.108,0.139,0.153,0.13,0.045
"P21","Raramente",0.091,0.121,0.154,0.108,0.175
"P21","Nunca",0.042,0.055,0.074,0.049,0.27
"P22","Asado",0.475,0.432,0.386,0.396,0.174
"P22","Pizza",0.071,0.09,0.09,0.116,0.065
"P22","Milanesa",0.176,0.157,0.161,0.134,0.112
"P22","Pastas",0.098,0.112,0.117,0.106,0.177
"P22","Empanadas",0.024,0.044,0.05,0.046,0.168
"P22","Hamburguesa",0.015,0.01,0.012,0.015,0.01
"P22","Ensaladas (de cualquier tipo)",0.067,0.051,0.054,0.047,0.005
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.042,0.066,0.079,0.088,0.03
"P22","Polenta o similares (de cualquier tipo)",0.003,0.018,0.03,0.025,0.102
"P22","Ninguno de los anteriores",0.029,0.02,0.021,0.027,0.157
