"var","categoria","Vegetariano","Vegano","Dieta baja en carnes rojas","Dieta baja en carbohidratos","Dieta baja en azúcares","Kosher o Alal","Ninguna restricción alimentaria"
"P04","Gran excedente habitual",0.014,0.003,0.004,0.011,0.021,0,0.009
"P04","Gran excedente excepcional",0,0.001,0.004,0.009,0.001,0,0.006
"P04","Pequeño excedente habitual",0.048,0.032,0.04,0.057,0.067,0.005,0.054
"P04","Pequeño excedente excepcional",0.069,0.043,0.046,0.078,0.058,0.117,0.062
"P04","Alcanza gastos familia",0.093,0.131,0.156,0.169,0.141,0.199,0.144
"P04","No alcanza gastos familia",0.176,0.15,0.123,0.161,0.148,0.093,0.183
"P04","Solo NBFamiliares",0.271,0.303,0.296,0.219,0.301,0.362,0.252
"P04","No alcanza NBFamiliares",0.268,0.318,0.318,0.266,0.245,0.21,0.278
"P04","No sabe",0.061,0.019,0.013,0.03,0.018,0.014,0.012
"P05","Todos los días",0.307,0.231,0.242,0.24,0.223,0.166,0.156
"P05","Entre 4 y 6 días a la semana",0.28,0.411,0.333,0.321,0.259,0.314,0.248
"P05","Entre 1 y 3 días a la semana",0.258,0.162,0.293,0.301,0.31,0.303,0.354
"P05","Raramente",0.125,0.14,0.089,0.098,0.177,0.197,0.199
"P05","Nunca",0.03,0.056,0.043,0.04,0.031,0.02,0.043
"P06","Todos los días",0.102,0.141,0.089,0.069,0.073,0.078,0.063
"P06","Entre 4 y 6 días a la semana",0.223,0.215,0.216,0.289,0.236,0.273,0.206
"P06","Entre 1 y 3 días a la semana",0.268,0.32,0.405,0.475,0.409,0.415,0.421
"P06","Raramente",0.181,0.212,0.238,0.15,0.254,0.209,0.252
"P06","Nunca",0.226,0.112,0.052,0.017,0.028,0.025,0.058
"P07","Todos los días",0.142,0.074,0.091,0.091,0.089,0.055,0.058
"P07","Entre 4 y 6 días a la semana",0.173,0.271,0.245,0.223,0.19,0.333,0.19
"P07","Entre 1 y 3 días a la semana",0.268,0.353,0.422,0.485,0.456,0.347,0.46
"P07","Raramente",0.236,0.165,0.19,0.184,0.229,0.24,0.25
"P07","Nunca",0.181,0.137,0.052,0.017,0.036,0.025,0.042
"P08","Todos los días",0.083,0.113,0.039,0.05,0.013,0.006,0.032
"P08","Entre 4 y 6 días a la semana",0.158,0.169,0.1,0.066,0.056,0.216,0.065
"P08","Entre 1 y 3 días a la semana",0.183,0.187,0.19,0.194,0.161,0.317,0.194
"P08","Raramente",0.387,0.337,0.42,0.402,0.513,0.367,0.445
"P08","Nunca",0.189,0.194,0.251,0.288,0.257,0.094,0.264
"P09","Todos los días",0.142,0.164,0.085,0.069,0.052,0.097,0.085
"P09","Entre 4 y 6 días a la semana",0.147,0.175,0.173,0.12,0.099,0.256,0.146
"P09","Entre 1 y 3 días a la semana",0.245,0.28,0.273,0.25,0.254,0.346,0.268
"P09","Raramente",0.363,0.283,0.369,0.43,0.422,0.18,0.382
"P09","Nunca",0.103,0.098,0.1,0.131,0.173,0.121,0.119
"P10","Todos los días",0.348,0.186,0.217,0.224,0.231,0.132,0.125
"P10","Entre 4 y 6 días a la semana",0.162,0.212,0.187,0.19,0.183,0.192,0.183
"P10","Entre 1 y 3 días a la semana",0.228,0.267,0.311,0.32,0.3,0.346,0.273
