"var","categoria","Helado","Tortas, tartas dulces y masas","Ensalada de frutas","Flan, budín de pan y similares","Dulce de batata, membrillo o similares","Facturas de todo tipo","Postres lácteos caseros o envasados de cualquier tipo","Gelatina","Panqueques, wafles y similares","Ninguno de los anteriores"
"P04","Gran excedente habitual",0.018,0.015,0.01,0.002,0.014,0.011,0.015,0,0,0.004
"P04","Gran excedente excepcional",0.005,0.008,0.006,0.015,0.003,0.007,0.001,0.004,0,0.001
"P04","Pequeño excedente habitual",0.064,0.072,0.057,0.074,0.036,0.066,0.047,0.012,0.179,0.031
"P04","Pequeño excedente excepcional",0.063,0.081,0.071,0.054,0.039,0.116,0.057,0.012,0.038,0.045
"P04","Alcanza gastos familia",0.185,0.187,0.182,0.104,0.129,0.146,0.134,0.076,0.066,0.119
"P04","No alcanza gastos familia",0.153,0.172,0.128,0.147,0.15,0.179,0.141,0.235,0.207,0.171
"P04","Solo NBFamiliares",0.229,0.257,0.302,0.218,0.318,0.276,0.219,0.291,0.201,0.266
"P04","No alcanza NBFamiliares",0.265,0.183,0.233,0.382,0.304,0.156,0.382,0.35,0.309,0.348
"P04","No sabe",0.018,0.025,0.011,0.004,0.007,0.043,0.004,0.02,0,0.015
"P05","Todos los días",0.186,0.205,0.285,0.203,0.17,0.185,0.18,0.13,0.23,0.184
"P05","Entre 4 y 6 días a la semana",0.291,0.325,0.36,0.345,0.302,0.265,0.26,0.202,0.329,0.211
"P05","Entre 1 y 3 días a la semana",0.312,0.278,0.268,0.299,0.312,0.349,0.391,0.381,0.157,0.351
"P05","Raramente",0.156,0.159,0.062,0.146,0.186,0.172,0.118,0.237,0.211,0.202
"P05","Nunca",0.055,0.033,0.025,0.007,0.03,0.029,0.051,0.05,0.073,0.052
"P06","Todos los días",0.126,0.091,0.141,0.061,0.055,0.06,0.09,0.026,0.065,0.045
"P06","Entre 4 y 6 días a la semana",0.268,0.293,0.253,0.246,0.21,0.246,0.17,0.078,0.181,0.17
"P06","Entre 1 y 3 días a la semana",0.373,0.445,0.373,0.468,0.392,0.453,0.449,0.402,0.454,0.386
"P06","Raramente",0.188,0.142,0.177,0.198,0.285,0.194,0.28,0.389,0.242,0.299
"P06","Nunca",0.045,0.029,0.056,0.027,0.058,0.047,0.011,0.105,0.058,0.1
"P07","Todos los días",0.133,0.082,0.099,0.106,0.066,0.036,0.101,0.023,0.061,0.055
"P07","Entre 4 y 6 días a la semana",0.222,0.254,0.271,0.196,0.188,0.228,0.173,0.13,0.303,0.161
"P07","Entre 1 y 3 días a la semana",0.421,0.465,0.41,0.442,0.457,0.462,0.509,0.42,0.506,0.423
"P07","Raramente",0.175,0.14,0.172,0.241,0.23,0.244,0.208,0.367,0.072,0.296
"P07","Nunca",0.049,0.059,0.048,0.015,0.059,0.03,0.009,0.06,0.058,0.065
"P08","Todos los días",0.117,0.046,0.037,0.064,0.028,0.03,0.001,0,0,0.018
"P08","Entre 4 y 6 días a la semana",0.105,0.115,0.077,0.079,0.074,0.095,0.054,0.029,0.097,0.068
"P08","Entre 1 y 3 días a la semana",0.235,0.265,0.224,0.193,0.146,0.293,0.129,0.069,0.184,0.137
"P08","Raramente",0.398,0.438,0.423,0.433,0.487,0.454,0.64,0.523,0.379,0.402
"P08","Nunca",0.145,0.136,0.239,0.231,0.265,0.128,0.176,0.379,0.34,0.375
"P09","Todos los días",0.216,0.155,0.059,0.078,0.071,0.086,0.049,0.018,0.006,0.041
"P09","Entre 4 y 6 días a la semana",0.18,0.217,0.137,0.236,0.14,0.198,0.098,0.092,0.068,0.078
"P09","Entre 1 y 3 días a la semana",0.25,0.302,0.298,0.254,0.28,0.411,0.22,0.182,0.281,0.21
"P09","Raramente",0.292,0.274,0.378,0.356,0.434,0.258,0.554,0.577,0.336,0.447
"P09","Nunca",0.062,0.052,0.128,0.076,0.075,0.047,0.079,0.131,0.309,0.224
"P10","Todos los días",0.282,0.177,0.301,0.121,0.145,0.163,0.209,0.141,0.119,0.114
"P10","Entre 4 y 6 días a la semana",0.159,0.224,0.255,0.225,0.227,0.229,0.097,0.174,0.159,0.122
"P10","Entre 1 y 3 días a la semana",0.296,0.331,0.269,0.267,0.324,0.327,0.309,0.218,0.294,0.244
"P10","Raramente",0.204,0.229,0.144,0.311,0.236,0.226,0.296,0.368,0.226,0.386
"P10","Nunca",0.059,0.039,0.031,0.076,0.068,0.055,0.089,0.099,0.202,0.134
"P11","Todos los días",0.376,0.35,0.306,0.26,0.261,0.309,0.287,0.165,0.249,0.173
"P11","Entre 4 y 6 días a la semana",0.222,0.208,0.208,0.175,0.187,0.188,0.095,0.162,0.111,0.131
"P11","Entre 1 y 3 días a la semana",0.216,0.231,0.261,0.235,0.306,0.306,0.196,0.254,0.27,0.249
"P11","Raramente",0.155,0.188,0.185,0.282,0.197,0.139,0.312,0.336,0.197,0.306
"P11","Nunca",0.031,0.023,0.04,0.048,0.049,0.058,0.11,0.083,0.173,0.141
"P12","Todos los días",0.119,0.11,0.074,0.057,0.067,0.038,0.035,0.053,0.014,0.036
"P12","Entre 4 y 6 días a la semana",0.117,0.114,0.131,0.143,0.1,0.09,0.068,0.079,0.056,0.091
"P12","Entre 1 y 3 días a la semana",0.273,0.316,0.419,0.305,0.328,0.344,0.434,0.374,0.34,0.268
"P12","Raramente",0.382,0.384,0.309,0.428,0.402,0.457,0.311,0.42,0.456,0.417
"P12","Nunca",0.109,0.076,0.067,0.067,0.103,0.071,0.152,0.074,0.134,0.188
"P13","Todos los días",0.343,0.304,0.23,0.244,0.248,0.315,0.224,0.169,0.239,0.22
"P13","Entre 4 y 6 días a la semana",0.266,0.278,0.247,0.193,0.256,0.285,0.171,0.202,0.145,0.212
"P13","Entre 1 y 3 días a la semana",0.242,0.295,0.316,0.316,0.294,0.273,0.242,0.312,0.419,0.301
"P13","Raramente",0.113,0.11,0.187,0.229,0.172,0.116,0.329,0.273,0.131,0.191
"P13","Nunca",0.036,0.013,0.02,0.018,0.03,0.011,0.034,0.044,0.066,0.076
"P14","Todos los días",0.188,0.134,0.129,0.109,0.084,0.1,0.092,0.112,0.129,0.1
"P14","Entre 4 y 6 días a la semana",0.221,0.258,0.211,0.262,0.268,0.239,0.117,0.197,0.295,0.208
"P14","Entre 1 y 3 días a la semana",0.332,0.401,0.454,0.392,0.393,0.431,0.427,0.434,0.306,0.36
"P14","Raramente",0.194,0.153,0.189,0.205,0.219,0.193,0.291,0.24,0.128,0.246
"P14","Nunca",0.065,0.054,0.017,0.032,0.036,0.037,0.073,0.017,0.142,0.086
"P15","Menos de un vaso al día",0.151,0.07,0.076,0.048,0.096,0.066,0.036,0.105,0.107,0.079
"P15","De 1 a 4 vasos al día",0.315,0.378,0.278,0.445,0.329,0.379,0.315,0.373,0.349,0.319
"P15","Más de 4 vasos al día",0.466,0.497,0.598,0.478,0.516,0.499,0.541,0.459,0.412,0.516
"P15","No consume agua",0.068,0.055,0.048,0.029,0.059,0.056,0.108,0.063,0.132,0.086
"P16","Agua embotellada/mineral",0.25,0.171,0.196,0.141,0.11,0.123,0.146,0.159,0.128,0.119
"P16","Agua de la canilla filtrada",0.266,0.357,0.341,0.383,0.318,0.331,0.228,0.197,0.341,0.267
"P16","Agua de la canilla directamente",0.345,0.364,0.348,0.363,0.438,0.413,0.47,0.482,0.454,0.501
"P16","Agua de bidón",0.117,0.106,0.105,0.089,0.103,0.132,0.144,0.152,0.077,0.106
"P16","No consume agua",0.022,0.002,0.01,0.024,0.031,0.001,0.012,0.01,0,0.007
"P17","Todos los días",0.11,0.081,0.079,0.063,0.06,0.037,0.035,0.045,0.008,0.05
"P17","Entre 4 y 6 días a la semana",0.148,0.099,0.096,0.104,0.105,0.066,0.026,0.063,0.113,0.072
"P17","Entre 1 y 3 días a la semana",0.223,0.249,0.192,0.16,0.195,0.301,0.165,0.152,0.22,0.19
"P17","Raramente",0.319,0.355,0.329,0.375,0.34,0.34,0.43,0.234,0.437,0.296
"P17","Nunca",0.2,0.216,0.304,0.298,0.3,0.256,0.344,0.506,0.222,0.392
"P18","Vino",0.288,0.283,0.291,0.241,0.269,0.169,0.204,0.187,0.107,0.202
"P18","Cerveza",0.252,0.17,0.106,0.124,0.148,0.288,0.142,0.079,0.361,0.13
"P18","Destilados (whisky, vodka, ron, etc.)",0.076,0.093,0.061,0.079,0.065,0.071,0.012,0.022,0.02,0.029
"P18","Espumantes",0.053,0.056,0.062,0.098,0.072,0.04,0.049,0.042,0.071,0.041
"P18","Otros",0.084,0.113,0.144,0.147,0.062,0.13,0.173,0.174,0.143,0.11
"P18","No consume bebidas alcohólicas",0.247,0.285,0.336,0.311,0.384,0.302,0.42,0.496,0.298,0.488
"P19","Todos los días",0.242,0.183,0.117,0.131,0.096,0.122,0.095,0.024,0.131,0.058
"P19","Entre 4 y 6 días a la semana",0.146,0.134,0.078,0.143,0.082,0.143,0.087,0.067,0.057,0.084
"P19","Entre 1 y 3 días a la semana",0.167,0.239,0.216,0.192,0.194,0.231,0.175,0.106,0.018,0.144
"P19","Raramente",0.289,0.321,0.344,0.394,0.422,0.342,0.488,0.525,0.438,0.393
"P19","Nunca",0.156,0.123,0.245,0.14,0.206,0.162,0.155,0.278,0.356,0.321
"P20","Todos los días",0.565,0.527,0.49,0.425,0.535,0.513,0.455,0.455,0.594,0.499
"P20","Entre 4 y 6 días a la semana",0.083,0.088,0.095,0.167,0.093,0.088,0.094,0.123,0.117,0.088
